area_id,area_name,b25015001,b25015001_moe,b25015002,b25015002_moe,b25015003,b25015003_moe,b25015004,b25015004_moe,b25015005,b25015005_moe,b25015006,b25015006_moe,b25015007,b25015007_moe,b25015008,b25015008_moe,b25015009,b25015009_moe,b25015010,b25015010_moe,b25015011,b25015011_moe,b25015012,b25015012_moe,b25015013,b25015013_moe,b25015014,b25015014_moe,b25015015,b25015015_moe,b25015016,b25015016_moe,b25015017,b25015017_moe,b25015018,b25015018_moe,b25015019,b25015019_moe,b25015020,b25015020_moe,b25015021,b25015021_moe,b25015022,b25015022_moe,b25015023,b25015023_moe,b25015024,b25015024_moe,b25015025,b25015025_moe,b25015026,b25015026_moe,b25015027,b25015027_moe
BK09,Brooklyn Heights-Cobble Hill,11346,374,4957,365,852,190,852,190,0,29,0,29,3057,318,2927,314,57,42,73,50,1048,192,1042,191,0,29,6,29,6389,393,2827,305,2765,312,21,33,41,52,2597,341,2478,328,90,61,29,41,965,202,965,202,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25070,401,12683,487,992,207,941,204,46,60,5,54,8183,466,7790,465,333,125,60,71,3508,274,3472,274,36,73,0,55,12387,499,2393,337,2259,331,93,87,41,72,6752,458,6233,465,367,141,152,121,3242,300,3170,299,34,58,38,57
BK19,Brighton Beach,13764,343,4047,321,377,136,359,133,18,44,0,38,2710,275,2542,261,127,83,41,45,960,163,937,161,15,44,8,39,9717,388,1421,258,1071,222,106,82,244,113,4521,383,3650,355,418,156,453,151,3775,291,3665,292,42,53,68,49
BK21,Seagate-Coney Island,11215,272,1856,212,46,49,33,45,0,38,13,41,1288,199,1256,199,32,50,0,38,522,129,522,129,0,38,0,38,9359,314,992,238,897,229,58,66,37,47,5190,383,4841,371,266,117,83,64,3177,278,3159,277,18,39,0,38
BK23,West Brighton,8026,219,3044,303,94,59,94,59,0,27,0,27,1751,288,1717,286,21,35,13,32,1199,205,1199,205,0,27,0,27,4982,323,360,144,319,138,41,46,0,27,1836,284,1777,291,45,43,14,33,2786,320,2752,315,0,27,34,60
BK25,Homecrest,15435,318,6287,358,656,153,602,150,27,52,27,51,3808,323,3564,313,202,83,42,50,1823,214,1823,214,0,48,0,48,9148,407,2167,306,1916,293,148,78,103,92,4417,366,3874,360,355,113,188,87,2564,272,2546,271,0,48,18,55
BK26,Gravesend,11068,297,4005,333,403,138,330,129,37,55,36,46,2238,276,2123,270,53,50,62,51,1364,227,1342,227,22,37,0,36,7063,382,1036,257,904,249,105,86,27,45,3536,333,3168,338,264,128,104,69,2491,293,2396,290,51,77,44,51
BK27,Bath Beach,10726,270,4473,303,436,113,426,113,10,41,0,40,2694,268,2519,262,126,64,49,63,1343,188,1323,188,11,42,9,40,6253,335,1442,251,1363,241,65,62,14,44,3135,316,2606,291,292,123,237,104,1676,215,1670,215,0,40,6,39
BK28,Bensonhurst West,29717,419,10532,482,953,190,873,182,72,75,8,64,6356,417,5796,402,493,133,67,72,3223,288,3164,285,39,67,20,64,19185,553,4759,451,4064,425,505,157,190,121,10374,539,8793,518,1082,204,499,151,4052,336,3963,335,22,67,67,74
BK29,Bensonhurst East,21737,342,7875,417,701,153,602,143,99,77,0,51,4912,367,4563,360,263,99,86,63,2262,253,2210,251,22,55,30,60,13862,481,3215,367,2901,353,183,99,131,92,7353,475,6059,443,859,205,435,142,3294,294,3169,284,112,88,13,52
BK30,Dyker Heights,14966,279,7063,343,653,156,540,143,39,61,74,69,4082,312,3777,299,225,94,80,77,2328,239,2309,238,15,51,4,50,7903,361,2182,288,1883,273,169,102,130,94,4344,351,3310,323,657,184,377,134,1377,208,1289,195,71,84,17,56
BK31,Bay Ridge,34990,426,12404,491,1103,182,1070,180,20,68,13,68,7700,439,7439,434,204,100,57,72,3601,294,3540,292,37,68,24,69,22586,572,6251,467,5743,446,160,110,348,157,12066,582,10528,559,1067,223,471,156,4269,324,4171,318,48,90,50,77
BK32,Sunset Park West,17023,319,3977,331,422,137,375,132,9,49,38,57,2565,286,2369,279,141,75,55,59,990,172,981,170,0,49,9,51,13046,412,4800,381,3520,338,737,192,543,163,6718,430,5120,400,1028,217,570,171,1528,231,1403,214,97,79,28,56
BK33,Carroll Gardens-Columbia Street-Red Hook,17628,387,4668,357,332,108,278,96,43,61,11,47,3131,302,3029,300,44,56,58,75,1205,187,1205,187,0,45,0,45,12960,472,4843,434,4682,424,137,102,24,52,6657,454,6306,454,144,104,207,110,1460,243,1443,245,0,45,17,50
BK34,Sunset Park East,20544,327,4197,330,423,122,327,105,96,78,0,59,2763,304,2344,280,299,115,120,74,1011,163,926,157,78,71,7,57,16347,431,4709,409,3197,358,846,193,666,172,9729,485,6714,444,1941,295,1074,212,1909,243,1787,235,85,76,37,65
