GEOID10,TRBL_10,TRBL_STR_10,TRACT_10,BLOCK_10,BG,TRBG_10,WATER,URBAN_VILLAGE_NUMBER,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,CRA_NO,CRA_NAME,NEIGHBORHOODS_INCLUDED,NEIGHBORHOOD_DISTRICT_NUMBER,NEIGHBORHOOD_DISTRICT_NAME
530330062003000,6200.3,6200.3000,6200,3000,3,6200.3,0,0,Outside Villages,Outside Villages,7.1,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",7,Northeast
530330060001005,6000.1005,6000.1005,6000,1005,1,6000.1,0,0,Outside Villages,Outside Villages,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330062001018,6200.1018,6200.1018,6200,1018,1,6200.1,0,0,Outside Villages,Outside Villages,7.1,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",7,Northeast
530330107021013,10702.1013,10702.1013,10702,1013,1,10702.1,0,0,Outside Villages,Outside Villages,2.2,High Point,"High Point, Delridge",2,Delridge Neighborhoods
530330113001003,11300.1003,11300.1003,11300,1003,1,11300.1,0,502,Greater Duwamish,Manufacturing Industrial,2.5,Highland Park,"Highland Park, Westwood, White Center, South Delridge",2,Delridge Neighborhoods
530330101005038,10100.5038,10100.5038,10100,5038,5,10100.5,0,0,Outside Villages,Outside Villages,4.2,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330059004001,5900.4001,5900.4001,5900,4001,4,5900.4,0,0,Outside Villages,Outside Villages,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330044001021,4400.1021,4400.1021,4400,1021,1,4400.1,0,401.1,University District Northwest,Urban Center Village,7.2,University District,"University District, Cowen Park, Ravenna",7,Northeast
530330114013009,11401.3009,11401.3009,11401,3009,3,11401.3,0,0,Outside Villages,Outside Villages,2.4,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",2,Delridge Neighborhoods
530330109001040,10900.104,10900.1040,10900,1040,1,10900.1,0,502,Greater Duwamish,Manufacturing Industrial,3.2,Georgetown,Georgetown,3,Greater Duwamish
530330031004013,3100.4013,3100.4013,3100,4013,4,3100.4,0,0,Outside Villages,Outside Villages,10.3,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",10,Ballard
530330060003003,6000.3003,6000.3003,6000,3003,3,6000.3,0,0,Outside Villages,Outside Villages,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330042002003,4200.2003,4200.2003,4200,2003,2,4200.2,0,0,Outside Villages,Outside Villages,7.3,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",7,Northeast
530330035002006,3500.2006,3500.2006,3500,2006,2,3500.2,0,0,Outside Villages,Outside Villages,9.3,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",9,Northwest
530330056002012,5600.2012,5600.2012,5600,2012,2,5600.2,0,0,Outside Villages,Outside Villages,12.1,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",12,Magnolia/Queen Anne
530330119004012,11900.4012,11900.4012,11900,4012,4,11900.4,0,0,Outside Villages,Outside Villages,4.1,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330101003004,10100.3004,10100.3004,10100,3004,3,10100.3,0,111,Columbia City,Residential Urban Village,4.2,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330070004008,7000.4008,7000.4008,7000,4008,4,7000.4,0,106,Upper Queen Anne,Residential Urban Village,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330020002014,2000.2014,2000.2014,2000,2014,2,2000.2,0,0,Outside Villages,Outside Villages,8.1,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",8,North
530330102001011,10200.1011,10200.1011,10200,1011,1,10200.1,0,0,Outside Villages,Outside Villages,4.3,Seward Park,"Seward Park, Hillman City",4,Southeast
530330069003006,6900.3006,6900.3006,6900,3006,3,6900.3,0,0,Outside Villages,Outside Villages,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330058011003,5801.1003,5801.1003,5801,1003,1,5801.1,0,0,Outside Villages,Outside Villages,12.2,Interbay,Interbay,12,Magnolia/Queen Anne
530330072003008,7200.3008,7200.3008,7200,3008,3,7200.3,0,413.1,Belltown,Urban Center Village,11.3,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",11,Lake Union
530330089004007,8900.4007,8900.4007,8900,4007,4,8900.4,0,109,23rd & Union-Jackson,Residential Urban Village,5.1,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",5,Central
530330048004004,4800.4004,4800.4004,4800,4004,4,4800.4,0,0,Outside Villages,Outside Villages,11.1,Fremont,"Fremont, Wallingford, Northlake",11,Lake Union
530330041006018,4100.6018,4100.6018,4100,6018,6,4100.6,1,0,Outside Villages,Outside Villages,7.5,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",7,Northeast
530330109002044,10900.2044,10900.2044,10900,2044,2,10900.2,0,502,Greater Duwamish,Manufacturing Industrial,3.2,Georgetown,Georgetown,3,Greater Duwamish
530330083001009,8300.1009,8300.1009,8300,1009,1,8300.1,0,414.3,First Hill,Urban Center Village,6.1,First Hill,"First Hill, Yesler Terrace, Squire Park",6,East
530330094003028,9400.3028,9400.3028,9400,3028,3,9400.3,0,305,North Rainier,Hub Urban Village,3.6,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",3,Greater Duwamish
530330052002017,5200.2017,5200.2017,5200,2017,2,5200.2,0,401.4,University Campus,Urban Center Village,11.2,Wallingford,"Wallingford, Meridian, Northlake, University District",11,Lake Union
530330106006002,10600.6002,10600.6002,10600,6002,6,10600.6,0,0,Outside Villages,Outside Villages,1.2,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330041001018,4100.1018,4100.1018,4100,1018,1,4100.1,0,0,Outside Villages,Outside Villages,7.5,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",7,Northeast
530330071001002,7100.1002,7100.1002,7100,1002,1,7100.1,0,412,Uptown,Urban Center,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330062003010,6200.301,6200.3010,6200,3010,3,6200.3,0,0,Outside Villages,Outside Villages,7.1,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",7,Northeast
530330004021003,402.1003,402.1003,402,1003,1,402.1,0,0,Outside Villages,Outside Villages,9.1,Broadview/Bitter Lake,"Broadview, Bitter Lake",9,Northwest
