tract,cra_id,cra_name
53033006900,12.3,Queen Anne
53033011600,1.2,Fauntleroy/Seaview
53033012000,1.1,Arbor Heights
53033011500,2.4,Roxhill/Westwood
53033012100,1.1,Arbor Heights
53033001100,8.2,Olympic Hills/Victory Heights
53033004100,7.5,Laurelhurst/Sand Point
53033006600,11.3,Cascade/Eastlake
53033006700,12.3,Queen Anne
53033001500,10.1,North Beach/Blue Ridge
53033003200,10.3,Sunset Hill/Loyal Heights
53033009702,1.3,West Seattle Junction/Genesee Hill
53033001600,10.1,North Beach/Blue Ridge
53033005600,12.1,Magnolia
53033005801,12.2,Interbay
53033005700,12.1,Magnolia
53033005802,12.2,Interbay
53033010300,4.2,Columbia City
53033011101,4.2,Columbia City
53033010100,4.2,Columbia City
53033010200,4.3,Seward Park
53033004200,7.3,Ravenna/Bryant
53033000800,8.3,Cedar Park/Meadowbrook
53033000900,8.3,Cedar Park/Meadowbrook
53033002400,7.4,Wedgwood/View Ridge
53033003900,7.4,Wedgwood/View Ridge
53033002200,7.4,Wedgwood/View Ridge
53033009300,3.3,Duwamish/SODO
53033004000,7.5,Laurelhurst/Sand Point
53033005400,11.1,Fremont
53033007000,12.3,Queen Anne
53033004400,7.2,University District
53033011700,3.4,South Beacon Hill/NewHolly
53033005200,11.2,Wallingford
53033011001,3.4,South Beacon Hill/NewHolly
53033010800,2.3,Riverview
53033007300,11.3,Cascade/Eastlake
53033010900,3.2,Georgetown
53033000500,9.1,Broadview/Bitter Lake
53033006400,6.4,Miller Park
53033011002,3.4,South Beacon Hill/NewHolly
53033009900,2.1,North Delridge
53033011200,3.1,South Park
53033011900,4.1,Rainier Beach
53033003500,9.3,Greenwood/Phinney Ridge
53033003100,10.3,Sunset Hill/Loyal Heights
53033006300,6.5,Madison Park
53033004301,7.3,Ravenna/Bryant
53033002500,7.3,Ravenna/Bryant
53033003800,7.3,Ravenna/Bryant
53033010402,3.5,Beacon Hill
53033009400,3.6,North Beacon Hill/Jefferson Park
53033001200,8.1,Northgate/Maple Leaf
53033003600,9.4,Green Lake
53033009500,4.4,Mt. Baker/North Rainier
53033011401,2.4,Roxhill/Westwood
53033004900,11.1,Fremont
53033008700,5.3,Central Area/Squire Park
53033008600,6.1,First Hill
53033004500,11.2,Wallingford
53033000700,8.2,Olympic Hills/Victory Heights
53033009200,13.3,Pioneer Square/International District
53033007800,5.1,Madrona/Leschi
53033006200,7.1,Montlake/Portage Bay
53033009100,13.3,Pioneer Square/International District
53033009800,1.3,West Seattle Junction/Genesee Hill
53033004302,7.3,Ravenna/Bryant
53033011402,2.4,Roxhill/Westwood
53033006100,7.1,Montlake/Portage Bay
53033004800,11.1,Fremont
53033009600,1.4,Alki/Admiral
53033010401,3.5,Beacon Hill
53033001300,9.2,Licton Springs
53033008100,13.2,Downtown Commercial Core
53033005302,7.2,University District
53033010001,3.6,North Beacon Hill/Jefferson Park
53033010500,1.3,West Seattle Junction/Genesee Hill
53033011300,2.5,Highland Park
53033000200,8.2,Olympic Hills/Victory Heights
53033000100,8.3,Cedar Park/Meadowbrook
53033007402,6.2,Capitol Hill
53033000600,9.5,Haller Lake
53033003300,10.2,Whittier Heights
53033003000,10.2,Whittier Heights
53033010600,1.2,Fauntleroy/Seaview
53033011102,4.3,Seward Park
53033005000,11.2,Wallingford
53033001900,8.1,Northgate/Maple Leaf
53033004700,10.4,Ballard
53033009701,1.4,Alki/Admiral
53033005900,12.3,Queen Anne
53033006000,12.3,Queen Anne
53033007500,6.2,Capitol Hill
53033000401,9.1,Broadview/Bitter Lake
53033001800,9.2,Licton Springs
53033011800,4.1,Rainier Beach
53033001400,10.1,North Beach/Blue Ridge
53033009000,5.2,Judkins Park
53033008900,5.1,Madrona/Leschi
53033010702,2.2,High Point
53033000300,9.5,Haller Lake
53033007600,6.4,Miller Park
53033002700,9.4,Green Lake
53033002000,8.1,Northgate/Maple Leaf
53033004600,9.4,Green Lake
53033001000,8.3,Cedar Park/Meadowbrook
53033002100,7.4,Wedgwood/View Ridge
53033001702,9.3,Greenwood/Phinney Ridge
53033008500,6.1,First Hill
53033005100,11.2,Wallingford
53033002800,9.3,Greenwood/Phinney Ridge
53033006500,6.3,North Capitol Hill
53033007401,6.2,Capitol Hill
53033008400,6.2,Capitol Hill
53033001701,9.3,Greenwood/Phinney Ridge
53033002900,9.3,Greenwood/Phinney Ridge
53033003400,9.3,Greenwood/Phinney Ridge
53033007200,11.3,Cascade/Eastlake
53033008300,6.1,First Hill
53033008200,6.1,First Hill
53033006800,12.3,Queen Anne
53033005301,7.2,University District
53033007900,5.3,Central Area/Squire Park
53033010002,3.6,North Beacon Hill/Jefferson Park
53033008800,5.3,Central Area/Squire Park
53033008001,13.1,Belltown
53033002600,7.3,Ravenna/Bryant
53033007700,5.3,Central Area/Squire Park
53033010701,2.2,High Point
53033000402,9.1,Broadview/Bitter Lake
53033008002,13.1,Belltown
53033007100,12.3,Queen Anne
53033026400,3.1,South Park
53033026500,2.5,Highland Park
53033990100,9.1,Broadview/Bitter Lake
53033026001,4.1,Rainier Beach
