area_id,area_name,b19301g001,b19301g001_moe
1,Rogers Park,197177,45304
2,West Ridge,141052,42929
3,Uptown,223016,54862
4,Lincoln Square,182266,58144
5,North Center,188446,57717
6,Lake View,474835,92598
7,Lincoln Park,489495,226493
8,Near North Side,433679,155535
9,Edison Park,26473,11858
10,Norwood Park,44020,20821
11,Jefferson Park,79241,28560
12,Forest Glen,108686,74827
13,North Park,55855,15776
14,Albany Park,236488,87835
15,Portage Park,190835,44106
16,Irving Park,258409,59123
17,Dunning,125106,48389
18,Montclare,53664,49492
19,Belmont Cragin,141934,32338
20,Hermosa,59954,21297
21,Avondale,56513,22698
22,Logan Square,398598,109604
23,Humboldt Park,106748,33425
24,West Town,436062,79724
25,Austin,55519,49505
26,West Garfield Park,3147,984
27,East Garfield Park,21317,17184
28,Near West Side,421702,126301
29,North Lawndale,28486,10313
30,South Lawndale,44348,11405
31,Lower West Side,101257,23970
32,Loop,224684,113589
33,Near South Side,32568,17957
34,Armour Square,23611,19449
35,Douglas,109241,37093
38,Grand Boulevard,87406,43843
39,Kenwood,114541,108249
40,Washington Park,18723,16557
41,Hyde Park,194804,45694
42,Woodlawn,189757,61344
43,South Shore,94859,25180
44,Chatham,58034,19421
45,Avalon Park,41510,34335
46,South Chicago,51105,18444
49,Roseland,71197,29047
51,South Deering,16751,5395
52,East Side,45904,22427
53,West Pullman,46252,9038
55,Hegewisch,22086,12736
56,Garfield Ridge,77612,17040
57,Archer Heights,27409,20749
58,Brighton Park,35529,17623
59,McKinley Park,25339,19699
60,Bridgeport,42402,15449
61,New City,15850,8731
62,West Elsdon,21062,16161
63,Gage Park,33731,16543
64,Clearing,20123,5057
65,West Lawn,47977,22003
66,Chicago Lawn,65253,42649
67,West Englewood,83930,204003
68,Englewood,40149,23152
69,Greater Grand Crossing,31177,376826
70,Ashburn,26931,13834
71,Auburn Gresham,11000,1927
72,Beverly,58967,29025
73,Washington Heights,23810,14547
74,Mount Greenwood,13435,7586
75,Morgan Park,59723,29712
76,O'Hare,51353,12543
77,Edgewater,290368,56857
