area_id,area_name,b05003g001,b05003g001_moe,b05003g002,b05003g002_moe,b05003g003,b05003g003_moe,b05003g004,b05003g004_moe,b05003g005,b05003g005_moe,b05003g006,b05003g006_moe,b05003g007,b05003g007_moe,b05003g008,b05003g008_moe,b05003g009,b05003g009_moe,b05003g010,b05003g010_moe,b05003g011,b05003g011_moe,b05003g012,b05003g012_moe,b05003g013,b05003g013_moe,b05003g014,b05003g014_moe,b05003g015,b05003g015_moe,b05003g016,b05003g016_moe,b05003g017,b05003g017_moe,b05003g018,b05003g018_moe,b05003g019,b05003g019_moe,b05003g020,b05003g020_moe,b05003g021,b05003g021_moe,b05003g022,b05003g022_moe,b05003g023,b05003g023_moe
1,Rogers Park,2050,411,899,236,336,132,289,125,47,66,47,66,0,48,563,165,499,157,64,68,64,68,0,48,1151,276,547,188,538,187,9,49,0,48,9,49,604,194,451,146,153,137,86,113,67,90
2,West Ridge,2052,578,810,252,441,204,427,204,14,55,14,55,0,51,369,143,157,96,212,113,125,87,87,87,1242,406,777,307,777,307,0,51,0,51,0,51,465,196,362,173,103,103,57,74,46,88
3,Uptown,1692,490,857,291,416,210,416,210,0,48,0,48,0,48,441,186,376,179,65,61,40,56,25,54,835,280,119,111,119,111,0,48,0,48,0,48,716,230,581,213,135,95,49,61,86,86
4,Lincoln Square,1046,279,464,166,212,103,212,103,0,40,0,40,0,40,252,124,199,108,53,61,53,61,0,40,582,183,144,80,144,80,0,40,0,40,0,40,438,162,360,144,78,74,65,72,13,40
5,North Center,876,311,397,132,133,82,133,82,0,43,0,43,0,43,264,98,226,93,38,49,9,44,29,48,479,241,282,222,282,222,0,43,0,43,0,43,197,84,166,80,31,44,21,43,10,44
6,Lake View,1827,371,921,245,329,146,306,142,23,75,0,66,23,75,592,189,504,174,88,87,65,83,23,72,906,231,352,173,352,173,0,66,0,66,0,66,554,155,482,146,72,82,27,72,45,78
7,Lincoln Park,1075,269,579,191,158,87,145,78,13,54,0,51,13,54,421,167,399,166,22,54,7,51,15,54,496,154,215,102,195,100,20,54,5,50,15,54,281,110,256,107,25,54,20,53,5,51
8,Near North Side,1379,374,610,245,168,121,168,121,0,54,0,54,0,54,442,195,362,185,80,77,28,61,52,72,769,255,196,142,196,142,0,54,0,54,0,54,573,212,477,202,96,79,27,61,69,66
9,Edison Park,196,137,127,91,37,44,37,44,0,25,0,25,0,25,90,82,90,82,0,25,0,25,0,25,69,87,41,64,41,64,0,25,0,25,0,25,28,37,28,37,0,25,0,25,0,25
10,Norwood Park,880,391,542,274,338,227,338,227,0,39,0,39,0,39,204,131,158,121,46,56,46,56,0,39,338,177,197,132,197,132,0,39,0,39,0,39,141,105,116,104,25,42,25,42,0,39
11,Jefferson Park,652,248,370,172,193,111,182,109,11,29,0,29,11,29,177,99,100,79,77,64,66,64,11,29,282,113,106,73,95,68,11,29,0,29,11,29,176,83,121,68,55,50,37,50,18,30
12,Forest Glen,447,208,221,163,188,152,188,152,0,29,0,29,0,29,33,41,33,41,0,29,0,29,0,29,226,128,115,84,115,84,0,29,0,29,0,29,111,69,68,58,43,47,34,46,9,31
13,North Park,474,212,301,177,80,74,80,74,0,27,0,27,0,27,221,162,210,162,11,29,11,29,0,27,173,84,0,27,0,27,0,27,0,27,0,27,173,84,160,83,13,26,13,26,0,27
14,Albany Park,1965,456,1009,303,502,243,472,235,30,64,0,45,30,64,507,160,253,107,254,121,126,74,128,91,956,246,414,167,404,166,10,46,0,45,10,46,542,160,316,120,226,103,99,73,127,84
15,Portage Park,2379,531,1157,288,612,198,612,198,0,47,0,47,0,47,545,187,406,162,139,112,58,64,81,76,1222,360,669,292,669,292,0,47,0,47,0,47,553,174,433,160,120,80,48,58,72,70
16,Irving Park,1303,306,636,207,283,138,283,138,0,47,0,47,0,47,353,142,244,125,109,85,41,54,68,80,667,197,313,152,313,152,0,47,0,47,0,47,354,119,258,99,96,78,50,68,46,61
17,Dunning,519,212,274,118,91,60,69,51,22,52,0,40,22,52,183,98,132,88,51,56,21,43,30,53,245,106,74,51,67,50,7,40,0,40,7,40,171,87,110,74,61,57,32,45,29,52
18,Montclare,134,76,52,51,40,46,40,46,0,23,0,23,0,23,12,19,12,19,0,23,0,23,0,23,82,60,23,28,23,28,0,23,0,23,0,23,59,53,59,53,0,23,0,23,0,23
19,Belmont Cragin,1766,567,892,338,386,202,374,199,12,53,0,52,12,53,506,213,213,119,293,156,113,86,180,111,874,273,364,150,341,146,23,61,0,52,23,61,510,193,246,116,264,146,98,83,166,108
20,Hermosa,484,177,236,107,58,41,58,41,0,29,0,29,0,29,178,93,162,89,16,29,7,27,9,31,248,118,61,45,61,45,0,29,0,29,0,29,187,107,168,103,19,42,0,29,19,42
21,Avondale,1098,339,506,215,182,132,182,132,0,38,0,38,0,38,324,175,147,80,177,152,62,56,115,145,592,236,317,200,306,199,11,41,0,38,11,41,275,113,164,87,111,70,52,49,59,59
22,Logan Square,1680,357,742,186,402,149,402,149,0,57,0,57,0,57,340,117,315,115,25,61,23,62,2,55,938,238,392,170,392,170,0,57,0,57,0,57,546,166,517,153,29,62,29,62,0,57
23,Humboldt Park,1070,349,539,199,230,134,230,134,0,51,0,51,0,51,309,132,234,113,75,81,30,70,45,66,531,200,197,115,197,115,0,51,0,51,0,51,334,138,312,130,22,54,22,54,0,51
24,West Town,1789,364,1048,263,430,179,430,179,0,62,0,62,0,62,618,180,488,158,130,97,85,81,45,71,741,180,186,92,186,92,0,62,0,62,0,62,555,157,488,146,67,74,43,70,24,63
25,Austin,662,238,288,150,141,114,141,114,0,61,0,61,0,61,147,96,131,95,16,62,0,61,16,62,374,131,160,103,160,103,0,61,0,61,0,61,214,103,180,100,34,63,12,62,22,61
26,West Garfield Park,67,67,44,49,5,34,5,34,0,35,0,35,0,35,39,50,39,50,0,35,0,35,0,35,23,40,5,34,5,34,0,35,0,35,0,35,18,38,18,38,0,35,0,35,0,35
27,East Garfield Park,120,68,59,48,23,40,23,40,0,38,0,38,0,38,36,44,36,44,0,38,0,38,0,38,61,57,27,46,27,46,0,38,0,38,0,38,34,42,34,42,0,38,0,38,0,38
28,Near West Side,1348,258,658,174,234,102,234,102,0,52,0,52,0,52,424,144,380,137,44,58,32,55,12,53,690,178,181,84,181,84,0,52,0,52,0,52,509,158,466,154,43,60,35,59,8,53
29,North Lawndale,279,147,126,87,96,78,96,78,0,43,0,43,0,43,30,49,30,49,0,43,0,43,0,43,153,97,36,62,36,62,0,43,0,43,0,43,117,73,104,71,13,46,0,43,13,46
30,South Lawndale,431,193,246,118,59,67,44,64,15,52,0,48,15,52,187,103,117,86,70,59,46,55,24,53,185,107,61,64,61,64,0,48,0,48,0,48,124,77,32,49,92,76,27,52,65,63
31,Lower West Side,976,313,387,156,173,126,173,126,0,42,0,42,0,42,214,96,180,92,34,43,8,40,26,43,589,219,150,88,150,88,0,42,0,42,0,42,439,198,420,197,19,39,11,39,8,41
32,Loop,673,259,248,122,41,40,41,40,0,30,0,30,0,30,207,119,200,117,7,30,0,30,7,30,425,187,197,155,197,155,0,30,0,30,0,30,228,103,198,98,30,38,15,36,15,31
33,Near South Side,694,353,331,261,201,191,201,191,0,24,0,24,0,24,130,171,130,171,0,24,0,24,0,24,363,228,174,187,174,187,0,24,0,24,0,24,189,124,176,124,13,23,8,24,5,23
34,Armour Square,438,329,281,226,130,141,34,58,96,132,10,27,86,131,151,106,68,59,83,92,0,27,83,92,157,118,24,30,24,30,0,27,0,27,0,27,133,111,49,50,84,100,9,27,75,98
35,Douglas,199,89,96,58,15,35,15,35,0,35,0,35,0,35,81,57,70,54,11,37,0,35,11,37,103,63,24,41,24,41,0,35,0,35,0,35,79,52,43,40,36,48,0,35,36,48
36,Oakland,25,37,14,21,11,23,11,23,0,19,0,19,0,19,3,16,3,16,0,19,0,19,0,19,11,23,11,23,11,23,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,22,35,11,20,11,20,11,20,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,11,19,11,19,11,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,311,126,139,74,48,55,48,55,0,43,0,43,0,43,91,61,87,62,4,42,4,42,0,43,172,89,42,52,42,52,0,43,0,43,0,43,130,82,124,83,6,42,6,42,0,43
39,Kenwood,349,161,143,86,55,48,47,45,8,33,0,31,8,33,88,66,73,56,15,36,15,36,0,31,206,108,101,76,101,76,0,31,0,31,0,31,105,80,63,56,42,64,0,31,42,64
40,Washington Park,128,101,60,54,49,51,49,51,0,27,0,27,0,27,11,31,11,31,0,27,0,27,0,27,68,65,19,40,19,40,0,27,0,27,0,27,49,50,49,50,0,27,0,27,0,27
41,Hyde Park,836,211,431,152,88,56,88,56,0,38,0,38,0,38,343,135,262,94,81,100,25,49,56,95,405,127,185,99,185,99,0,38,0,38,0,38,220,83,196,74,24,51,20,52,4,37
42,Woodlawn,371,134,206,105,68,67,68,67,0,36,0,36,0,36,138,80,131,80,7,36,7,36,0,36,165,73,63,53,63,53,0,36,0,36,0,36,102,58,99,58,3,35,0,36,3,35
