area_id,area_name,b07007001,b07007001_moe,b07007002,b07007002_moe,b07007003,b07007003_moe,b07007004,b07007004_moe,b07007005,b07007005_moe,b07007006,b07007006_moe,b07007007,b07007007_moe,b07007008,b07007008_moe,b07007009,b07007009_moe,b07007010,b07007010_moe,b07007011,b07007011_moe,b07007012,b07007012_moe,b07007013,b07007013_moe,b07007014,b07007014_moe,b07007015,b07007015_moe,b07007016,b07007016_moe,b07007017,b07007017_moe,b07007018,b07007018_moe,b07007019,b07007019_moe,b07007020,b07007020_moe,b07007021,b07007021_moe,b07007022,b07007022_moe,b07007023,b07007023_moe,b07007024,b07007024_moe,b07007025,b07007025_moe,b07007026,b07007026_moe,b07007027,b07007027_moe,b07007028,b07007028_moe,b07007029,b07007029_moe,b07007030,b07007030_moe
1,Rogers Park,56603,2181,39906,1768,16697,1574,5318,652,11379,1448,43326,2038,30261,1591,13065,1369,4782,632,8283,1226,9180,1307,7132,1103,2048,627,393,142,1655,589,482,173,435,163,47,71,47,71,0,48,2145,388,1952,372,193,110,72,75,121,87,1470,580,126,79,1344,576,24,51,1320,575
2,West Ridge,72552,2514,39372,1812,33180,2111,15758,1104,17422,1872,62321,2478,34273,1775,28048,1918,14481,1066,13567,1657,7490,1315,4134,833,3356,862,1163,347,2193,729,439,324,267,201,172,157,51,77,121,117,776,360,546,305,230,189,43,86,187,176,1526,551,152,99,1374,538,20,54,1354,534
3,Uptown,54415,1671,40655,1513,13760,1183,6417,704,7343,971,42880,1621,31730,1450,11150,1046,5675,674,5475,826,8251,851,6498,714,1753,420,679,243,1074,317,569,168,554,164,15,46,15,46,0,48,2096,493,1701,374,395,323,48,52,347,321,619,244,172,92,447,231,0,48,447,231
4,Lincoln Square,38023,1318,27655,1084,10368,1013,5154,653,5214,781,30894,1370,21721,1090,9173,977,4755,616,4418,741,5499,919,4506,773,993,334,311,143,682,299,303,161,294,161,9,41,0,40,9,41,1127,286,1068,283,59,59,47,58,12,41,200,122,66,85,134,95,41,58,93,85
5,North Center,32766,1079,28951,1036,3815,501,2520,369,1295,313,26664,1106,23288,1034,3376,462,2332,357,1044,291,4969,630,4680,615,289,174,138,92,151,111,257,135,238,132,19,46,0,43,19,46,780,231,713,220,67,53,29,45,38,48,96,86,32,51,64,81,21,53,43,56
6,Lake View,95272,1709,83702,1716,11570,874,6013,596,5557,640,66716,1795,58168,1724,8548,733,5244,564,3304,472,17930,1214,16308,1144,1622,348,646,227,976,240,2477,521,2387,518,90,77,48,70,42,71,6653,675,6421,664,232,114,67,75,165,107,1496,444,418,169,1078,414,8,67,1070,413
7,Lincoln Park,63827,1706,57225,1688,6602,660,3324,430,3278,513,45373,1706,41012,1626,4361,527,2561,367,1800,365,11805,1037,10492,968,1313,333,507,192,806,279,1478,322,1338,298,140,109,95,107,45,56,4380,608,4113,590,267,124,147,91,120,96,791,262,270,162,521,199,14,54,507,198
8,Near North Side,79778,1764,65659,1757,14119,1168,6974,763,7145,893,60156,1813,50172,1692,9984,1004,5487,651,4497,751,10830,986,8872,883,1958,434,885,290,1073,332,1719,430,1415,386,304,196,295,195,9,55,5522,846,4919,818,603,224,307,177,296,136,1551,424,281,141,1270,395,0,54,1270,395
9,Edison Park,11091,497,9641,623,1450,344,1170,282,280,179,10379,470,8991,584,1388,342,1108,282,280,179,506,206,477,201,29,30,29,30,0,25,9,27,9,27,0,25,0,25,0,25,185,161,152,158,33,52,33,52,0,25,12,27,12,27,0,25,0,25,0,25
10,Norwood Park,36936,1175,28626,1120,8310,823,5664,569,2646,539,34613,1168,26907,1066,7706,804,5233,544,2473,546,1920,633,1444,557,476,217,354,175,122,97,111,82,84,72,27,53,27,53,0,39,189,91,155,85,34,47,34,47,0,39,103,59,36,43,67,56,16,45,51,51
11,Jefferson Park,26468,1226,18843,1197,7625,901,4196,546,3429,654,24046,1184,17041,1122,7005,891,3969,534,3036,646,1799,523,1367,462,432,180,126,84,306,152,52,63,52,63,0,29,0,29,0,29,345,395,251,272,94,128,82,127,12,33,226,207,132,184,94,99,19,41,75,83
12,Forest Glen,18314,638,14925,697,3389,412,2800,331,589,226,16808,695,13727,697,3081,363,2640,312,441,183,1138,333,980,329,158,112,75,67,83,84,92,77,55,56,37,63,37,63,0,29,173,104,155,99,18,42,9,32,9,32,103,81,8,31,95,80,39,55,56,65
13,North Park,18492,980,11220,791,7272,827,4532,607,2740,469,15966,1025,9725,766,6241,797,4335,605,1906,427,1859,517,1033,348,826,295,172,95,654,285,303,251,287,249,16,27,16,27,0,27,156,86,135,80,21,35,9,30,12,31,208,114,40,60,168,101,0,27,168,101
14,Albany Park,53106,2030,28268,1416,24838,1668,8918,947,15920,1571,43437,2101,23302,1367,20135,1526,8077,918,12058,1397,7900,1331,3881,750,4019,976,766,272,3253,875,369,186,250,161,119,106,53,71,66,84,923,256,762,220,161,125,22,57,139,120,477,179,73,74,404,170,0,45,404,170
15,Portage Park,62786,1791,42294,1689,20492,1337,10963,934,9529,932,56305,1929,37901,1709,18404,1263,10295,916,8109,860,5259,955,3678,793,1581,456,505,208,1076,344,385,272,288,242,97,125,55,77,42,71,600,283,381,222,219,137,108,103,111,102,237,152,46,72,191,141,0,47,191,141
16,Irving Park,55598,1934,37594,1548,18004,1360,7485,783,10519,1127,47937,2002,31978,1521,15959,1334,6983,763,8976,1089,6089,922,4669,741,1420,386,495,183,925,320,255,122,234,117,21,57,7,46,14,50,958,471,699,369,259,271,0,47,259,271,359,199,14,47,345,199,0,47,345,199
17,Dunning,41635,1223,26638,1225,14997,1051,8394,739,6603,788,39069,1232,24837,1179,14232,1019,8074,727,6158,757,2110,474,1496,384,614,255,298,162,316,148,167,109,135,78,32,57,11,41,21,56,152,96,152,96,0,40,0,40,0,40,137,102,18,43,119,99,11,41,108,96
