area_id,area_name,b25074001,b25074001_moe,b25074002,b25074002_moe,b25074003,b25074003_moe,b25074004,b25074004_moe,b25074005,b25074005_moe,b25074006,b25074006_moe,b25074007,b25074007_moe,b25074008,b25074008_moe,b25074009,b25074009_moe,b25074010,b25074010_moe,b25074011,b25074011_moe,b25074012,b25074012_moe,b25074013,b25074013_moe,b25074014,b25074014_moe,b25074015,b25074015_moe,b25074016,b25074016_moe,b25074017,b25074017_moe,b25074018,b25074018_moe,b25074019,b25074019_moe,b25074020,b25074020_moe,b25074021,b25074021_moe,b25074022,b25074022_moe,b25074023,b25074023_moe,b25074024,b25074024_moe,b25074025,b25074025_moe,b25074026,b25074026_moe,b25074027,b25074027_moe,b25074028,b25074028_moe,b25074029,b25074029_moe,b25074030,b25074030_moe,b25074031,b25074031_moe,b25074032,b25074032_moe,b25074033,b25074033_moe,b25074034,b25074034_moe,b25074035,b25074035_moe,b25074036,b25074036_moe,b25074037,b25074037_moe,b25074038,b25074038_moe,b25074039,b25074039_moe,b25074040,b25074040_moe,b25074041,b25074041_moe,b25074042,b25074042_moe,b25074043,b25074043_moe,b25074044,b25074044_moe,b25074045,b25074045_moe,b25074046,b25074046_moe,b25074047,b25074047_moe,b25074048,b25074048_moe,b25074049,b25074049_moe,b25074050,b25074050_moe
21,Avondale,8027,430,810,206,0,38,8,39,0,38,0,38,626,182,176,99,1141,225,0,38,24,45,0,38,6,38,1060,221,51,54,1792,292,22,48,34,53,180,103,408,150,1140,236,8,39,1821,296,269,148,447,154,603,182,368,164,100,72,34,46,1306,257,546,169,407,146,256,129,9,40,64,66,24,43,634,187,558,179,76,55,0,38,0,38,0,38,0,38,523,154,405,137,70,78,0,38,0,38,0,38,48,50
22,Logan Square,18353,602,1736,262,15,61,68,80,91,82,59,72,1193,222,310,121,2679,330,46,67,37,66,112,86,83,73,2383,319,18,58,3731,395,93,76,135,98,525,176,547,160,2382,322,49,67,2802,328,304,105,682,169,703,185,469,143,616,162,28,63,3403,359,1229,244,984,183,682,173,292,121,178,94,38,61,1746,266,1171,238,448,125,76,68,33,59,18,57,0,57,2256,290,1960,273,212,97,57,64,0,57,0,57,27,60
23,Humboldt Park,10868,499,2979,371,12,51,27,54,83,72,66,75,1860,303,931,220,2016,310,53,78,22,51,74,73,87,73,1738,288,42,71,2238,313,80,65,140,102,265,119,141,83,1592,267,20,53,1408,252,130,95,345,134,346,136,266,114,271,114,50,70,1438,268,786,213,312,116,142,92,131,94,67,80,0,51,399,134,368,127,30,63,1,50,0,51,0,51,0,51,390,138,326,130,21,61,0,51,0,51,0,51,43,59
24,West Town,22378,612,2400,309,10,62,49,83,127,90,185,125,1385,242,644,177,2513,324,120,77,79,92,150,118,163,112,1921,279,80,80,3465,377,146,94,46,64,315,129,457,155,2406,320,95,85,3079,338,148,103,525,148,788,188,581,155,1010,199,27,65,4086,388,1237,233,1359,222,800,182,360,121,292,120,38,70,2775,328,1331,227,928,210,288,108,120,91,91,79,17,62,4060,387,3002,329,792,203,148,92,22,63,17,67,79,76
25,Austin,19610,673,4326,475,35,83,0,61,112,91,143,95,2990,398,1046,234,4429,447,78,83,34,70,125,89,292,128,3874,422,26,65,4879,460,246,138,362,144,397,147,633,188,3092,375,149,106,2599,351,361,133,625,179,646,186,472,150,495,168,0,61,2014,310,962,226,626,173,263,122,65,79,57,81,41,69,877,227,817,221,50,77,10,63,0,61,0,61,0,61,486,169,486,169,0,61,0,61,0,61,0,61,0,61
26,West Garfield Park,4228,294,1354,200,5,34,49,47,83,65,28,44,873,165,316,112,813,172,61,54,14,40,27,44,55,59,615,151,41,48,854,172,29,42,14,35,120,67,49,49,620,150,22,45,531,145,21,39,62,54,151,89,67,62,222,92,8,35,468,133,168,85,173,85,66,47,30,48,21,45,10,37,113,71,80,63,33,46,0,35,0,35,0,35,0,35,95,62,95,62,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,5039,306,1632,226,9,36,5,37,80,51,71,46,1002,190,465,133,941,177,30,39,10,40,31,39,103,60,738,164,29,44,1130,201,104,70,57,44,149,92,152,75,668,157,0,38,457,126,29,39,127,77,85,56,71,71,135,73,10,39,461,142,195,93,84,60,81,79,20,43,47,56,34,56,250,105,189,96,38,50,9,39,0,38,0,38,14,43,168,76,149,73,19,41,0,38,0,38,0,38,0,38
28,Near West Side,15414,552,3717,361,23,52,2,51,206,95,150,73,2371,304,965,214,1870,256,156,87,92,77,179,81,249,106,1171,206,23,62,1784,248,268,116,102,84,103,73,179,85,1107,200,25,56,1273,235,91,78,173,80,198,100,171,93,613,182,27,59,2446,342,548,162,492,177,488,149,395,124,482,177,41,56,1611,281,598,155,486,161,355,152,115,87,40,57,17,53,2713,345,2121,312,374,126,137,107,16,57,14,54,51,61
29,North Lawndale,8240,399,2573,298,48,67,41,49,88,64,72,60,1519,235,805,188,1851,252,53,56,42,54,28,49,96,65,1617,239,15,41,1466,224,50,47,83,72,67,56,143,79,1117,204,6,42,927,187,124,83,147,81,219,104,166,81,241,104,30,53,852,181,428,131,234,91,127,79,17,41,32,54,14,48,395,129,249,96,127,92,19,52,0,43,0,43,0,43,176,94,165,93,0,43,0,43,0,43,0,43,11,44
30,South Lawndale,10539,500,1071,214,0,48,0,48,32,54,49,65,814,190,176,95,2583,324,35,58,4,47,53,64,163,90,2218,308,110,83,3127,363,92,77,285,110,418,147,788,201,1504,279,40,60,1981,287,460,142,800,193,446,155,100,76,143,82,32,61,1194,225,921,204,88,73,80,72,32,58,0,48,73,63,320,129,293,127,15,52,0,48,0,48,0,48,12,48,263,115,224,108,0,48,0,48,0,48,0,48,39,62
