area_id,area_name,b25024001,b25024001_moe,b25024002,b25024002_moe,b25024003,b25024003_moe,b25024004,b25024004_moe,b25024005,b25024005_moe,b25024006,b25024006_moe,b25024007,b25024007_moe,b25024008,b25024008_moe,b25024009,b25024009_moe,b25024010,b25024010_moe,b25024011,b25024011_moe
1,Rogers Park,27912,242,1585,247,827,177,945,214,3479,414,6731,557,3282,380,6351,513,4679,435,33,57,0,48
2,West Ridge,27639,218,5398,380,1482,257,2934,374,6774,565,4379,462,2051,314,2043,306,2496,241,82,103,0,51
3,Uptown,32444,292,1102,213,424,123,999,255,1931,334,6544,510,2879,344,4945,469,13607,578,13,47,0,48
4,Lincoln Square,19499,250,2533,232,465,135,2492,293,3691,407,3909,421,2590,327,2894,340,903,180,22,51,0,40
5,North Center,16442,185,3920,307,572,132,3968,351,3739,335,1659,246,1050,188,816,159,667,118,11,45,40,62
6,Lake View,57951,375,3529,317,1663,243,3840,379,9102,522,7858,502,3468,345,7478,588,20823,652,78,92,112,129
7,Lincoln Park,35919,325,3487,316,3509,285,2018,272,5275,462,3759,388,2567,325,4035,407,11169,511,37,59,63,90
8,Near North Side,61054,474,866,261,1774,241,370,176,1688,318,1501,317,1506,319,3964,450,49294,762,74,88,17,59
9,Edison Park,4935,79,3390,165,31,26,79,48,225,117,678,164,282,119,250,105,0,25,0,25,0,25
10,Norwood Park,15620,126,10797,350,351,115,1186,221,716,230,799,188,431,133,523,137,770,160,47,66,0,39
11,Jefferson Park,10952,111,5183,296,102,58,2426,288,1457,248,934,199,366,111,332,143,149,73,3,31,0,29
12,Forest Glen,7134,94,5863,197,254,79,406,136,228,94,202,100,91,71,46,48,44,45,0,29,0,29
13,North Park,6970,128,2508,206,82,67,956,181,1089,188,472,153,438,134,514,130,859,130,52,62,0,27
14,Albany Park,18213,181,3175,275,185,84,2884,334,4267,443,3502,405,1564,267,2048,314,554,141,34,68,0,45
15,Portage Park,24837,196,10093,447,352,124,5799,466,4472,460,2127,315,714,178,774,196,455,152,51,67,0,47
16,Irving Park,22525,210,5465,366,550,128,4961,409,4477,450,3094,360,2154,285,1507,238,317,127,0,47,0,47
17,Dunning,16145,141,10585,348,596,187,1393,251,1061,227,1093,213,215,114,594,114,552,106,56,87,0,40
18,Montclare,4848,82,2277,204,137,70,861,184,442,141,416,145,201,99,88,58,399,91,27,48,0,23
19,Belmont Cragin,24148,153,8944,446,283,110,5886,478,5899,487,1712,273,779,214,164,94,352,103,129,97,0,52
20,Hermosa,7922,110,2220,265,31,34,2616,299,2309,287,335,113,186,95,175,98,0,29,50,68,0,29
21,Avondale,15282,213,2563,292,487,137,4805,422,4386,401,1453,273,842,191,382,133,291,120,34,46,39,72
22,Logan Square,32764,309,4684,372,916,156,7180,488,9287,542,4515,382,1946,255,2315,273,1890,285,26,65,5,57
23,Humboldt Park,20482,256,4049,361,204,94,7510,509,5108,423,1651,278,843,221,427,136,680,140,10,53,0,51
24,West Town,41319,404,4656,383,1725,219,6508,475,14283,609,8654,514,1460,222,1362,184,2596,263,44,65,31,70
25,Austin,38606,336,9318,466,611,158,11825,599,7885,589,3772,416,1548,273,2278,326,1270,220,52,72,47,97
26,West Garfield Park,8018,159,782,154,106,62,3251,248,1814,231,659,148,235,92,486,124,671,111,0,35,14,39
27,East Garfield Park,8974,163,1171,192,321,111,2402,258,2520,266,911,178,425,118,559,137,664,120,1,37,0,38
28,Near West Side,29058,344,1671,247,2357,258,1801,257,3020,278,2458,284,1133,197,2739,280,13816,422,56,79,7,52
29,North Lawndale,15066,214,1708,243,379,96,4033,346,5299,364,1822,237,733,171,607,153,434,116,51,60,0,43
30,South Lawndale,20747,245,3559,331,312,107,7339,462,6816,454,1955,278,270,113,195,85,301,80,0,48,0,48
31,Lower West Side,14323,209,1702,262,174,76,3731,332,4861,366,2905,323,416,142,191,71,343,124,0,42,0,42
32,Loop,17582,400,153,75,186,92,147,126,122,88,156,59,77,91,797,194,15731,506,166,209,47,80
33,Near South Side,13642,270,373,140,1390,280,24,31,168,145,87,75,347,201,985,214,10259,481,9,25,0,24
34,Armour Square,5739,143,432,105,783,162,648,139,1110,184,521,123,456,149,209,88,1571,186,9,27,0,27
35,Douglas,10766,196,688,132,707,136,306,107,431,115,370,101,385,105,1350,178,6499,284,0,35,30,59
36,Oakland,3077,119,322,101,79,48,162,83,290,89,587,117,342,96,55,37,1240,177,0,19,0,19
37,Fuller Park,1562,57,306,81,35,20,496,110,207,89,38,29,23,31,33,53,399,78,25,39,0,16
38,Grand Boulevard,12233,256,1184,213,741,142,939,172,3540,304,2439,260,629,156,473,123,2262,188,26,43,0,43
39,Kenwood,10635,181,785,137,773,162,274,115,907,189,1406,231,605,158,910,172,4967,257,8,32,0,31
40,Washington Park,5627,162,351,105,231,92,414,108,1519,205,1574,204,321,103,458,113,748,112,11,34,0,27
41,Hyde Park,14824,193,744,133,971,147,139,77,1257,215,2543,277,1069,194,2574,293,5527,342,0,38,0,38
42,Woodlawn,13994,192,1028,187,538,132,2332,259,3964,348,2257,281,671,166,805,174,2385,229,14,41,0,36
43,South Shore,28629,277,3525,319,840,197,2402,332,6219,521,6043,534,2032,327,3187,361,4351,368,30,49,0,44
44,Chatham,17044,198,5280,326,757,182,1751,276,4095,418,3183,354,908,206,671,179,351,116,48,56,0,37
45,Avalon Park,4406,107,2960,210,179,99,413,138,407,129,258,114,22,24,116,68,51,50,0,19,0,19
46,South Chicago,14460,200,4129,302,408,155,3683,377,3699,373,1256,244,402,120,213,113,647,140,0,37,23,50
47,Burnside,1264,54,730,103,23,38,196,100,120,64,6,12,20,31,8,12,150,55,11,20,0,11
48,Calumet Heights,6151,78,4687,195,135,78,655,165,443,122,111,77,42,42,33,48,5,26,24,45,16,35
49,Roseland,18311,200,10671,349,1304,174,2597,320,1557,266,1288,234,326,130,120,83,406,134,42,59,0,41
50,Pullman,3518,63,1053,124,1442,142,269,99,483,117,44,35,22,24,21,33,184,73,0,19,0,19
51,South Deering,5912,81,2649,223,1759,171,830,171,337,126,138,64,47,41,8,26,136,73,0,25,8,26
52,East Side,7876,92,4681,252,273,105,1920,237,810,176,139,75,8,27,0,29,21,44,24,46,0,29
53,West Pullman,11697,139,8033,309,243,96,2080,283,650,169,285,137,125,74,62,56,206,88,13,42,0,39
54,Riverdale,3344,51,680,153,1766,198,86,70,170,100,255,103,261,98,44,52,82,80,0,16,0,16
55,Hegewisch,4045,123,2531,216,99,95,597,199,370,176,90,81,20,36,15,27,60,35,263,109,0,19
56,Garfield Ridge,12732,172,10271,257,324,121,620,159,592,166,601,149,126,80,66,56,104,87,28,52,0,42
57,Archer Heights,4212,73,2122,186,73,43,1183,177,554,150,115,69,76,50,30,54,7,25,52,53,0,27
58,Brighton Park,13810,186,3835,305,168,72,5744,394,3468,339,361,127,71,70,35,57,92,84,36,58,0,43
59,McKinley Park,5709,101,1867,214,264,97,1809,214,1179,188,404,111,126,80,34,45,22,33,4,23,0,25
60,Bridgeport,14074,195,3873,291,537,140,3546,306,3624,334,1714,261,189,79,238,99,324,105,29,41,0,37
61,New City,15885,203,3532,281,251,97,6053,385,4370,355,1126,206,77,65,183,84,243,77,31,49,19,55
62,West Elsdon,5340,95,3538,187,215,79,577,147,464,123,352,111,70,75,40,49,73,66,11,30,0,27
63,Gage Park,10432,129,4804,293,58,51,2829,297,1851,267,441,144,275,104,10,42,101,49,63,79,0,41
64,Clearing,9174,53,5431,259,622,116,530,161,787,179,1371,192,401,119,10,33,15,33,7,31,0,31
65,West Lawn,9729,110,7201,256,90,51,834,203,462,151,315,113,185,79,366,110,266,99,10,34,0,34
66,Chicago Lawn,19044,177,8290,383,185,87,4080,407,2924,349,1891,277,1019,222,305,111,322,115,28,64,0,49
67,West Englewood,13716,204,7020,322,269,96,3963,337,1601,239,297,102,136,85,90,72,312,97,16,51,12,50
68,Englewood,14753,241,3318,293,449,121,5333,372,2265,273,1334,223,439,121,415,117,1155,157,45,53,0,36
