area_id,area_name,b99021001,b99021001_moe,b99021002,b99021002_moe,b99021003,b99021003_moe
1,Rogers Park,57559,-1,1226,-1,56333,-1
2,West Ridge,73705,-1,1138,-1,72567,-1
3,Uptown,54995,-1,813,-1,54182,-1
4,Lincoln Square,38622,-1,522,-1,38100,-1
5,North Center,33418,-1,707,-1,32711,-1
6,Lake View,96539,-1,1138,-1,95401,-1
7,Lincoln Park,64631,-1,921,-1,63710,-1
8,Near North Side,80516,-1,945,-1,79571,-1
9,Edison Park,11135,-1,148,-1,10987,-1
10,Norwood Park,37429,-1,344,-1,37085,-1
11,Jefferson Park,26771,-1,641,-1,26130,-1
12,Forest Glen,18542,-1,363,-1,18179,-1
13,North Park,18739,-1,388,-1,18351,-1
14,Albany Park,53897,-1,1284,-1,52613,-1
15,Portage Park,63619,-1,1282,-1,62337,-1
16,Irving Park,56513,-1,1468,-1,55045,-1
17,Dunning,42115,-1,958,-1,41157,-1
18,Montclare,12401,-1,322,-1,12079,-1
19,Belmont Cragin,77885,-1,1947,-1,75938,-1
20,Hermosa,25068,-1,815,-1,24253,-1
21,Avondale,41542,-1,1090,-1,40452,-1
22,Logan Square,73786,-1,1399,-1,72387,-1
23,Humboldt Park,54351,-1,1765,-1,52586,-1
24,West Town,84087,-1,1673,-1,82414,-1
25,Austin,98162,-1,1626,-1,96536,-1
26,West Garfield Park,19377,-1,167,-1,19210,-1
27,East Garfield Park,21316,-1,236,-1,21080,-1
28,Near West Side,54151,-1,900,-1,53251,-1
29,North Lawndale,36074,-1,469,-1,35605,-1
30,South Lawndale,70557,-1,1550,-1,69007,-1
31,Lower West Side,36577,-1,748,-1,35829,-1
32,Loop,26363,-1,553,-1,25810,-1
33,Near South Side,20245,-1,351,-1,19894,-1
34,Armour Square,13710,-1,75,-1,13635,-1
35,Douglas,19111,-1,208,-1,18903,-1
36,Oakland,6260,-1,24,-1,6236,-1
37,Fuller Park,2924,-1,22,-1,2902,-1
38,Grand Boulevard,23151,-1,265,-1,22886,-1
39,Kenwood,18180,-1,285,-1,17895,-1
40,Washington Park,11146,-1,110,-1,11036,-1
41,Hyde Park,26541,-1,526,-1,26015,-1
42,Woodlawn,24445,-1,425,-1,24020,-1
43,South Shore,47526,-1,488,-1,47038,-1
44,Chatham,33244,-1,371,-1,32873,-1
45,Avalon Park,9617,-1,126,-1,9491,-1
46,South Chicago,29458,-1,678,-1,28780,-1
47,Burnside,3508,-1,23,-1,3485,-1
48,Calumet Heights,14382,-1,128,-1,14254,-1
49,Roseland,45285,-1,430,-1,44855,-1
50,Pullman,7262,-1,50,-1,7212,-1
51,South Deering,16445,-1,241,-1,16204,-1
52,East Side,23517,-1,863,-1,22654,-1
53,West Pullman,30810,-1,208,-1,30602,-1
54,Riverdale,6820,-1,25,-1,6795,-1
55,Hegewisch,10168,-1,170,-1,9998,-1
56,Garfield Ridge,33940,-1,1078,-1,32862,-1
57,Archer Heights,13434,-1,423,-1,13011,-1
58,Brighton Park,44148,-1,1310,-1,42838,-1
59,McKinley Park,16434,-1,538,-1,15896,-1
60,Bridgeport,32430,-1,548,-1,31882,-1
61,New City,42107,-1,680,-1,41427,-1
62,West Elsdon,18980,-1,573,-1,18407,-1
63,Gage Park,39492,-1,832,-1,38660,-1
64,Clearing,22716,-1,614,-1,22102,-1
65,West Lawn,32950,-1,982,-1,31968,-1
66,Chicago Lawn,54807,-1,1282,-1,53525,-1
67,West Englewood,35294,-1,303,-1,34991,-1
68,Englewood,28824,-1,148,-1,28676,-1
69,Greater Grand Crossing,32873,-1,470,-1,32403,-1
70,Ashburn,42788,-1,1028,-1,41760,-1
71,Auburn Gresham,49634,-1,622,-1,49012,-1
72,Beverly,21226,-1,326,-1,20900,-1
73,Washington Heights,26021,-1,199,-1,25822,-1
74,Mount Greenwood,18475,-1,231,-1,18244,-1
75,Morgan Park,22681,-1,255,-1,22426,-1
76,O'Hare,13687,-1,160,-1,13527,-1
77,Edgewater,55333,-1,952,-1,54381,-1
