area_id,area_name,b19313a001,b19313a001_moe
1,Rogers Park,889080400,54873341
2,West Ridge,1136327200,171162944
3,Uptown,1500689900,81535423
4,Lincoln Square,1206964300,73257605
5,North Center,1794575900,110825869
6,Lake View,5240036300,194458796
7,Lincoln Park,4302115300,220899351
8,Near North Side,6202408400,349081080
9,Edison Park,441842600,29635401
10,Norwood Park,1119281300,51725546
11,Jefferson Park,615437200,41397312
12,Forest Glen,693500300,57842950
13,North Park,355189900,37258528
14,Albany Park,658396700,48042597
15,Portage Park,1155267200,55390331
16,Irving Park,1143443900,59674564
17,Dunning,970201600,44146715
18,Montclare,188953600,26539194
19,Belmont Cragin,569975700,43760793
20,Hermosa,163017500,21045376
21,Avondale,635654900,37355516
22,Logan Square,1987875000,78107913
23,Humboldt Park,268793900,33989293
24,West Town,3091102400,110785867
25,Austin,218445400,22608541
26,West Garfield Park,3905900,2472942
27,East Garfield Park,21123000,7217646
28,Near West Side,1612544300,99131252
29,North Lawndale,24759400,7590464
30,South Lawndale,511519000,34212468
31,Lower West Side,336305500,30202283
32,Loop,1259544400,191999738
33,Near South Side,714504200,85070578
34,Armour Square,53370200,10957251
35,Douglas,65701600,17087354
36,Oakland,9536200,6082366
37,Fuller Park,1026700,933466
38,Grand Boulevard,42500400,16158831
39,Kenwood,216334000,41184962
40,Washington Park,947200,1105480
41,Hyde Park,571511800,54511370
42,Woodlawn,41573100,9018791
43,South Shore,30419900,18288068
44,Chatham,3995900,3750993
45,Avalon Park,7523300,8288276
46,South Chicago,74705000,12191567
48,Calumet Heights,7758800,3753659
49,Roseland,10021400,4797369
50,Pullman,26696700,5882055
51,South Deering,59941800,12788483
52,East Side,318194000,27653445
53,West Pullman,17897800,10561890
54,Riverdale,2746500,2305220
55,Hegewisch,198094600,23701512
56,Garfield Ridge,705810500,36755004
57,Archer Heights,159593000,18754750
58,Brighton Park,371366200,31269270
59,McKinley Park,159179700,19085319
60,Bridgeport,425489100,30594726
61,New City,277997900,22350071
62,West Elsdon,200187700,19944304
63,Gage Park,288961700,24832482
64,Clearing,457913400,31662225
65,West Lawn,277295600,26652988
66,Chicago Lawn,116272300,21619331
67,West Englewood,8947800,3886343
68,Englewood,2860400,1696533
69,Greater Grand Crossing,3296900,1548746
70,Ashburn,275235100,28318207
71,Auburn Gresham,1475700,1196530
72,Beverly,572646600,35493503
73,Washington Heights,6767800,4700895
74,Mount Greenwood,601216200,32011793
75,Morgan Park,260761500,22713137
76,O'Hare,291605900,33071835
77,Edgewater,1401364100,77973108
