area_id,area_name,b19013i001,b19013i001_moe
1,Rogers Park,420700,87843
2,West Ridge,609649,144354
3,Uptown,328763,111123
4,Lincoln Square,558624,153972
5,North Center,954069,298630
6,Lake View,1966609,604328
7,Lincoln Park,867535,311743
8,Near North Side,1191867,651415
9,Edison Park,156989,101186
10,Norwood Park,583763,141556
11,Jefferson Park,372890,118515
12,Forest Glen,245223,171903
13,North Park,210904,104985
14,Albany Park,508915,53552
15,Portage Park,797685,140473
16,Irving Park,662711,78342
17,Dunning,683736,137764
18,Montclare,93997,17394
19,Belmont Cragin,780532,63979
20,Hermosa,246630,28170
21,Avondale,448178,42215
22,Logan Square,1018758,176877
23,Humboldt Park,501062,71608
24,West Town,1213589,168889
25,Austin,906595,188313
27,East Garfield Park,141373,105054
28,Near West Side,873810,322763
29,North Lawndale,260205,126567
30,South Lawndale,583775,34692
31,Lower West Side,403925,44867
32,Loop,257532,154817
33,Near South Side,178446,27089
34,Armour Square,83178,68578
35,Douglas,278185,309220
36,Oakland,94722,75770
37,Fuller Park,69833,66850
38,Grand Boulevard,257712,101251
39,Kenwood,221105,210644
40,Washington Park,70000,41245
41,Hyde Park,319483,226470
42,Woodlawn,297732,102748
43,South Shore,178049,155775
44,Chatham,18427,15589
46,South Chicago,227830,52430
48,Calumet Heights,133317,88646
49,Roseland,47679,2068
50,Pullman,96420,44028
51,South Deering,104509,112249
52,East Side,269053,29097
53,West Pullman,46607,11910
54,Riverdale,44769,40664
55,Hegewisch,91362,34518
56,Garfield Ridge,658624,91910
57,Archer Heights,246657,36786
58,Brighton Park,360161,30642
59,McKinley Park,239930,28264
60,Bridgeport,534832,81476
61,New City,592777,80944
62,West Elsdon,190809,24545
63,Gage Park,324687,29873
64,Clearing,418878,68673
65,West Lawn,310002,27450
66,Chicago Lawn,476127,119911
67,West Englewood,133529,434944
68,Englewood,21250,32742
69,Greater Grand Crossing,69656,87039
70,Ashburn,452073,51795
71,Auburn Gresham,110239,76750
72,Beverly,613843,189973
73,Washington Heights,87625,150933
74,Mount Greenwood,515360,317360
75,Morgan Park,252676,124889
76,O'Hare,149700,56209
77,Edgewater,814079,153227
