area_id,area_name,b19301b001,b19301b001_moe
1,Rogers Park,239319,19366
2,West Ridge,310032,64186
3,Uptown,326628,90688
4,Lincoln Square,230414,41569
5,North Center,233501,94253
6,Lake View,524221,92868
7,Lincoln Park,394607,79571
8,Near North Side,861831,197331
10,Norwood Park,82673,32268
11,Jefferson Park,48685,20383
12,Forest Glen,52497,24299
13,North Park,89309,30125
14,Albany Park,198143,45742
15,Portage Park,116213,35935
16,Irving Park,222364,60325
17,Dunning,63329,16643
18,Montclare,46137,17594
19,Belmont Cragin,203625,33014
20,Hermosa,56282,21003
21,Avondale,218407,56987
22,Logan Square,649588,80072
23,Humboldt Park,174742,17141
24,West Town,730387,157279
25,Austin,361586,16623
26,West Garfield Park,105409,8092
27,East Garfield Park,145258,14501
28,Near West Side,464755,59264
29,North Lawndale,175459,20227
30,South Lawndale,147507,37981
31,Lower West Side,183564,36580
32,Loop,171743,28275
33,Near South Side,115510,19463
34,Armour Square,41677,15014
35,Douglas,222795,14759
36,Oakland,45611,5500
37,Fuller Park,20705,2963
38,Grand Boulevard,272338,23115
39,Kenwood,227557,24143
40,Washington Park,85551,9589
41,Hyde Park,471686,102700
42,Woodlawn,192505,18586
43,South Shore,289070,13980
44,Chatham,189489,10173
45,Avalon Park,47990,4479
46,South Chicago,151007,13628
47,Burnside,12198,3916
48,Calumet Heights,136516,10507
49,Roseland,264765,13678
50,Pullman,57093,8107
51,South Deering,52492,9099
52,East Side,124024,38429
53,West Pullman,138430,8092
54,Riverdale,15925,2438
55,Hegewisch,57293,13992
56,Garfield Ridge,127606,27498
57,Archer Heights,13136,2413
58,Brighton Park,55287,26999
59,McKinley Park,78971,23747
60,Bridgeport,72194,30995
61,New City,152822,16705
62,West Elsdon,61297,21935
63,Gage Park,69085,16193
64,Clearing,38739,12756
65,West Lawn,83307,18073
66,Chicago Lawn,140201,10649
67,West Englewood,213324,11896
68,Englewood,127302,13770
69,Greater Grand Crossing,202256,15221
70,Ashburn,225309,18231
71,Auburn Gresham,223595,10340
72,Beverly,242474,33994
73,Washington Heights,155797,7585
74,Mount Greenwood,86989,24904
75,Morgan Park,155095,18528
76,O'Hare,94260,36317
77,Edgewater,320185,38952
