area_id,area_name,b09002001,b09002001_moe,b09002002,b09002002_moe,b09002003,b09002003_moe,b09002004,b09002004_moe,b09002005,b09002005_moe,b09002006,b09002006_moe,b09002007,b09002007_moe,b09002008,b09002008_moe,b09002009,b09002009_moe,b09002010,b09002010_moe,b09002011,b09002011_moe,b09002012,b09002012_moe,b09002013,b09002013_moe,b09002014,b09002014_moe,b09002015,b09002015_moe,b09002016,b09002016_moe,b09002017,b09002017_moe,b09002018,b09002018_moe,b09002019,b09002019_moe,b09002020,b09002020_moe
40,Washington Park,2772,415,321,158,79,65,14,28,6,27,154,88,68,54,2451,391,136,72,59,48,0,27,0,27,41,41,36,34,2315,382,277,105,254,104,153,82,735,175,896,207
41,Hyde Park,3362,445,2363,369,598,160,286,96,88,67,724,191,667,179,999,279,58,46,23,43,0,38,0,38,23,40,12,39,941,279,109,96,177,124,30,60,279,108,346,149
42,Woodlawn,4569,608,1080,291,185,86,226,102,77,63,332,128,260,127,3489,541,188,125,37,55,25,44,0,36,87,80,39,54,3301,538,316,116,394,144,139,74,1283,259,1169,271
43,South Shore,8527,973,1718,417,159,111,199,121,162,98,376,156,822,277,6809,912,643,247,157,100,112,81,20,55,112,99,242,130,6166,893,927,299,730,228,186,108,1766,397,2557,464
44,Chatham,6460,895,1505,442,66,72,191,121,23,41,448,157,777,291,4955,832,231,135,47,67,17,45,0,37,43,64,124,97,4724,824,814,254,537,191,301,160,1612,379,1460,304
45,Avalon Park,1376,278,560,185,111,72,13,25,15,27,204,98,217,107,816,214,139,96,0,19,0,19,0,19,82,80,57,56,677,220,33,48,74,63,9,21,172,104,389,158
46,South Chicago,6640,760,2666,572,270,120,246,115,95,60,816,238,1239,324,3974,607,890,355,74,58,69,58,25,47,238,124,484,221,3084,545,418,166,376,135,250,136,1054,261,986,227
47,Burnside,643,323,41,70,0,11,0,11,0,11,21,35,20,35,602,340,46,72,0,11,0,11,0,11,46,72,0,11,556,315,96,57,9,18,23,35,167,156,261,172
48,Calumet Heights,1987,362,1118,289,160,108,36,43,97,81,424,141,401,143,869,285,91,79,15,38,0,27,15,36,12,32,49,42,778,266,69,92,109,79,48,62,193,137,359,141
49,Roseland,7865,787,2999,645,207,97,321,164,196,128,1062,268,1213,339,4866,652,582,235,28,57,44,63,95,115,114,77,301,163,4284,625,305,137,248,117,122,80,1354,315,2255,387
50,Pullman,1246,329,329,181,29,35,74,61,5,20,171,108,50,36,917,295,123,81,84,72,0,19,0,19,39,47,0,19,794,285,75,64,109,88,20,28,295,144,295,132
51,South Deering,3284,597,1506,400,175,88,135,84,65,66,618,230,513,162,1778,439,45,48,0,25,0,25,0,25,0,25,45,48,1733,437,107,98,152,102,42,55,618,213,814,230
52,East Side,6456,793,3647,603,489,178,382,154,188,101,1286,272,1302,296,2809,652,520,255,98,82,107,105,24,47,137,102,154,108,2289,612,306,148,228,103,120,72,906,310,729,253
53,West Pullman,6097,995,2222,817,176,108,80,103,123,82,663,374,1180,484,3875,736,265,170,11,41,21,50,21,50,104,111,108,82,3610,716,426,184,321,152,68,60,1322,319,1473,396
54,Riverdale,2604,421,190,164,0,16,0,16,0,16,95,91,95,92,2414,426,252,198,35,42,19,38,20,35,35,42,143,132,2162,445,267,136,122,81,123,74,756,220,894,248
55,Hegewisch,2561,549,1465,462,91,83,210,134,123,100,555,211,486,234,1096,441,259,285,11,20,0,19,0,19,72,91,176,195,837,382,145,131,87,93,61,80,316,237,228,126
56,Garfield Ridge,7167,558,5665,526,703,186,651,168,368,149,1923,300,2020,306,1502,493,423,209,76,69,28,51,9,41,187,168,123,99,1079,459,158,99,110,89,70,76,432,228,309,147
57,Archer Heights,3463,438,2394,421,399,145,405,144,118,67,653,159,819,184,1069,297,305,161,189,128,24,45,0,27,25,34,67,55,764,262,241,143,10,27,34,38,253,108,226,114
58,Brighton Park,12585,907,8944,839,1211,276,934,228,317,119,2778,415,3704,474,3641,649,1011,340,282,140,210,125,17,49,315,162,187,112,2630,583,289,157,374,155,125,87,933,266,909,267
