area_id,area_name,b19202d001,b19202d001_moe
1,Rogers Park,328900,232802
2,West Ridge,343224,193774
3,Uptown,574386,223910
4,Lincoln Square,351300,298559
5,North Center,547318,238359
6,Lake View,1988102,599430
7,Lincoln Park,744402,375864
8,Near North Side,1596504,282007
9,Edison Park,24833,48452
11,Jefferson Park,38448,26445
12,Forest Glen,57125,34742
13,North Park,35056,149415
14,Albany Park,216686,299641
15,Portage Park,56179,28180
16,Irving Park,552185,285002
17,Dunning,124298,103244
18,Montclare,52273,2379
19,Belmont Cragin,83542,26886
20,Hermosa,61250,125072
21,Avondale,215033,156518
22,Logan Square,1119201,384012
23,Humboldt Park,69333,2405
24,West Town,1368395,417832
25,Austin,25625,8405
28,Near West Side,996793,222636
31,Lower West Side,112146,42009
32,Loop,229454,128181
33,Near South Side,165996,57183
34,Armour Square,37708,5835
35,Douglas,293747,120805
39,Kenwood,68418,17297
41,Hyde Park,433775,159908
58,Brighton Park,39375,103322
59,McKinley Park,45771,27634
60,Bridgeport,309360,96113
61,New City,135750,62281
62,West Elsdon,7961,12120
63,Gage Park,28438,130816
76,O'Hare,87305,38735
77,Edgewater,411703,175757
