area_id,area_name,b20017i001,b20017i001_moe,b20017i002,b20017i002_moe,b20017i003,b20017i003_moe,b20017i004,b20017i004_moe,b20017i005,b20017i005_moe,b20017i006,b20017i006_moe,b20017i007,b20017i007_moe
1,Rogers Park,119362,14434,128081,17580,147627,23648,80430,35817,98666,31153,150984,112980,62007,11669
2,West Ridge,155422,32809,160397,35708,210544,89499,103030,33840,166333,48275,242855,39040,105976,109976
3,Uptown,139999,39833,131196,75697,141328,110351,61038,111108,148370,37181,210798,52314,112202,51677
4,Lincoln Square,123101,32265,110584,30978,169216,114845,64927,34531,120359,30081,169901,39809,68690,49504
5,North Center,86447,42026,85558,38681,140542,53537,14640,22353,93707,42515,144125,61181,53021,75591
6,Lake View,175656,53189,209035,108288,248039,201156,57354,279456,156543,81316,251722,108798,52812,48955
7,Lincoln Park,45822,29543,76664,34933,144574,53230,38596,29601,33795,25363,114308,137937,15099,17095
10,Norwood Park,29071,22423,52695,57063,53594,37332,9550,71505,28450,25583,29950,4461,8370,3954
11,Jefferson Park,87415,35649,110728,42893,143073,31403,33946,26153,77922,17967,103808,59413,64164,33647
12,Forest Glen,29213,13974,32222,9889,41583,8855,5400,13386,18405,3539,19838,42383,8083,5945
13,North Park,34323,9325,40679,15094,54885,24146,27963,4618,25916,12302,58511,20180,9094,13023
14,Albany Park,231039,19302,260768,19998,310440,31901,169950,51594,191602,27957,251385,26678,110988,36086
15,Portage Park,238140,17309,249444,36784,351366,37888,102259,28161,224250,43005,332059,37980,128760,38507
16,Irving Park,332231,43645,339115,46386,418202,47237,192861,63804,315020,80503,460533,112235,166979,60501
17,Dunning,196835,26279,202473,73395,309459,53109,115440,51509,180518,35065,236213,61454,89477,104944
18,Montclare,47256,13131,51167,20428,79356,12760,18890,7032,45618,12098,72750,26666,19910,9333
19,Belmont Cragin,385751,18846,439119,29621,541628,26047,231809,34793,326166,24495,438350,45352,193303,26426
20,Hermosa,128428,9232,158552,23520,177198,14547,66249,12548,111737,17687,154291,15023,62750,14695
21,Avondale,219427,14653,226772,24600,283530,30774,129241,42344,200748,17190,244285,41286,94848,44748
22,Logan Square,447106,38462,464421,51249,570533,85480,255649,141290,435069,50881,557971,69487,239525,59959
23,Humboldt Park,270659,20476,298829,24747,348114,38571,165800,46791,218558,34122,292943,34940,109301,106027
24,West Town,465052,55736,491752,92123,592577,184713,249740,132220,449278,108392,585362,72493,279120,90930
25,Austin,69499,9855,69125,16641,95766,29514,30945,39664,78330,29764,100857,31143,18404,23965
28,Near West Side,133679,43165,210536,115009,276065,95140,49076,81633,94521,59027,178072,48115,43875,15828
29,North Lawndale,37111,21167,42091,19490,52407,11982,17881,33658,55551,19063,61875,22584,40573,52407
30,South Lawndale,309234,11824,333307,16922,417504,24072,198669,26437,261152,36687,414695,36494,144041,15966
31,Lower West Side,201457,15275,208759,15578,253057,29038,118731,26208,174773,28742,255277,55579,86584,16231
32,Loop,78273,32840,67180,131681,122674,280078,61893,16625,73607,40402,88788,39454,41311,7050
33,Near South Side,60429,8429,66349,32747,85472,39409,36585,20142,53189,21742,54617,23969,16029,55495
34,Armour Square,30865,6005,34167,16897,46458,48005,31010,1362,11538,9186,16786,9121,9167,9467
41,Hyde Park,43417,35144,45721,27307,57768,15062,13500,14098,7115,37278,29135,40263,5481,1834
46,South Chicago,85501,14883,105058,22456,126859,26149,115342,119416,65209,19459,106668,37970,47047,13743
50,Pullman,15022,2705,16004,1174,28375,14976,15536,3902,12963,10252,35000,11507,8462,6772
51,South Deering,56675,10875,71456,15647,109042,57470,48185,30797,43560,10437,118095,23332,26712,9019
52,East Side,118704,18633,140646,18833,172684,23617,83476,22297,92174,22770,162411,32212,48339,20011
53,West Pullman,21742,4492,22352,11123,32868,6678,11136,14419,20542,8298,27596,4734,9536,5805
55,Hegewisch,51250,12482,63687,15901,86221,35519,24441,31289,37398,15756,53498,32122,19752,15616
56,Garfield Ridge,223701,21984,273562,58045,336527,54316,68262,53444,178248,27330,258508,55259,71997,29391
57,Archer Heights,118382,7570,138314,18872,171508,33095,85805,41661,102340,17972,128483,14596,67870,20956
58,Brighton Park,207923,16362,238397,19445,288151,19478,125591,29378,166110,15734,240463,33634,83409,13028
59,McKinley Park,115383,9580,121998,19851,170582,21934,70171,13031,101127,17130,138985,29083,50879,20497
60,Bridgeport,255054,40142,280610,83662,350014,94626,213929,218305,223985,50505,286419,55512,140232,156396
61,New City,170616,15381,201273,23962,274430,28817,109767,22816,111121,26584,202872,51139,86112,51520
62,West Elsdon,92376,10491,105076,10501,134073,20891,43604,24978,77684,10528,139193,19927,33570,11763
63,Gage Park,163516,9876,176253,11525,205729,19417,110084,18349,142955,17898,201187,17078,81644,23476
64,Clearing,182945,32772,246326,51933,289022,51617,129939,97752,145430,21318,196512,40206,104132,52744
65,West Lawn,162155,10070,179352,11789,208180,18040,109405,27052,135687,12844,181596,13983,59992,11100
66,Chicago Lawn,152120,27584,174644,17684,211603,32392,104093,20008,118369,22465,187075,18315,70743,10101
70,Ashburn,122487,13855,131918,31713,164532,73235,70128,27887,99366,19212,137720,27394,51814,17939
72,Beverly,51667,17491,56875,22328,56641,17756,112917,135698,4167,38708,60500,33240,2708,1514
76,O'Hare,27788,6369,28966,8730,32000,12964,10764,8502,19250,12779,24706,6141,17333,41765
77,Edgewater,94059,25645,131864,30441,159373,56072,152457,173619,68278,27910,84110,41810,35579,21523
