area_id,area_name,b08202001,b08202001_moe,b08202002,b08202002_moe,b08202003,b08202003_moe,b08202004,b08202004_moe,b08202005,b08202005_moe,b08202006,b08202006_moe,b08202007,b08202007_moe,b08202008,b08202008_moe,b08202009,b08202009_moe,b08202010,b08202010_moe,b08202011,b08202011_moe,b08202012,b08202012_moe,b08202013,b08202013_moe,b08202014,b08202014_moe,b08202015,b08202015_moe,b08202016,b08202016_moe,b08202017,b08202017_moe,b08202018,b08202018_moe,b08202019,b08202019_moe,b08202020,b08202020_moe,b08202021,b08202021_moe,b08202022,b08202022_moe
1,Rogers Park,23981,550,4804,461,11965,622,6120,504,1092,248,10695,611,3370,407,7325,537,6377,492,846,183,1913,290,3618,413,2747,371,367,153,1151,264,1027,213,202,111,4162,424,221,142,1576,304,1475,262,890,224
2,West Ridge,24402,485,5408,459,10573,610,6632,557,1789,314,6604,521,2835,368,3769,424,6808,513,1729,262,2812,392,2267,343,3355,435,341,157,1234,271,1236,261,544,179,7635,541,503,165,2758,407,3129,418,1245,266
3,Uptown,29441,501,7865,533,13960,654,6854,517,762,225,16694,662,6340,504,10354,599,8285,556,1101,256,2300,354,4884,425,2391,385,267,137,716,231,1036,242,372,160,2071,297,157,99,590,164,934,227,390,153
4,Lincoln Square,17622,376,2697,319,8787,514,5222,402,916,210,7023,480,1680,278,5343,432,5750,427,735,171,1722,278,3293,320,2686,368,147,83,894,220,1202,241,443,155,2163,291,135,98,828,210,727,169,473,153
5,North Center,14724,323,1923,239,6500,395,5734,355,567,137,5222,363,1193,193,4029,351,5138,348,573,151,1104,179,3461,297,1984,251,70,59,640,164,1038,187,236,93,2380,240,87,69,727,154,1235,190,331,116
6,Lake View,52568,659,7860,544,27341,876,15089,687,2278,301,27176,837,5804,493,21372,810,16400,713,1702,285,3462,375,11236,618,5510,418,229,114,1174,237,2456,334,1651,250,3482,330,125,83,1333,226,1397,198,627,185
7,Lincoln Park,32194,546,5342,407,16771,703,8979,543,1102,225,16514,669,4104,376,12410,638,9176,540,898,187,1781,241,6497,509,3280,333,207,94,1051,204,1207,202,815,192,3224,344,133,81,1529,274,1275,202,287,131
8,Near North Side,50758,883,12123,765,29108,1063,9079,722,448,151,31270,1071,9015,711,22255,1003,15681,856,2614,361,5110,534,7957,692,1863,311,188,124,847,214,563,162,265,105,1944,301,306,163,896,251,559,171,183,120
9,Edison Park,4608,141,1145,140,1710,215,1493,192,260,88,1491,202,657,153,834,148,1680,197,429,97,512,151,739,157,453,126,50,39,91,57,194,99,118,61,984,116,9,26,273,82,560,110,142,68
10,Norwood Park,14646,262,4324,309,5250,415,4069,386,1003,204,4550,385,2540,274,2010,284,4507,378,1541,207,1447,251,1519,267,2390,320,165,73,894,216,961,207,370,151,3199,298,78,70,899,207,1589,256,633,159
