area_id,area_name,b19113d001,b19113d001_moe
1,Rogers Park,713851,243451
2,West Ridge,833359,164788
3,Uptown,914285,295302
4,Lincoln Square,837982,191833
5,North Center,974118,368320
6,Lake View,1494122,479454
7,Lincoln Park,1101881,759335
8,Near North Side,1882552,479607
9,Edison Park,172813,236057
10,Norwood Park,545536,142631
11,Jefferson Park,666774,142588
12,Forest Glen,423134,129918
13,North Park,262299,60404
14,Albany Park,630393,218093
15,Portage Park,1014485,359994
16,Irving Park,830019,283580
17,Dunning,995298,278526
18,Montclare,4435,125324
19,Belmont Cragin,582509,183235
21,Avondale,548406,240817
22,Logan Square,815803,346412
24,West Town,1333862,355116
25,Austin,199931,108158
28,Near West Side,1851591,506450
31,Lower West Side,228056,348034
32,Loop,583504,169306
33,Near South Side,299794,103147
34,Armour Square,103276,23769
35,Douglas,176865,147880
39,Kenwood,31991,44445
41,Hyde Park,611525,352644
42,Woodlawn,68857,20939
56,Garfield Ridge,301563,273411
57,Archer Heights,110750,95003
58,Brighton Park,383116,130178
59,McKinley Park,216835,50359
60,Bridgeport,521810,88926
61,New City,158205,60728
62,West Elsdon,397207,216308
63,Gage Park,67248,104523
64,Clearing,106202,14705
65,West Lawn,96761,156240
66,Chicago Lawn,85271,64126
76,O'Hare,104287,61235
77,Edgewater,965345,252332
