area_id,area_name,b25068001,b25068001_moe,b25068002,b25068002_moe,b25068003,b25068003_moe,b25068004,b25068004_moe,b25068005,b25068005_moe,b25068006,b25068006_moe,b25068007,b25068007_moe,b25068008,b25068008_moe,b25068009,b25068009_moe,b25068010,b25068010_moe,b25068011,b25068011_moe,b25068012,b25068012_moe,b25068013,b25068013_moe,b25068014,b25068014_moe,b25068015,b25068015_moe,b25068016,b25068016_moe,b25068017,b25068017_moe,b25068018,b25068018_moe,b25068019,b25068019_moe,b25068020,b25068020_moe,b25068021,b25068021_moe,b25068022,b25068022_moe,b25068023,b25068023_moe,b25068024,b25068024_moe,b25068025,b25068025_moe,b25068026,b25068026_moe,b25068027,b25068027_moe,b25068028,b25068028_moe,b25068029,b25068029_moe,b25068030,b25068030_moe,b25068031,b25068031_moe,b25068032,b25068032_moe,b25068033,b25068033_moe,b25068034,b25068034_moe,b25068035,b25068035_moe,b25068036,b25068036_moe,b25068037,b25068037_moe
1,Rogers Park,16986,651,3088,419,3065,420,80,92,172,108,205,113,1968,351,586,205,54,65,23,51,7252,544,7203,542,282,145,261,119,155,88,1497,271,4290,462,718,180,49,50,4889,489,4780,485,35,59,33,59,139,110,285,123,1347,279,2941,400,109,80,1757,298,1733,296,0,48,0,48,80,89,40,64,324,132,1289,263,24,52
2,West Ridge,12088,626,576,204,533,193,0,51,0,51,26,57,302,148,119,101,86,86,43,81,3385,427,3358,427,101,75,168,125,144,86,623,215,2015,338,307,143,27,57,4998,508,4816,506,133,112,0,51,45,65,230,120,1961,370,2447,369,182,106,3129,428,2928,423,0,51,13,55,41,81,172,118,217,131,2485,390,201,132
3,Uptown,19951,640,5398,524,5373,525,575,224,587,232,701,179,2308,353,816,233,386,170,25,50,8070,580,8018,579,479,170,608,174,725,213,1427,300,2729,373,2050,306,52,63,4376,448,4296,449,94,92,119,88,376,137,450,171,685,197,2572,361,80,69,2107,330,1978,319,14,50,140,86,188,129,271,152,136,93,1229,233,129,96
4,Lincoln Square,10602,509,1232,288,1232,288,0,40,0,40,81,134,506,168,361,125,284,165,0,40,4610,421,4601,421,8,41,0,40,20,43,502,158,2909,364,1162,227,9,41,3530,379,3447,379,0,40,0,40,52,61,268,133,596,172,2531,341,83,67,1230,226,1182,223,0,40,0,40,0,40,26,53,122,79,1034,209,48,57
5,North Center,6966,392,328,123,328,123,38,58,0,43,0,43,81,54,128,92,81,74,0,43,2236,290,2236,290,75,63,39,55,42,52,148,90,945,207,987,199,0,43,2951,312,2899,310,0,43,10,45,10,44,200,95,279,112,2400,280,52,52,1451,237,1390,227,13,46,12,44,0,43,65,66,48,51,1252,222,61,76
6,Lake View,32881,782,5766,549,5722,548,73,86,69,83,152,108,1160,255,3352,465,916,240,44,75,14202,723,14143,722,173,96,238,126,426,183,670,212,3905,411,8731,599,59,76,8569,552,8446,550,39,71,14,69,229,139,173,96,845,206,7146,533,123,89,4344,397,4261,395,0,66,54,77,25,73,127,100,213,113,3842,373,83,75
7,Lincoln Park,17532,621,3411,423,3383,422,23,60,62,64,50,60,644,222,1663,342,941,239,28,68,6958,511,6912,510,192,98,451,133,207,95,366,132,1040,216,4656,452,46,62,4661,429,4516,424,10,50,59,75,59,76,192,91,237,98,3959,410,145,102,2502,320,2381,313,0,51,0,51,35,56,79,80,174,100,2093,293,121,82
8,Near North Side,27993,973,6244,700,6014,689,61,100,191,136,324,182,363,186,1465,333,3610,571,230,133,15013,894,14754,889,454,167,469,155,464,170,368,172,947,242,12052,834,259,122,5327,544,5073,531,231,134,123,87,47,73,98,85,162,101,4412,502,254,122,1409,275,1287,261,86,121,115,121,51,65,88,77,32,58,915,242,122,95
9,Edison Park,932,170,8,27,8,27,8,27,0,25,0,25,0,25,0,25,0,25,0,25,349,106,349,106,0,25,0,25,0,25,40,46,236,96,73,65,0,25,376,137,355,135,0,25,0,25,0,25,0,25,166,90,189,103,21,29,199,104,199,104,0,25,0,25,0,25,17,26,0,25,182,102,0,25
10,Norwood Park,3022,325,217,123,217,123,0,39,15,43,0,39,37,50,110,92,55,79,0,39,781,180,766,180,0,39,0,39,0,39,140,96,278,116,348,130,15,43,1117,247,939,233,0,39,0,39,26,53,53,60,396,154,464,163,178,100,907,237,707,208,10,38,0,39,0,39,60,80,49,57,588,201,200,121
