area_id,area_name,b08301001,b08301001_moe,b08301002,b08301002_moe,b08301003,b08301003_moe,b08301004,b08301004_moe,b08301005,b08301005_moe,b08301006,b08301006_moe,b08301007,b08301007_moe,b08301008,b08301008_moe,b08301009,b08301009_moe,b08301010,b08301010_moe,b08301011,b08301011_moe,b08301012,b08301012_moe,b08301013,b08301013_moe,b08301014,b08301014_moe,b08301015,b08301015_moe,b08301016,b08301016_moe,b08301017,b08301017_moe,b08301018,b08301018_moe,b08301019,b08301019_moe,b08301020,b08301020_moe,b08301021,b08301021_moe
1,Rogers Park,29987,1240,13966,952,11299,842,2667,449,2128,409,307,151,131,90,10,47,91,99,11559,893,4296,592,324,167,5841,608,1098,254,0,48,54,67,16,51,436,158,1996,425,252,142,1708,347
2,West Ridge,31544,1410,22300,1224,18516,1077,3784,670,2858,575,320,162,300,226,253,172,53,68,5390,641,3757,571,39,69,1268,273,326,124,0,51,183,111,45,72,284,138,1845,400,175,110,1322,290
3,Uptown,31694,1148,12672,900,10903,783,1769,433,1209,274,473,337,50,58,10,51,27,59,13793,888,6825,711,126,113,5960,572,882,194,0,48,240,142,41,55,929,244,1595,316,290,151,2134,352
4,Lincoln Square,23019,819,12768,739,11121,738,1647,335,1352,310,222,121,30,55,0,40,43,49,7462,590,1779,386,28,60,4653,472,1002,234,0,40,73,74,12,43,403,130,861,199,220,120,1220,230
5,North Center,20718,729,12065,637,10592,597,1473,299,1275,287,141,83,5,42,0,43,52,71,5540,463,846,205,47,59,4268,404,379,117,0,43,40,52,23,48,482,140,759,177,128,89,1681,296
6,Lake View,68129,1434,25679,1024,21887,961,3792,454,3026,398,658,228,18,71,62,80,28,68,32813,1248,13833,905,147,95,18138,980,695,163,0,66,389,186,67,93,974,235,3513,479,491,182,4203,475
7,Lincoln Park,40875,1123,16522,811,14400,771,2122,340,1856,324,201,94,62,69,1,49,2,49,16911,898,7433,636,184,136,8866,704,428,126,0,51,807,314,41,67,815,256,2858,383,332,145,2589,332
8,Near North Side,50700,1470,15417,958,13993,931,1424,358,1159,331,127,92,94,109,21,59,23,60,12576,868,6978,657,47,74,4869,549,621,203,61,75,2543,461,18,58,633,229,15446,1078,546,196,3521,536
9,Edison Park,5862,391,4621,438,4303,408,318,156,275,151,43,51,0,25,0,25,0,25,650,176,165,100,0,25,165,110,320,103,0,25,0,25,0,25,13,28,292,130,33,42,253,121
10,Norwood Park,17562,809,14914,763,13417,716,1497,345,1245,323,199,129,22,46,9,38,22,50,1772,347,517,242,8,39,949,231,298,114,0,39,13,42,0,39,11,37,227,132,71,63,554,174
11,Jefferson Park,12572,676,10127,602,8877,538,1250,305,935,265,228,123,0,29,87,96,0,29,1727,318,690,230,0,29,709,195,328,119,0,29,7,30,23,37,47,46,263,112,23,45,355,134
12,Forest Glen,9048,443,7079,451,6140,439,939,258,671,207,146,80,109,159,13,36,0,29,1215,229,223,105,0,29,479,164,513,129,0,29,0,29,9,31,50,54,317,113,18,36,360,108
13,North Park,8237,605,6025,510,5080,498,945,252,717,207,117,86,101,100,10,28,0,27,1106,259,465,175,0,27,551,164,90,73,0,27,0,27,0,27,53,44,479,160,150,82,424,163
14,Albany Park,26801,1288,15413,995,12417,850,2996,485,2228,420,473,187,161,118,91,134,43,56,8698,895,3748,609,57,69,4626,642,267,99,0,45,92,76,24,57,197,115,1224,270,69,68,1084,280
15,Portage Park,31046,1174,23655,1108,19613,999,4042,586,3237,500,364,183,187,146,201,163,53,58,5171,559,2790,427,26,57,1845,322,510,148,0,47,24,52,70,91,318,152,774,215,114,82,920,232
