Detailed Occupation by Median Earnings for the Full-time, Year-round Civilian Employed Male Population
------------------------------------------------------------------------------------------------------
Universe: Full-time, Year-round Civilian Employed Male Population 16 Years and Over With Earnings

B24122256  Childcare workers
B24122257  Personal care aides
B24122258  Recreation and fitness workers
B24122259  Residential advisors
B24122260  Personal care and service workers, all other
B24122261  First-line supervisors of retail sales workers
B24122262  First-line supervisors of non-retail sales workers
B24122263  Cashiers
B24122264  Counter and rental clerks
B24122265  Parts salespersons
B24122266  Retail salespersons
B24122267  Advertising sales agents
B24122268  Insurance sales agents
B24122269  Securities, commodities, and financial services sales agents
B24122270  Travel agents
B24122271  Sales representatives, services, all other
B24122272  Sales representatives, wholesale and manufacturing
B24122273  Models, demonstrators, and product promoters
B24122274  Real estate brokers and sales agents
B24122275  Sales engineers
B24122276  Telemarketers
B24122277  Door-to-door sales workers, news and street vendors, and related workers
B24122278  Sales and related workers, all other
B24122279  First-line supervisors of office and administrative support workers
B24122280  Switchboard operators, including answering service
B24122281  Telephone operators
B24122282  Communications equipment operators, all other
B24122283  Bill and account collectors
B24122284  Billing and posting clerks
B24122285  Bookkeeping, accounting, and auditing clerks
B24122286  Gaming cage workers
B24122287  Payroll and timekeeping clerks
B24122288  Procurement clerks
B24122289  Tellers
B24122290  Financial clerks, all other
B24122291  Brokerage clerks
B24122292  Correspondence clerks
B24122293  Court, municipal, and license clerks
B24122294  Credit authorizers, checkers, and clerks
B24122295  Customer service representatives
B24122296  Eligibility interviewers, government programs
B24122297  File clerks
B24122298  Hotel, motel, and resort desk clerks
B24122299  Interviewers, except eligibility and loan
B24122300  Library assistants, clerical
B24122301  Loan interviewers and clerks
B24122302  New accounts clerks
B24122303  Order clerks
B24122304  Human resources assistants, except payroll and timekeeping
B24122305  Receptionists and information clerks
B24122306  Reservation and transportation ticket agents and travel clerks
B24122307  Information and record clerks, all other
B24122308  Cargo and freight agents
B24122309  Couriers and messengers
B24122310  Dispatchers
B24122311  Meter readers, utilities
B24122312  Postal service clerks
B24122313  Postal service mail carriers
B24122314  Postal service mail sorters, processors, and processing machine operators
B24122315  Production, planning, and expediting clerks
B24122316  Shipping, receiving, and traffic clerks
B24122317  Stock clerks and order fillers
B24122318  Weighers, measurers, checkers, and samplers, recordkeeping
B24122319  Secretaries and administrative assistants
B24122320  Computer operators
B24122321  Data entry keyers
B24122322  Word processors and typists
B24122323  Desktop publishers
B24122324  Insurance claims and policy processing clerks
B24122325  Mail clerks and mail machine operators, except postal service
B24122326  Office clerks, general
B24122327  Office machine operators, except computer
B24122328  Proofreaders and copy markers
B24122329  Statistical assistants
B24122330  Office and administrative support workers, all other
B24122331  First-line supervisors of farming, fishing, and forestry workers
B24122332  Agricultural inspectors
B24122333  Animal breeders
B24122334  Graders and sorters, agricultural products
B24122335  Miscellaneous agricultural workers
B24122336  Fishing and hunting workers
B24122337  Forest and conservation workers
B24122338  Logging workers
B24122339  First-line supervisors of construction trades and extraction workers
B24122340  Boilermakers
B24122341  Brickmasons, blockmasons, and stonemasons
B24122342  Carpenters
B24122343  Carpet, floor, and tile installers and finishers
B24122344  Cement masons, concrete finishers, and terrazzo workers
B24122345  Construction laborers
B24122346  Paving, surfacing, and tamping equipment operators
B24122422  Food batchmakers
B24122347  Operating engineers and other construction equipment operators, including pile-driver operators
B24122348  Drywall installers, ceiling tile installers, and tapers
B24122349  Electricians
B24122350  Glaziers
B24122351  Insulation workers
B24122352  Painters, construction and maintenance
B24122353  Paperhangers
B24122354  Pipelayers, plumbers, pipefitters, and steamfitters
B24122355  Plasterers and stucco masons
B24122356  Reinforcing iron and rebar workers
B24122357  Roofers
