area_id,area_name,b17005001,b17005001_moe,b17005002,b17005002_moe,b17005003,b17005003_moe,b17005004,b17005004_moe,b17005005,b17005005_moe,b17005006,b17005006_moe,b17005007,b17005007_moe,b17005008,b17005008_moe,b17005009,b17005009_moe,b17005010,b17005010_moe,b17005011,b17005011_moe,b17005012,b17005012_moe,b17005013,b17005013_moe,b17005014,b17005014_moe,b17005015,b17005015_moe,b17005016,b17005016_moe,b17005017,b17005017_moe,b17005018,b17005018_moe,b17005019,b17005019_moe,b17005020,b17005020_moe,b17005021,b17005021_moe,b17005022,b17005022_moe,b17005023,b17005023_moe
1,Rogers Park,44809,1595,11354,1167,5285,678,2815,461,2248,402,567,194,2470,526,6069,788,2598,450,1883,389,715,209,3471,566,33455,1434,17332,916,14813,860,13945,830,868,246,2519,426,16123,935,12465,792,11780,779,685,181,3658,483
2,West Ridge,55287,1861,9419,1255,4488,712,2440,445,2087,420,353,161,2048,552,4931,743,1649,385,1234,345,415,169,3282,543,45868,1821,22679,1101,16978,991,15631,973,1347,313,5701,647,23189,1050,14026,855,13049,829,977,244,9163,707
3,Uptown,47589,1404,11638,1090,5886,762,2538,454,1627,360,911,273,3348,579,5752,648,2181,405,1495,311,686,231,3571,490,35951,1233,18963,907,16539,854,15555,836,984,263,2424,408,16988,793,13975,726,13417,710,558,180,3013,431
4,Lincoln Square,32305,1011,3665,614,1456,325,956,259,635,192,321,174,500,181,2209,410,1136,292,778,241,358,161,1073,249,28640,1020,14511,667,12275,582,11400,570,875,210,2236,367,14129,652,11086,572,10543,556,543,175,3043,366
5,North Center,27474,832,2024,416,955,260,514,171,357,157,157,81,441,156,1069,265,559,178,386,156,173,99,510,176,25450,812,12605,598,10972,572,10538,561,434,144,1633,236,12845,566,10034,513,9648,505,386,123,2811,351
6,Lake View,86983,1494,10643,928,4810,646,2898,453,2019,361,879,255,1912,387,5833,645,3141,456,2701,417,440,158,2692,425,76340,1514,37943,1181,33919,1112,32923,1115,996,198,4024,431,38397,1216,32417,1169,31298,1176,1119,224,5980,507
7,Lincoln Park,53334,1234,7024,719,3158,494,1454,302,1076,263,378,158,1704,343,3866,502,1887,344,1523,327,364,117,1979,357,46310,1192,22792,920,20052,898,19476,891,576,139,2740,332,23518,881,19141,841,18504,835,637,167,4377,384
8,Near North Side,73424,1565,9017,848,3378,522,1547,382,846,241,701,271,1831,365,5639,639,2265,419,1438,351,827,226,3374,511,64407,1591,30049,1104,24937,1075,23893,1057,1044,261,5112,540,34358,1168,25423,1113,24213,1097,1210,308,8935,604
9,Edison Park,9143,420,274,129,134,99,115,96,115,96,0,25,19,26,140,64,29,31,23,31,6,24,111,55,8869,405,4087,274,3169,251,2984,245,185,87,918,185,4782,305,3041,297,2821,287,220,93,1741,220
10,Norwood Park,30028,869,1635,379,593,183,274,116,183,96,91,70,319,118,1042,254,254,116,80,62,174,97,788,201,28393,908,13759,632,10060,563,9414,564,646,182,3699,369,14634,583,9235,558,8368,556,867,219,5399,380
11,Jefferson Park,21476,937,1368,287,613,184,340,143,264,124,76,74,273,113,755,183,349,149,171,101,178,104,406,127,20108,980,9896,614,7660,525,6693,488,967,301,2236,325,10212,588,6411,492,5802,467,609,173,3801,405
12,Forest Glen,14512,467,907,260,392,144,233,101,180,90,53,53,159,99,515,167,297,139,172,93,125,99,218,94,13605,516,6798,342,5098,324,4819,321,279,104,1700,256,6807,344,4242,325,4028,318,214,89,2565,270
13,North Park,14653,758,1744,401,721,238,364,142,226,122,138,80,357,175,1023,267,295,159,252,151,43,48,728,223,12909,783,6336,485,4691,388,4295,390,396,135,1645,332,6573,469,3821,350,3483,334,338,125,2752,330
14,Albany Park,40987,1521,7766,996,3619,572,2247,417,1789,386,458,176,1372,330,4147,604,1833,424,1423,360,410,181,2314,385,33221,1560,17986,1073,15147,976,14042,923,1105,285,2839,412,15235,864,10815,750,9807,731,1008,251,4420,449
15,Portage Park,50459,1379,5699,782,2246,393,1381,322,717,230,664,203,865,227,3453,561,1666,388,890,246,776,267,1787,365,44760,1516,21491,844,17192,774,15572,751,1620,281,4299,435,23269,1011,16047,898,14521,808,1526,339,7222,585
16,Irving Park,44172,1485,5752,746,2598,398,1371,279,844,227,527,166,1227,300,3154,472,1454,293,934,231,520,178,1700,370,38420,1528,20101,1066,16520,953,15134,927,1386,288,3581,463,18319,825,13167,709,12347,713,820,206,5152,516
17,Dunning,35248,991,3131,527,1337,274,735,196,443,145,292,125,602,176,1794,340,773,221,422,174,351,132,1021,249,32117,1060,15719,682,11777,621,10852,587,925,189,3942,388,16398,661,10734,607,9894,585,840,186,5664,387
18,Montclare,9631,602,1229,328,523,183,420,170,344,151,76,60,103,70,706,190,249,120,149,88,100,78,457,150,8402,646,4103,409,2875,356,2492,319,383,143,1228,241,4299,384,2744,335,2436,309,308,122,1555,254
19,Belmont Cragin,57097,1857,9756,1102,3747,539,2271,393,1601,334,670,211,1476,312,6009,703,2321,379,1482,302,839,227,3688,534,47341,1945,24828,1227,19613,1084,17157,1012,2456,394,5215,531,22513,1056,14642,842,12919,805,1723,315,7871,632
20,Hermosa,18641,960,3122,595,1176,309,713,197,550,159,163,111,463,215,1946,382,927,251,526,165,401,163,1019,242,15519,1033,7975,653,6410,579,5916,560,494,153,1565,314,7544,629,4852,508,4216,452,636,194,2692,376
21,Avondale,32843,1455,5070,934,2286,486,1428,400,1106,379,322,128,858,277,2784,597,962,276,658,225,304,149,1822,443,27773,1424,14663,932,12465,850,11538,835,927,229,2198,338,13110,805,8736,643,8113,629,623,195,4374,585
22,Logan Square,60318,1537,10721,1014,4728,601,2641,409,1959,352,682,200,2087,418,5993,631,2202,327,1532,278,670,188,3791,505,49597,1532,26070,995,22492,910,21271,896,1221,229,3578,438,23527,940,17768,830,16653,796,1115,228,5759,517
23,Humboldt Park,40294,1545,11748,1138,4448,596,1459,313,788,215,671,215,2989,479,7300,730,2433,415,1417,304,1016,275,4867,580,28546,1572,14135,959,9373,754,8476,713,897,239,4762,561,14411,921,8855,682,7618,622,1237,254,5556,583
24,West Town,71738,1608,11163,970,4759,583,2449,413,1722,334,727,202,2310,389,6404,662,2744,397,1936,316,808,235,3660,492,60575,1538,31548,1053,27904,955,26673,937,1231,224,3644,478,29027,981,23764,887,22799,861,965,209,5263,475
25,Austin,74194,1952,20187,1500,8475,835,3206,463,1219,257,1987,367,5269,670,11712,949,5068,568,2946,415,2122,361,6644,657,54007,1954,24403,1117,15501,874,12421,786,3080,430,8902,722,29604,1271,19600,949,16968,831,2632,388,10004,715
26,West Garfield Park,13444,880,5158,609,2081,328,622,151,301,120,321,99,1459,275,3077,418,981,222,569,152,412,159,2096,332,8286,810,4052,470,2402,336,1855,311,547,170,1650,292,4234,462,2617,344,2190,298,427,138,1617,277
27,East Garfield Park,14567,893,5985,715,2291,453,624,217,200,90,424,200,1667,400,3694,451,1184,269,687,168,497,193,2510,349,8582,780,3504,421,2086,289,1915,276,171,77,1418,266,5078,510,3351,339,3023,335,328,109,1727,291
28,Near West Side,44550,1289,10619,927,5099,642,2034,369,994,254,1040,258,3065,495,5520,560,2332,359,1459,289,873,236,3188,396,33931,1129,16916,748,14881,693,14016,658,865,201,2035,295,17015,744,13813,655,13129,642,684,159,3202,400
29,North Lawndale,24993,1235,9931,840,3646,481,1015,217,478,155,537,152,2631,423,6285,581,2155,300,1363,237,792,180,4130,459,15062,1074,6692,639,3826,470,3087,411,739,182,2866,393,8370,690,4800,440,4362,409,438,138,3570,438
30,South Lawndale,44599,1576,12464,1134,5592,630,3617,449,2653,368,964,251,1975,367,6872,651,2712,407,1717,301,995,232,4160,491,32135,1597,17855,1034,14549,935,12846,879,1703,297,3306,397,14280,866,8188,628,7257,585,931,220,6092,570
31,Lower West Side,28268,1255,6686,738,3251,439,2148,324,1512,267,636,188,1103,268,3435,431,1715,299,1125,246,590,179,1720,291,21582,1212,12321,849,10420,789,9200,705,1220,286,1901,294,9261,633,6553,531,5703,487,850,210,2708,357
32,Loop,22050,1083,3352,675,1199,450,737,420,621,411,116,116,462,203,2153,524,667,221,509,202,158,110,1486,486,18698,994,9537,764,8144,746,7820,741,324,153,1393,279,9161,612,6894,552,6664,535,230,128,2267,358
33,Near South Side,17640,962,2148,552,972,410,393,259,292,244,101,89,579,319,1176,348,382,202,261,187,121,69,794,274,15492,1021,7169,662,6446,650,6132,654,314,163,723,202,8323,620,6833,563,6676,563,157,70,1490,298
34,Armour Square,11651,639,4340,573,2071,383,1104,276,729,221,375,171,967,218,2269,321,798,202,508,150,290,126,1471,228,7311,706,3457,436,2568,401,2328,377,240,121,889,166,3854,395,2564,324,2291,296,273,118,1290,231
35,Douglas,13836,629,4148,543,1814,323,665,168,340,136,325,123,1149,270,2334,371,1190,272,731,182,459,147,1144,229,9688,591,4039,379,2935,341,2575,309,360,129,1104,196,5649,415,4073,354,3608,342,465,138,1576,221
36,Oakland,4540,358,1793,362,559,176,300,130,105,64,195,117,259,103,1234,269,617,173,211,94,406,142,617,182,2747,360,1006,182,745,164,643,150,102,69,261,104,1741,257,1300,202,1153,192,147,78,441,147
37,Fuller Park,2268,369,907,231,378,103,85,57,21,21,64,54,293,84,529,182,274,163,116,76,158,110,255,73,1361,364,707,238,407,137,299,102,108,66,300,130,654,187,326,116,286,113,40,28,328,104
38,Grand Boulevard,17229,808,4756,535,1757,307,814,205,298,128,516,167,943,216,2999,362,1655,277,803,187,852,198,1344,222,12473,759,5469,447,3680,355,2998,320,682,158,1789,267,7004,491,5166,406,4470,376,696,174,1838,259
39,Kenwood,14537,693,3028,428,1320,303,444,196,335,185,109,64,876,239,1708,283,781,196,361,134,420,150,927,203,11509,719,5035,457,3418,382,2995,348,423,161,1617,256,6474,491,4345,387,3884,351,461,223,2129,322
40,Washington Park,7799,577,2977,432,987,203,449,136,186,81,263,96,538,149,1990,328,1025,195,536,156,489,122,965,245,4822,562,2175,343,1302,247,1003,202,299,115,873,187,2647,331,1888,257,1606,227,282,115,759,187
41,Hyde Park,20826,816,4381,607,1972,410,754,182,588,163,166,79,1218,346,2409,381,1182,258,920,232,262,116,1227,266,16445,647,7715,476,5862,439,5431,421,431,140,1853,280,8730,434,6188,395,5938,385,250,92,2542,271
42,Woodlawn,18250,850,5373,612,1978,329,933,237,449,153,484,148,1045,202,3395,426,1330,260,610,174,720,197,2065,321,12877,794,5849,538,4046,462,3264,412,782,234,1803,282,7028,503,4884,416,4229,375,655,172,2144,269
43,South Shore,37369,1467,10266,852,3663,485,1716,364,953,279,763,217,1947,326,6603,662,2893,407,1667,338,1226,262,3710,473,27103,1447,12039,828,8315,714,6961,642,1354,308,3724,441,15064,998,10505,751,9171,660,1334,317,4559,565
44,Chatham,25950,1171,6351,802,2306,440,1062,297,559,210,503,213,1244,292,4045,550,2003,372,1010,265,993,265,2042,345,19599,1140,7970,673,4895,508,3937,433,958,256,3075,415,11629,838,7178,633,5997,542,1181,318,4451,446
45,Avalon Park,7933,554,1204,326,440,168,215,109,27,35,188,95,225,109,764,217,465,191,186,102,279,163,299,112,6729,551,3135,397,1994,326,1724,315,270,126,1141,201,3594,332,2167,278,1883,268,284,121,1427,201
46,South Chicago,21913,1124,6051,764,2344,428,966,231,532,163,434,155,1378,315,3707,494,1393,276,775,192,618,206,2314,354,15862,1054,7241,646,4314,471,3701,431,613,175,2927,389,8621,668,5222,513,4540,474,682,186,3399,421
47,Burnside,2613,359,1023,486,373,216,152,134,122,129,30,46,221,140,650,287,282,183,170,120,112,94,368,180,1590,291,779,191,550,195,454,139,96,83,229,81,811,180,466,121,435,115,31,35,345,113
48,Calumet Heights,11740,569,1433,369,609,216,196,101,68,61,128,95,413,161,824,211,328,120,143,84,185,89,496,172,10307,518,4444,381,2806,335,2232,315,574,198,1638,224,5863,395,3120,297,2716,280,404,139,2743,305
49,Roseland,35455,1159,7301,840,3047,470,1000,239,351,136,649,204,2047,368,4254,548,1344,256,791,191,553,158,2910,470,28154,1244,12753,719,7171,538,5744,520,1427,253,5582,480,15401,805,8294,589,7321,524,973,206,7107,539
50,Pullman,5749,393,1067,242,366,132,266,110,76,57,190,98,100,67,701,166,362,118,144,78,218,86,339,124,4682,419,1815,256,1185,218,944,189,241,98,630,150,2867,301,1906,214,1708,212,198,83,961,179
51,South Deering,12586,716,3428,629,1305,315,351,139,221,103,130,94,954,275,2123,424,847,212,638,199,209,124,1276,317,9158,718,3981,421,2595,360,2167,338,428,152,1386,262,5177,504,3104,405,2746,386,358,141,2073,281
52,East Side,16750,855,3157,544,1104,247,676,197,534,179,142,85,428,136,2053,385,769,269,543,254,226,94,1284,262,13593,847,6996,527,5308,493,4710,473,598,154,1688,219,6597,492,3481,346,3204,342,277,92,3116,342
53,West Pullman,22937,1105,5616,871,2107,443,753,206,302,124,451,170,1354,394,3509,547,1441,329,828,219,613,214,2068,395,17321,935,7782,597,4472,471,3624,436,848,190,3310,385,9539,633,5722,534,5235,520,487,142,3817,407
54,Riverdale,4070,428,2303,383,643,187,185,94,80,62,105,74,458,158,1660,296,921,212,544,150,377,146,739,222,1767,312,585,173,390,170,265,113,125,95,195,106,1182,239,698,181,545,145,153,93,484,156
55,Hegewisch,7535,700,1157,297,496,155,201,92,131,88,70,57,295,141,661,222,218,113,157,90,61,67,443,177,6378,781,3166,487,2115,313,2010,300,105,73,1051,297,3212,414,1798,300,1618,273,180,109,1414,308
56,Garfield Ridge,26848,835,1756,337,677,199,346,134,183,104,163,86,331,138,1079,242,442,160,209,114,233,105,637,170,25092,906,12507,623,9089,524,8118,471,971,242,3418,367,12585,555,7907,478,7270,461,637,187,4678,389
57,Archer Heights,9775,569,1097,278,420,139,242,114,196,101,46,45,178,94,677,182,316,153,165,103,151,97,361,118,8678,597,4519,361,3670,339,3087,323,583,143,849,143,4159,344,2367,283,2061,257,306,117,1792,221
58,Brighton Park,31296,1269,7043,831,3113,431,2002,304,1387,253,615,184,1111,258,3930,520,1568,309,1065,243,503,159,2362,371,24253,1343,12981,842,10426,707,9557,670,869,230,2555,367,11272,701,6599,550,5722,514,877,211,4673,464
59,McKinley Park,12322,657,2393,506,1040,248,677,205,513,176,164,80,363,124,1353,339,613,170,381,126,232,108,740,229,9929,690,5163,420,3960,360,3607,345,353,117,1203,219,4766,377,3077,313,2707,271,370,122,1689,264
60,Bridgeport,26550,1027,4907,642,2320,389,1374,320,783,230,591,209,946,241,2587,380,1296,284,966,228,330,128,1291,247,21643,1018,11029,601,8590,537,7695,487,895,258,2439,298,10614,629,7250,520,6532,491,718,177,3364,337
61,New City,29801,1337,8522,987,3694,643,2101,374,1102,223,999,276,1593,385,4828,559,2034,330,1035,223,999,219,2794,385,21279,1184,11251,764,8766,663,7279,603,1487,252,2485,317,10028,638,5912,507,5061,460,851,188,4116,430
62,West Elsdon,14088,688,2020,510,852,302,544,219,405,195,139,97,308,145,1168,281,488,168,326,143,162,80,680,191,12068,744,6071,468,4852,438,3929,375,923,240,1219,221,5997,438,3555,343,3202,325,353,130,2442,350
63,Gage Park,27902,1266,5645,814,2438,423,1734,317,1264,275,470,162,704,224,3207,483,1199,298,814,251,385,165,2008,332,22257,1344,11826,919,9541,820,7849,729,1692,349,2285,317,10431,681,6032,576,5207,516,825,211,4399,473
64,Clearing,17681,728,1552,349,626,186,324,135,263,128,61,39,302,125,926,243,298,126,155,88,143,87,628,197,16129,751,7734,471,6186,453,5636,451,550,217,1548,209,8395,497,5626,454,5196,452,430,141,2769,311
65,West Lawn,23746,902,3851,786,1732,429,1077,289,721,214,356,176,655,233,2119,448,612,198,494,184,118,75,1507,370,19895,1018,10535,700,7916,606,7419,579,497,174,2619,396,9360,620,5571,501,5092,480,479,150,3789,398
66,Chicago Lawn,38428,1470,9839,1084,3518,487,1684,330,991,226,693,226,1834,334,6321,760,2296,372,1438,311,858,193,4025,577,28589,1533,13797,930,9524,761,8074,702,1450,300,4273,531,14792,899,9234,682,8357,643,877,211,5558,513
67,West Englewood,26683,1141,9467,915,3895,533,1864,347,672,201,1192,241,2031,325,5572,568,2456,352,1096,221,1360,240,3116,410,17216,1044,7981,621,4524,461,3107,375,1417,280,3457,400,9235,644,5211,458,4138,380,1073,220,4024,396
68,Englewood,21139,1088,9014,860,3462,472,1258,275,523,149,735,211,2204,350,5552,571,2065,289,1188,223,877,191,3487,463,12125,950,5196,532,2685,367,2076,323,609,170,2511,349,6929,636,4115,445,3502,373,613,177,2814,377
69,Greater Grand Crossing,24674,1059,7052,753,2656,406,1114,241,429,137,685,196,1542,306,4396,533,2156,336,1169,242,987,212,2240,404,17622,1035,7841,645,5182,523,4299,480,883,210,2659,375,9781,682,6193,510,5373,460,820,199,3588,374
70,Ashburn,32466,1202,3350,630,1434,338,597,200,479,188,118,72,837,260,1916,375,684,207,525,167,159,83,1232,286,29116,1250,14305,796,10295,611,8866,560,1429,294,4010,509,14811,763,9791,644,8992,604,799,188,5020,480
71,Auburn Gresham,38178,1367,9555,940,3583,534,1260,309,302,133,958,260,2323,431,5972,630,2884,392,1623,308,1261,256,3088,460,28623,1347,12033,809,7079,641,5315,554,1764,337,4954,485,16590,908,10224,773,8129,629,2095,367,6366,497
