area_id,area_name,b12002h001,b12002h001_moe,b12002h002,b12002h002_moe,b12002h003,b12002h003_moe,b12002h004,b12002h004_moe,b12002h005,b12002h005_moe,b12002h006,b12002h006_moe,b12002h007,b12002h007_moe,b12002h008,b12002h008_moe,b12002h009,b12002h009_moe,b12002h010,b12002h010_moe,b12002h011,b12002h011_moe,b12002h012,b12002h012_moe,b12002h013,b12002h013_moe
1,Rogers Park,20455,1119,10292,718,6026,611,2891,342,72,69,252,128,1051,222,10163,769,4998,663,3054,341,189,128,706,222,1216,224
2,West Ridge,25497,1353,11894,801,4345,537,6011,489,171,98,339,126,1028,249,13603,833,3772,519,6402,520,295,188,1825,319,1309,240
3,Uptown,27013,1091,13772,717,7933,583,4182,421,134,105,257,127,1266,278,13241,725,6143,568,4057,402,258,154,1279,270,1504,313
4,Lincoln Square,21743,967,10885,605,5246,500,4873,398,50,51,49,48,667,168,10858,590,4298,429,4618,381,330,147,690,179,922,195
5,North Center,21575,779,10628,573,4679,536,5327,328,96,72,109,82,417,125,10947,536,4777,477,4906,305,115,87,484,144,665,148
6,Lake View,70569,1529,34587,1173,21270,1112,11196,580,176,104,319,125,1626,288,35982,1246,22624,1202,10199,549,124,90,1128,213,1907,311
7,Lincoln Park,46762,1277,22246,907,12444,845,8384,532,107,69,238,105,1073,229,24516,977,14005,921,8093,528,96,69,740,165,1582,257
8,Near North Side,55460,1508,25478,1143,12280,1018,10515,648,187,121,287,126,2209,378,29982,1124,14332,968,9877,620,77,71,2022,312,3674,447
9,Edison Park,8654,477,3986,334,1254,246,2197,183,40,54,115,56,380,171,4668,341,1478,252,2116,194,34,37,583,147,457,141
10,Norwood Park,25528,794,12241,543,3321,390,7100,391,81,62,659,176,1080,239,13287,571,2699,373,6833,396,244,130,2342,332,1169,227
11,Jefferson Park,15572,926,7688,589,3081,439,3867,337,25,39,243,105,472,153,7884,508,1921,304,3931,364,147,92,1027,204,858,191
12,Forest Glen,11067,535,5534,351,1566,271,3521,226,25,47,167,81,255,111,5533,336,1101,228,3344,243,42,45,656,138,390,123
13,North Park,8077,702,3939,424,1571,343,1847,195,0,27,136,76,385,145,4138,421,1237,268,1696,199,74,77,633,180,498,154
14,Albany Park,13700,860,6731,596,2814,450,2966,318,120,90,180,98,651,194,6969,478,2434,329,2964,309,58,58,750,202,763,195
15,Portage Park,28755,1127,13256,661,4519,446,7039,445,137,99,505,136,1056,223,15499,806,4546,540,6951,463,300,140,2087,305,1615,294
16,Irving Park,20806,987,10515,667,4232,482,4713,351,236,129,373,128,961,227,10291,629,3107,405,4657,363,106,72,1041,197,1380,268
17,Dunning,26496,993,12800,643,4181,481,7192,404,90,61,281,87,1056,244,13696,625,3444,409,6829,421,165,81,2075,268,1183,217
18,Montclare,4460,491,2168,312,684,229,1045,207,54,54,154,72,231,88,2292,298,623,162,1043,180,56,58,342,125,228,105
19,Belmont Cragin,11009,879,5393,570,1926,403,2589,301,82,74,301,120,495,146,5616,504,1345,277,2339,300,211,98,1051,197,670,177
20,Hermosa,1901,395,816,245,390,160,300,107,0,29,41,46,85,52,1085,259,372,141,329,130,0,29,88,52,296,174
21,Avondale,10047,734,4834,466,2421,382,1906,264,37,47,44,50,426,132,5213,483,2066,354,1822,242,135,102,622,166,568,163
22,Logan Square,27488,1007,14386,679,8453,629,4664,335,73,63,64,66,1132,228,13102,664,6775,570,4528,344,138,84,556,163,1105,219
23,Humboldt Park,2742,441,1481,280,861,215,411,133,18,52,17,51,174,90,1261,232,515,127,501,142,46,64,98,64,101,64
24,West Town,43980,1292,22770,901,12988,811,7924,489,62,75,139,83,1657,246,21210,876,11250,742,7403,455,223,120,933,198,1401,235
25,Austin,3903,368,1883,231,715,179,903,149,42,75,48,73,175,91,2020,247,468,146,857,147,49,74,375,146,271,118
26,West Garfield Park,260,131,105,70,56,60,32,41,0,35,0,35,17,39,155,88,93,72,32,36,21,45,0,35,9,33
27,East Garfield Park,582,174,330,117,179,102,79,48,0,38,27,46,45,52,252,94,113,71,111,69,6,37,4,38,18,37
