area_id,area_name,b19001i001,b19001i001_moe,b19001i002,b19001i002_moe,b19001i003,b19001i003_moe,b19001i004,b19001i004_moe,b19001i005,b19001i005_moe,b19001i006,b19001i006_moe,b19001i007,b19001i007_moe,b19001i008,b19001i008_moe,b19001i009,b19001i009_moe,b19001i010,b19001i010_moe,b19001i011,b19001i011_moe,b19001i012,b19001i012_moe,b19001i013,b19001i013_moe,b19001i014,b19001i014_moe,b19001i015,b19001i015_moe,b19001i016,b19001i016_moe,b19001i017,b19001i017_moe
1,Rogers Park,4150,458,237,133,393,162,325,153,407,169,410,174,331,148,406,173,86,80,135,92,392,182,518,195,235,122,161,105,64,59,44,59,6,49
2,West Ridge,3987,483,289,160,358,186,332,197,171,103,201,107,293,144,410,174,472,194,279,148,292,149,172,103,383,165,141,105,155,115,39,64,0,51
3,Uptown,2761,393,633,229,160,102,412,150,87,77,184,104,214,127,182,119,31,52,97,79,170,106,106,89,154,86,229,142,29,55,44,68,29,57
4,Lincoln Square,2496,371,440,227,131,102,162,109,201,110,152,101,107,95,91,75,107,69,65,75,253,136,243,123,280,133,108,81,85,91,25,46,46,69
5,North Center,1541,249,65,58,54,64,34,56,153,94,97,84,83,76,63,68,123,94,37,43,116,81,235,101,166,102,161,82,48,50,43,50,63,50
6,Lake View,3402,424,213,104,258,150,173,107,190,127,134,92,151,108,192,131,245,121,125,89,277,128,460,174,438,150,172,92,88,87,103,92,183,131
7,Lincoln Park,1447,259,282,123,112,83,108,93,95,97,6,51,70,61,35,57,44,70,0,51,85,89,111,70,175,97,23,53,91,78,137,89,73,64
8,Near North Side,2534,470,602,237,100,81,74,69,41,63,189,155,162,242,117,119,75,103,15,58,184,114,210,117,212,122,91,74,101,93,149,114,212,124
9,Edison Park,145,76,10,25,11,26,0,25,0,25,0,25,0,25,9,26,8,25,0,25,26,48,0,25,28,36,34,43,12,24,7,25,0,25
10,Norwood Park,1241,236,11,41,54,59,58,56,33,45,12,41,28,43,111,96,105,107,13,43,31,49,90,88,293,121,197,133,130,93,30,43,45,53
11,Jefferson Park,1419,247,39,67,29,42,24,48,50,62,57,46,154,112,129,101,65,55,75,68,126,107,125,78,251,126,96,70,63,69,111,63,25,40
12,Forest Glen,696,161,39,51,34,45,80,72,0,29,60,61,61,62,46,56,36,52,0,29,0,29,74,53,27,40,34,40,84,62,64,49,57,45
13,North Park,1033,210,79,78,64,64,92,75,79,65,55,71,47,48,50,64,35,50,50,44,73,60,105,82,99,61,93,68,69,53,43,40,0,27
14,Albany Park,6596,437,349,149,283,118,431,172,562,190,535,182,279,129,341,157,416,168,439,158,606,174,826,223,821,195,425,141,136,86,107,69,40,52
15,Portage Park,6703,462,398,173,243,118,318,121,242,124,269,121,550,192,400,165,546,178,366,149,438,155,933,207,1089,226,420,145,214,109,241,104,36,61
16,Irving Park,7006,453,318,153,454,171,501,185,360,145,656,188,546,185,362,146,496,179,372,140,593,176,599,203,856,217,335,123,164,100,208,101,186,113
17,Dunning,2448,262,60,65,71,66,108,74,76,63,66,59,99,69,66,68,84,67,163,83,174,96,399,131,492,136,215,94,255,128,99,76,21,44
18,Montclare,1739,223,177,98,103,67,60,59,60,64,101,77,116,97,111,72,89,67,76,53,258,117,185,91,216,96,133,74,40,33,0,23,14,30
