area_id,area_name,b14007h001,b14007h001_moe,b14007h002,b14007h002_moe,b14007h003,b14007h003_moe,b14007h004,b14007h004_moe,b14007h005,b14007h005_moe,b14007h006,b14007h006_moe,b14007h007,b14007h007_moe,b14007h008,b14007h008_moe,b14007h009,b14007h009_moe,b14007h010,b14007h010_moe,b14007h011,b14007h011_moe,b14007h012,b14007h012_moe,b14007h013,b14007h013_moe,b14007h014,b14007h014_moe,b14007h015,b14007h015_moe,b14007h016,b14007h016_moe,b14007h017,b14007h017_moe,b14007h018,b14007h018_moe,b14007h019,b14007h019_moe
1,Rogers Park,21282,1186,5459,753,236,100,123,77,72,72,19,50,23,51,2,45,36,65,54,63,34,57,27,46,72,73,53,63,131,98,54,56,3287,649,1236,259,15823,883
2,West Ridge,30453,1694,7462,961,474,143,471,189,428,170,523,168,406,154,377,144,490,158,403,124,350,141,409,175,291,122,232,110,254,127,269,125,1540,339,545,172,22991,1189
3,Uptown,28038,1171,4062,498,221,121,75,74,142,126,74,90,41,60,42,58,45,61,40,66,91,69,151,127,164,102,60,58,39,67,101,84,1326,266,1450,267,23976,1060
4,Lincoln Square,23238,1083,3619,446,301,103,123,88,127,66,114,72,10,39,101,83,136,82,181,99,69,71,68,53,74,55,98,88,85,63,39,48,1024,237,1069,229,19619,942
5,North Center,24597,973,4801,505,874,189,303,106,260,110,127,68,149,71,263,99,207,99,161,69,174,81,103,62,126,71,116,74,144,76,72,67,779,240,943,201,19796,795
6,Lake View,74501,1695,14807,994,1038,221,400,133,310,112,324,142,366,124,276,117,152,98,343,117,143,87,107,86,251,115,136,86,152,93,150,97,4762,681,5897,566,59694,1515
7,Lincoln Park,51111,1626,12150,982,870,187,413,127,605,240,309,110,330,134,444,209,245,101,415,221,202,106,240,95,221,84,154,72,192,93,236,85,4341,566,2933,378,38961,1173
8,Near North Side,56924,1575,7906,794,299,128,188,93,94,75,42,62,194,112,40,62,128,138,52,74,138,119,98,88,132,116,132,99,37,60,251,117,2869,514,3212,465,49018,1427
9,Edison Park,10123,565,2602,411,180,79,119,66,148,80,141,70,114,75,46,35,152,77,170,80,150,75,145,76,93,60,89,52,177,88,31,30,615,204,232,117,7521,408
10,Norwood Park,29276,1003,5847,599,576,202,285,117,401,145,281,99,353,132,426,143,391,137,245,107,231,91,204,112,132,73,215,107,120,78,256,107,1372,297,359,155,23429,712
11,Jefferson Park,17491,1105,3628,636,180,84,80,63,138,86,164,97,151,86,140,64,244,99,114,68,142,73,163,93,255,159,95,59,221,112,193,110,1139,296,209,99,13863,768
12,Forest Glen,12887,648,2994,370,272,97,190,78,136,76,134,63,191,78,89,58,190,101,64,54,211,111,76,50,294,97,87,51,164,77,187,85,455,143,254,119,9893,468
13,North Park,9161,821,2307,441,90,50,21,30,65,40,50,39,67,54,28,28,120,90,133,69,144,71,101,56,120,76,106,93,112,68,148,91,792,226,210,156,6854,567
14,Albany Park,15238,1007,4098,537,346,118,103,73,92,63,181,104,50,53,75,59,99,75,87,60,102,89,148,95,132,98,101,83,106,79,103,67,1579,361,794,221,11140,812
15,Portage Park,31836,1337,5797,648,331,121,207,94,205,111,396,154,121,73,250,119,301,132,243,117,320,132,234,129,463,161,339,134,182,103,271,112,1461,310,473,160,26039,1017
16,Irving Park,23154,1113,4042,474,432,131,97,60,183,86,111,74,175,89,134,76,235,94,199,94,117,74,243,109,85,68,93,68,109,75,141,90,984,240,704,196,19112,935
17,Dunning,29267,1137,5406,546,303,107,406,140,251,130,181,80,248,90,176,80,167,73,301,115,192,83,222,101,293,109,192,88,321,110,311,115,1491,291,351,129,23861,897
18,Montclare,4673,525,485,185,9,22,17,25,22,26,0,23,17,31,17,31,0,23,19,35,0,23,36,59,0,23,14,27,14,27,61,66,222,114,37,34,4188,462
19,Belmont Cragin,11628,953,1182,262,66,73,39,61,30,67,25,63,50,65,87,69,5,52,66,76,31,56,39,67,87,72,0,52,110,72,81,75,417,143,49,57,10446,842
20,Hermosa,1944,411,123,82,0,29,0,29,0,29,0,29,0,29,8,31,9,31,0,29,9,31,8,32,23,28,8,30,7,30,0,29,40,48,11,33,1821,392
21,Avondale,10592,791,1708,381,101,62,47,50,70,65,38,48,37,44,44,59,32,46,64,66,0,38,60,65,19,39,79,70,31,48,64,63,666,251,356,180,8884,644
22,Logan Square,29259,1089,5044,547,444,130,186,90,90,76,142,77,312,130,73,69,61,64,103,81,67,74,43,62,73,75,75,70,71,71,74,74,1754,377,1476,231,24215,915
