area_id,area_name,b19101i001,b19101i001_moe,b19101i002,b19101i002_moe,b19101i003,b19101i003_moe,b19101i004,b19101i004_moe,b19101i005,b19101i005_moe,b19101i006,b19101i006_moe,b19101i007,b19101i007_moe,b19101i008,b19101i008_moe,b19101i009,b19101i009_moe,b19101i010,b19101i010_moe,b19101i011,b19101i011_moe,b19101i012,b19101i012_moe,b19101i013,b19101i013_moe,b19101i014,b19101i014_moe,b19101i015,b19101i015_moe,b19101i016,b19101i016_moe,b19101i017,b19101i017_moe
1,Rogers Park,2421,366,33,69,175,116,259,130,278,145,206,133,313,150,207,129,66,75,98,81,247,143,281,146,180,97,54,58,15,47,9,50,0,48
2,West Ridge,3034,429,297,162,284,160,257,183,171,103,193,105,256,131,282,153,230,143,242,131,224,127,108,90,195,116,107,100,155,115,33,63,0,51
3,Uptown,1108,256,19,53,65,84,210,121,41,67,106,85,156,119,36,75,27,53,0,48,69,74,54,75,118,83,130,99,17,54,31,66,29,57
4,Lincoln Square,1607,300,219,139,77,89,61,51,148,96,66,78,80,91,91,75,47,57,148,118,113,79,221,121,193,108,83,75,13,43,13,44,34,68
5,North Center,863,182,21,47,5,42,6,42,70,75,92,90,68,71,26,47,89,84,23,43,39,52,138,72,80,64,76,60,48,47,32,49,50,48
6,Lake View,990,205,47,71,59,79,66,88,49,73,56,75,45,68,82,75,31,70,31,71,46,75,198,134,91,82,73,76,54,77,20,68,42,81
7,Lincoln Park,404,124,12,52,44,66,0,51,0,51,0,51,35,54,27,57,24,62,0,51,28,56,10,52,63,62,23,53,56,70,36,53,46,60
8,Near North Side,895,330,18,61,23,61,46,63,19,61,72,111,165,243,40,83,0,54,0,54,71,86,85,98,75,90,0,54,37,68,136,113,108,93
9,Edison Park,91,61,0,25,0,25,0,25,0,25,0,25,0,25,9,26,8,25,0,25,26,48,0,25,17,36,12,26,12,24,7,25,0,25
10,Norwood Park,926,202,0,39,52,58,0,39,48,55,0,39,18,41,80,89,16,44,0,39,31,49,109,92,237,100,185,132,101,90,23,42,26,47
11,Jefferson Park,1098,228,39,67,0,29,0,29,50,62,71,69,19,40,129,101,68,56,59,64,89,91,91,75,251,128,49,49,63,69,95,58,25,40
12,Forest Glen,524,138,60,65,17,39,80,72,0,29,0,29,8,31,46,56,15,38,0,29,0,29,65,50,22,36,26,39,75,62,53,45,57,45
13,North Park,760,193,34,59,14,34,75,73,79,65,52,67,47,48,34,59,35,50,37,40,61,41,105,82,46,39,62,47,43,45,36,39,0,27
14,Albany Park,5122,408,248,123,164,98,411,170,353,145,466,177,216,120,322,155,307,141,337,144,493,162,643,197,614,179,328,123,93,68,87,63,40,52
15,Portage Park,5579,430,374,167,182,104,247,106,181,107,224,117,321,155,379,165,421,162,243,129,374,151,753,185,1062,221,370,138,186,105,226,103,36,61
16,Irving Park,5044,400,169,116,375,148,311,143,371,154,334,135,431,168,173,81,347,154,263,128,449,152,398,154,632,185,306,121,115,86,208,101,162,111
17,Dunning,2079,240,0,40,69,65,83,66,54,56,30,49,95,67,24,51,67,66,153,85,154,88,378,130,423,130,204,91,225,124,99,76,21,44
18,Montclare,1388,228,99,89,86,60,49,58,60,64,80,84,93,90,60,52,66,66,76,53,187,92,129,76,216,96,137,75,36,32,0,23,14,30
19,Belmont Cragin,12560,526,710,219,768,225,782,204,751,201,899,218,810,213,973,223,613,164,743,217,1277,254,1405,258,1327,239,840,218,431,139,223,107,8,52
20,Hermosa,4910,290,247,118,301,127,391,150,289,117,409,140,320,117,380,136,223,92,296,124,518,162,631,172,442,141,190,103,141,80,132,87,0,29
21,Avondale,5676,441,332,142,197,100,264,107,405,145,317,123,511,169,403,156,311,143,476,170,768,194,730,168,426,149,174,98,271,123,51,51,40,54
22,Logan Square,7666,463,531,163,791,199,498,150,563,171,736,194,524,155,510,164,351,126,377,132,667,196,652,173,498,158,536,163,111,74,231,108,90,77
23,Humboldt Park,5962,390,1072,250,319,128,383,141,280,110,352,125,344,126,375,142,251,112,179,85,646,177,710,184,558,151,221,112,154,93,79,77,39,63
24,West Town,5143,402,389,135,371,131,386,145,440,146,261,119,310,135,246,113,302,110,241,107,459,147,625,151,461,158,131,87,230,114,121,89,170,93
25,Austin,1690,227,116,90,34,71,163,114,47,69,107,76,167,101,130,85,83,84,62,76,132,86,95,82,277,128,59,75,51,69,142,113,25,66
26,West Garfield Park,22,37,0,35,0,35,0,35,0,35,0,35,7,35,0,35,0,35,0,35,0,35,0,35,0,35,10,37,5,34,0,35,0,35
