area_id,area_name,b25014001,b25014001_moe,b25014002,b25014002_moe,b25014003,b25014003_moe,b25014004,b25014004_moe,b25014005,b25014005_moe,b25014006,b25014006_moe,b25014007,b25014007_moe,b25014008,b25014008_moe,b25014009,b25014009_moe,b25014010,b25014010_moe,b25014011,b25014011_moe,b25014012,b25014012_moe,b25014013,b25014013_moe
1,Rogers Park,23981,550,6995,461,5115,418,1784,267,42,54,20,48,34,52,16986,651,9191,597,6049,569,861,241,583,189,302,159
2,West Ridge,24402,485,12314,533,8051,502,3812,391,343,145,88,77,20,53,12088,626,6173,567,4470,518,917,259,456,177,72,83
3,Uptown,29441,501,9490,491,7963,483,1424,262,64,64,39,58,0,48,19951,640,11339,626,7608,616,344,141,535,175,125,115
4,Lincoln Square,17622,376,7020,447,5303,377,1629,276,88,67,0,40,0,40,10602,509,7488,495,2606,373,194,124,216,129,98,94
5,North Center,14724,323,7758,369,5883,348,1851,239,6,43,0,43,18,46,6966,392,5733,362,1214,219,5,42,14,43,0,43
6,Lake View,52568,659,19687,707,15728,666,3806,375,110,119,26,72,17,70,32881,782,23233,821,9214,636,195,98,230,133,9,67
7,Lincoln Park,32194,546,14662,578,12187,568,2417,270,31,57,27,56,0,51,17532,621,11752,594,5581,522,53,59,146,152,0,51
8,Near North Side,50758,883,22765,857,18820,812,3737,423,89,80,84,71,35,67,27993,973,17148,887,10099,871,214,116,404,181,128,98
9,Edison Park,4608,141,3676,182,2856,209,775,142,0,25,45,54,0,25,932,170,750,173,176,81,6,25,0,25,0,25
10,Norwood Park,14646,262,11624,364,9487,380,2010,254,104,87,13,41,10,40,3022,325,1978,264,871,248,116,97,13,41,44,77
11,Jefferson Park,9943,274,6535,336,4707,331,1753,247,61,51,0,29,14,36,3408,328,2167,278,1047,238,113,97,34,54,47,62
12,Forest Glen,6793,159,5964,202,4461,251,1476,200,27,37,0,29,0,29,829,185,544,149,238,120,25,41,0,29,22,45
13,North Park,6436,188,3405,243,2238,231,1026,178,105,74,17,27,19,42,3031,263,1606,226,1318,230,62,55,7,27,38,49
14,Albany Park,16804,326,6138,382,4064,336,1782,265,243,117,49,53,0,45,10666,433,4537,420,4525,438,1004,250,461,176,139,101
15,Portage Park,22505,401,12675,479,8727,456,3605,367,223,99,68,64,52,67,9830,524,5296,439,3959,446,341,143,152,105,82,87
16,Irving Park,20177,401,9760,457,6677,408,2788,347,207,104,9,48,79,91,10417,507,5636,448,3805,445,513,174,328,146,135,98
17,Dunning,15141,266,11475,366,7977,404,3143,296,166,76,127,99,62,72,3666,344,2010,287,1224,237,126,64,139,96,167,121
18,Montclare,4425,173,2630,230,1684,211,774,161,68,58,56,66,48,55,1795,219,957,161,650,178,94,88,64,61,30,50
19,Belmont Cragin,21570,412,10475,514,5266,419,4644,417,499,151,31,57,35,67,11095,541,3844,396,5488,509,1321,292,285,140,157,106
20,Hermosa,7070,219,3110,282,1623,233,1302,206,173,84,0,29,12,33,3960,302,1658,244,1996,274,275,117,0,29,31,55
21,Avondale,13801,329,5774,391,3503,338,2022,304,195,103,44,54,10,38,8027,430,4569,412,2874,366,458,158,63,69,63,60
22,Logan Square,29492,477,11139,516,8173,469,2795,302,124,76,47,64,0,57,18353,602,12053,563,5536,457,391,133,279,134,94,89
23,Humboldt Park,16778,419,5910,422,3253,350,2117,294,221,107,128,93,191,107,10868,499,4872,423,4056,424,535,188,694,210,711,197
24,West Town,37287,534,14909,572,11282,544,3455,340,99,85,35,65,38,67,22378,612,15559,611,6118,465,392,146,267,122,42,77
25,Austin,32428,573,12818,537,8609,485,3672,374,370,135,142,95,25,64,19610,673,10761,634,7342,539,588,167,580,169,339,153
26,West Garfield Park,5714,265,1486,192,1015,167,437,111,14,35,0,35,20,46,4228,294,1816,229,1907,244,247,95,96,73,162,96
27,East Garfield Park,6896,277,1857,223,1450,196,386,112,16,41,5,37,0,38,5039,306,2453,270,2044,248,348,127,116,82,78,64
28,Near West Side,25665,497,10251,474,7434,458,2553,315,160,103,82,87,22,53,15414,552,8995,534,5701,454,324,116,341,154,53,61
29,North Lawndale,10852,381,2612,263,1767,225,758,152,47,55,20,45,20,52,8240,399,4125,346,3395,318,501,139,132,82,87,82
30,South Lawndale,16454,435,5915,415,2709,298,2486,307,579,162,59,68,82,74,10539,500,3515,359,5247,431,1433,243,322,131,22,52
31,Lower West Side,12255,332,3286,312,1962,248,1146,201,178,95,0,42,0,42,8969,386,4604,381,3363,348,730,168,222,97,50,53
32,Loop,14557,598,6257,474,4582,442,1565,299,28,36,49,60,33,55,8300,652,5057,602,3135,483,0,30,108,89,0,30
33,Near South Side,11517,470,5711,452,4303,420,1364,251,33,50,11,24,0,24,5806,473,3832,472,1874,392,69,81,31,52,0,24
34,Armour Square,5359,184,1884,236,1138,212,573,170,153,85,20,40,0,27,3475,227,1998,212,1343,225,87,59,47,50,0,27
35,Douglas,9023,275,1875,186,1609,187,257,82,9,35,0,35,0,35,7148,281,4641,317,2357,272,105,56,45,48,0,35
36,Oakland,2743,141,612,125,421,98,191,99,0,19,0,19,0,19,2131,173,1217,162,878,163,36,37,0,19,0,19
37,Fuller Park,1146,113,378,83,239,64,139,62,0,16,0,16,0,16,768,111,528,101,203,78,37,45,0,16,0,16
38,Grand Boulevard,9878,323,2767,261,2240,251,527,122,0,43,0,43,0,43,7111,330,4675,336,2107,258,228,102,58,66,43,76
39,Kenwood,9116,306,2855,256,2472,249,362,126,0,31,21,35,0,31,6261,340,4132,331,1927,281,166,75,36,52,0,31
40,Washington Park,4142,214,833,147,651,127,156,76,26,31,0,27,0,27,3309,216,1803,198,1302,178,164,81,40,38,0,27
41,Hyde Park,12539,327,4669,300,4033,296,628,146,0,38,8,39,0,38,7870,371,4754,348,2936,327,58,59,114,88,8,38
42,Woodlawn,10302,343,2527,270,2072,233,424,157,7,37,24,52,0,36,7775,366,5064,360,2444,264,169,82,55,59,43,61
43,South Shore,21700,578,5185,387,4284,371,849,190,31,53,21,47,0,44,16515,598,10723,606,5228,526,363,145,104,80,97,105
44,Chatham,14098,418,5195,340,4377,334,741,165,60,54,17,45,0,37,8903,460,5872,466,2645,375,275,142,95,91,16,44
45,Avalon Park,3871,220,2612,216,2118,226,456,117,38,40,0,19,0,19,1259,207,949,186,292,130,18,23,0,19,0,19
46,South Chicago,10770,408,4472,354,3556,339,864,188,52,54,0,37,0,37,6298,413,4058,387,1781,273,376,147,60,58,23,40
47,Burnside,1056,98,580,80,315,93,213,65,15,27,37,50,0,11,476,118,394,111,62,52,20,31,0,11,0,11
48,Calumet Heights,5586,174,4377,212,3705,222,594,139,78,69,0,27,0,27,1209,204,837,170,334,125,23,40,0,27,15,31
49,Roseland,15524,379,8896,368,6939,368,1800,248,139,86,18,43,0,41,6628,428,3747,363,2644,335,161,82,76,64,0,41
50,Pullman,2984,134,1377,124,1110,134,247,77,20,31,0,19,0,19,1607,162,1115,145,468,123,24,31,0,19,0,19
51,South Deering,5332,164,3128,228,2150,225,888,171,90,67,0,25,0,25,2204,245,1067,199,1013,212,84,74,22,42,18,37
52,East Side,6900,215,4705,276,2797,259,1669,255,211,98,19,31,9,32,2195,247,1075,201,891,204,169,91,28,52,32,46
53,West Pullman,9375,323,5866,306,4150,314,1648,254,57,48,11,41,0,39,3509,343,1785,275,1484,257,172,80,17,42,51,69
54,Riverdale,2322,166,299,85,223,84,76,51,0,16,0,16,0,16,2023,176,1083,191,806,191,94,60,24,40,16,29
55,Hegewisch,3694,195,2733,224,2061,219,654,167,18,28,0,19,0,19,961,226,475,179,383,181,103,107,0,19,0,19
56,Garfield Ridge,11952,202,9966,285,6835,339,2959,286,154,80,18,44,0,42,1986,268,1092,225,754,190,49,59,68,77,23,55
57,Archer Heights,3740,135,2407,203,1281,161,974,170,125,67,24,32,3,25,1333,193,548,136,619,145,148,81,6,27,12,28
58,Brighton Park,11572,326,5307,380,2275,264,2333,280,608,150,24,49,67,70,6265,397,2076,270,3221,358,830,203,110,86,28,55
59,McKinley Park,5185,166,2917,223,1611,193,1117,188,145,75,26,43,18,31,2268,227,1146,200,940,182,108,65,41,45,33,45
60,Bridgeport,12140,316,5732,330,3567,289,1948,244,177,81,31,37,9,38,6408,374,4087,338,1993,279,238,110,77,68,13,40
61,New City,11621,370,5071,337,2539,249,2037,255,415,115,68,65,12,50,6550,395,2832,295,2833,307,683,168,151,82,51,61
62,West Elsdon,5027,151,3690,206,1765,223,1554,198,362,117,9,27,0,27,1337,207,455,144,694,166,116,74,72,73,0,27
63,Gage Park,9405,238,5302,315,1858,237,2916,304,462,136,53,54,13,42,4103,316,1299,203,1845,263,716,199,195,102,48,66
64,Clearing,8389,219,6346,275,4421,350,1806,259,105,70,14,33,0,31,2043,251,1170,218,769,190,71,74,33,50,0,31
65,West Lawn,9111,215,7068,295,3375,297,3296,312,340,161,40,55,17,40,2043,287,1003,207,913,225,100,79,27,46,0,34
66,Chicago Lawn,15416,427,6869,405,3704,350,2784,305,175,89,176,88,30,63,8547,494,4050,405,3701,404,650,200,137,90,9,48
67,West Englewood,10364,339,4884,312,3565,288,1146,184,155,82,9,49,9,49,5480,346,2632,289,2519,267,254,99,54,57,21,57
68,Englewood,9803,383,2904,271,2268,245,585,140,51,53,0,36,0,36,6899,383,3923,334,2651,291,267,107,48,52,10,38
69,Greater Grand Crossing,12605,368,4458,302,3565,297,824,172,61,57,8,38,0,38,8147,412,5104,386,2653,341,251,98,139,94,0,38
70,Ashburn,12780,230,11000,330,6601,386,4006,358,327,126,66,55,0,41,1780,314,966,246,699,204,97,82,18,43,0,41
71,Auburn Gresham,17173,440,8009,393,5781,398,2043,273,185,83,0,46,0,46,9164,472,5612,441,3047,338,381,147,42,60,82,78
72,Beverly,7705,196,6296,195,4907,237,1339,174,50,40,0,29,0,29,1409,178,1165,176,223,90,21,43,0,29,0,29
73,Washington Heights,9308,303,6254,319,4676,333,1532,218,46,51,0,33,0,33,3054,345,2051,288,951,224,52,59,0,33,0,33
74,Mount Greenwood,6589,208,5973,203,4139,245,1792,200,42,36,0,25,0,25,616,147,415,142,176,92,0,25,0,25,25,41
75,Morgan Park,8009,269,6051,293,4614,316,1404,220,13,30,20,35,0,31,1958,277,1306,215,618,193,34,43,0,31,0,31
76,O'Hare,6108,207,2827,306,1872,276,806,251,76,79,51,74,22,47,3281,331,2065,328,1143,304,30,49,43,72,0,38
77,Edgewater,29110,543,11363,570,9240,523,1906,314,109,91,97,98,11,50,17747,672,10518,624,6261,585,425,163,379,162,164,125
