area_id,area_name,b17010i001,b17010i001_moe,b17010i002,b17010i002_moe,b17010i003,b17010i003_moe,b17010i004,b17010i004_moe,b17010i005,b17010i005_moe,b17010i006,b17010i006_moe,b17010i007,b17010i007_moe,b17010i008,b17010i008_moe,b17010i009,b17010i009_moe,b17010i010,b17010i010_moe,b17010i011,b17010i011_moe,b17010i012,b17010i012_moe,b17010i013,b17010i013_moe,b17010i014,b17010i014_moe,b17010i015,b17010i015_moe,b17010i016,b17010i016_moe,b17010i017,b17010i017_moe,b17010i018,b17010i018_moe,b17010i019,b17010i019_moe,b17010i020,b17010i020_moe,b17010i021,b17010i021_moe,b17010i022,b17010i022_moe,b17010i023,b17010i023_moe,b17010i024,b17010i024_moe,b17010i025,b17010i025_moe,b17010i026,b17010i026_moe,b17010i027,b17010i027_moe,b17010i028,b17010i028_moe,b17010i029,b17010i029_moe,b17010i030,b17010i030_moe,b17010i031,b17010i031_moe,b17010i032,b17010i032_moe,b17010i033,b17010i033_moe,b17010i034,b17010i034_moe,b17010i035,b17010i035_moe,b17010i036,b17010i036_moe,b17010i037,b17010i037_moe,b17010i038,b17010i038_moe,b17010i039,b17010i039_moe,b17010i040,b17010i040_moe,b17010i041,b17010i041_moe
1,Rogers Park,2421,366,709,214,510,195,440,179,73,80,250,142,117,95,70,86,199,116,33,69,0,48,0,48,0,48,0,48,33,69,166,103,166,103,17,52,110,93,39,61,0,48,1712,314,940,230,775,216,112,92,283,129,380,174,165,87,772,230,473,199,236,123,125,89,83,78,28,59,237,166,299,136,216,125,22,58,5,46,189,121,83,66
2,West Ridge,3034,429,897,266,442,192,370,173,104,111,81,87,185,122,72,96,455,198,118,119,118,119,0,51,76,99,42,83,0,51,337,166,337,166,39,71,56,75,242,147,0,51,2137,369,1559,342,917,266,94,90,241,156,582,208,642,228,578,169,210,123,160,109,25,63,91,97,44,61,50,77,368,124,138,86,46,74,15,51,77,67,230,97
3,Uptown,1108,256,266,131,163,112,131,100,23,52,68,88,40,62,32,69,103,85,0,48,0,48,0,48,0,48,0,48,0,48,103,85,103,85,0,48,0,48,103,85,0,48,842,224,514,173,191,112,56,68,29,57,106,96,323,140,328,150,139,93,11,50,0,48,0,48,11,50,128,92,189,125,143,110,44,66,0,48,99,100,46,74
4,Lincoln Square,1607,300,325,167,194,144,172,140,13,43,89,103,70,100,22,51,131,89,0,40,0,40,0,40,0,40,0,40,0,40,131,89,41,47,0,40,12,43,29,43,90,85,1282,262,807,187,443,147,85,73,66,63,292,134,364,132,475,193,242,150,94,100,11,43,83,99,0,40,148,115,233,127,107,93,39,56,20,65,48,67,126,94
5,North Center,863,182,26,46,6,43,6,43,0,43,0,43,6,43,0,43,20,47,5,42,0,43,0,43,0,43,0,43,5,42,15,47,15,47,0,43,0,43,15,47,0,43,837,179,636,163,171,87,36,44,8,43,127,84,465,141,201,89,67,74,21,47,0,43,0,43,21,47,46,71,134,76,61,63,10,44,0,43,51,61,73,60
6,Lake View,990,205,106,82,73,73,54,72,16,70,0,66,38,68,19,68,33,76,24,74,24,74,0,66,24,74,0,66,0,66,9,69,9,69,0,66,0,66,9,69,0,66,884,200,630,173,185,98,9,67,90,88,86,78,445,152,254,114,86,84,43,77,23,75,0,66,20,68,43,74,168,102,66,77,11,68,0,66,55,75,102,92
7,Lincoln Park,404,124,56,69,0,51,0,51,0,51,0,51,0,51,0,51,56,69,18,56,18,56,0,51,0,51,18,56,0,51,38,63,38,63,12,52,0,51,26,62,0,51,348,113,282,105,212,94,36,65,76,73,100,66,70,59,66,59,11,52,11,52,0,51,0,51,11,52,0,51,55,57,26,53,0,51,0,51,26,53,29,55
8,Near North Side,895,330,41,67,13,57,0,54,0,54,0,54,0,54,13,57,28,63,0,54,0,54,0,54,0,54,0,54,0,54,28,63,0,54,0,54,0,54,0,54,28,63,854,328,650,303,93,102,52,79,0,54,41,85,557,291,204,138,34,65,13,57,13,57,0,54,0,54,21,63,170,132,116,116,86,113,0,54,30,61,54,83
9,Edison Park,91,61,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,91,61,83,60,7,25,0,25,0,25,7,25,76,58,8,25,8,25,8,25,0,25,0,25,8,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,926,202,62,61,0,39,0,39,0,39,0,39,0,39,0,39,62,61,0,39,0,39,0,39,0,39,0,39,0,39,62,61,62,61,0,39,0,39,62,61,0,39,864,196,604,184,370,141,61,81,120,94,189,85,234,118,260,126,101,62,96,62,79,60,7,39,10,41,5,38,159,115,87,91,0,39,78,91,9,40,72,82
11,Jefferson Park,1098,228,80,78,15,38,15,38,0,29,15,38,0,29,0,29,65,78,65,78,65,78,39,67,0,29,26,47,0,29,0,29,0,29,0,29,0,29,0,29,0,29,1018,220,712,183,474,161,48,58,175,105,251,124,238,117,306,141,102,75,40,54,0,29,38,54,2,29,62,64,204,122,166,118,115,108,0,29,51,52,38,40
12,Forest Glen,524,138,127,84,17,39,17,39,0,29,0,29,17,39,0,29,110,81,28,45,28,45,0,29,0,29,28,45,0,29,82,74,82,74,43,59,0,29,39,53,0,29,397,124,373,119,184,81,0,29,34,47,150,75,189,95,24,40,0,29,0,29,0,29,0,29,0,29,0,29,24,40,24,40,0,29,0,29,24,40,0,29
13,North Park,760,193,104,86,90,84,90,84,64,75,0,27,26,46,0,27,14,34,0,27,0,27,0,27,0,27,0,27,0,27,14,34,14,34,0,27,14,34,0,27,0,27,656,181,407,145,192,97,52,51,13,32,127,78,215,110,249,101,88,65,52,53,0,27,16,35,36,47,36,46,161,83,100,65,0,27,14,31,86,63,61,56
