area_id,area_name,b19301h001,b19301h001_moe
1,Rogers Park,426556,25073
2,West Ridge,441485,66634
3,Uptown,584410,31716
4,Lincoln Square,524631,30731
5,North Center,919195,62975
6,Lake View,2204385,69207
7,Lincoln Park,1580618,66870
8,Near North Side,2123572,131804
9,Edison Park,122413,10420
10,Norwood Park,293305,20472
11,Jefferson Park,177501,10979
12,Forest Glen,190475,14529
13,North Park,147632,14256
14,Albany Park,360900,31741
15,Portage Park,423002,25083
16,Irving Park,571034,27295
17,Dunning,305563,12992
18,Montclare,59429,8249
19,Belmont Cragin,418069,30108
20,Hermosa,206009,34433
21,Avondale,320211,22131
22,Logan Square,1218760,49738
23,Humboldt Park,405956,48183
24,West Town,1780835,64981
25,Austin,357544,56380
26,West Garfield Park,93089,48117
27,East Garfield Park,230883,78755
28,Near West Side,962800,59044
29,North Lawndale,198741,52575
30,South Lawndale,315972,48965
31,Lower West Side,355568,35199
32,Loop,343547,36170
33,Near South Side,256110,66633
34,Armour Square,127096,24432
35,Douglas,385059,517884
36,Oakland,78638,28903
37,Fuller Park,14061,10273
38,Grand Boulevard,500213,83645
39,Kenwood,460190,104247
41,Hyde Park,527333,72434
42,Woodlawn,281774,40679
43,South Shore,357384,125676
44,Chatham,48431,28628
45,Avalon Park,117313,64822
46,South Chicago,264782,145968
48,Calumet Heights,111407,36758
49,Roseland,121670,32287
50,Pullman,43136,11490
51,South Deering,83836,19552
52,East Side,157537,22416
53,West Pullman,81728,60568
55,Hegewisch,67533,6992
56,Garfield Ridge,279421,17244
57,Archer Heights,112017,13648
58,Brighton Park,204202,28453
59,McKinley Park,118038,18819
60,Bridgeport,311896,20787
61,New City,268024,45051
62,West Elsdon,95781,8540
63,Gage Park,224912,25021
64,Clearing,214924,18505
65,West Lawn,160502,15128
66,Chicago Lawn,209591,24965
67,West Englewood,100631,23794
68,Englewood,74111,24453
69,Greater Grand Crossing,51040,21743
70,Ashburn,226082,20760
71,Auburn Gresham,60586,74396
72,Beverly,305033,20178
73,Washington Heights,93282,26288
74,Mount Greenwood,145201,7254
75,Morgan Park,188075,24032
76,O'Hare,115699,15395
77,Edgewater,695115,35492
