area_id,area_name,b01002f001,b01002f001_moe,b01002f002,b01002f002_moe,b01002f003,b01002f003_moe
1,Rogers Park,284,37,297,68,267,105
2,West Ridge,325,63,288,82,349,58
3,Uptown,328,65,317,115,298,85
4,Lincoln Square,343,43,324,80,318,43
5,North Center,193,31,156,46,200,52
6,Lake View,139,35,136,51,123,52
7,Lincoln Park,215,49,210,85,214,66
8,Near North Side,142,41,172,68,175,33
10,Norwood Park,203,47,149,53,233,59
11,Jefferson Park,165,30,158,59,157,41
12,Forest Glen,56,15,65,10,46,17
13,North Park,78,29,78,20,92,49
14,Albany Park,303,15,297,24,302,32
15,Portage Park,368,46,353,39,435,41
16,Irving Park,495,58,489,58,485,106
17,Dunning,255,62,292,74,278,71
18,Montclare,56,12,56,11,57,25
19,Belmont Cragin,471,18,472,33,477,30
20,Hermosa,180,20,183,30,180,27
21,Avondale,291,20,299,31,288,43
22,Logan Square,911,98,946,143,843,137
23,Humboldt Park,424,50,405,54,438,52
24,West Town,792,113,857,182,867,100
25,Austin,387,74,362,88,330,97
27,East Garfield Park,26,46,42,32,2,0
28,Near West Side,349,60,306,75,379,104
29,North Lawndale,138,52,138,53,108,54
30,South Lawndale,507,44,491,58,521,71
31,Lower West Side,336,24,337,29,337,43
32,Loop,59,15,70,5,47,14
33,Near South Side,38,13,38,23,38,14
34,Armour Square,94,27,91,6,126,49
35,Douglas,30,30,86,125,43,12
37,Fuller Park,27,7,34,4,26,11
38,Grand Boulevard,31,12,31,1,38,12
41,Hyde Park,125,38,117,35,117,42
42,Woodlawn,22,33,2,1,23,0
43,South Shore,39,77,44,96,7,50
46,South Chicago,209,41,225,62,192,90
48,Calumet Heights,23,16,30,0,12,26
50,Pullman,32,2,31,20,40,5
51,South Deering,81,26,79,30,84,29
52,East Side,171,20,166,34,175,33
53,West Pullman,47,6,56,33,47,16
55,Hegewisch,52,27,27,43,72,33
56,Garfield Ridge,227,33,240,37,256,38
57,Archer Heights,129,21,127,13,140,31
58,Brighton Park,257,24,254,32,246,35
59,McKinley Park,160,21,144,18,172,31
60,Bridgeport,283,35,281,40,262,58
61,New City,377,54,405,83,316,62
62,West Elsdon,114,10,117,8,106,17
63,Gage Park,212,20,215,26,206,44
64,Clearing,198,17,175,38,210,26
65,West Lawn,163,9,156,14,169,14
66,Chicago Lawn,219,32,199,72,227,32
67,West Englewood,81,31,108,68,87,27
68,Englewood,35,2,34,1,24,44
70,Ashburn,162,16,159,32,158,42
72,Beverly,61,18,61,0,58,37
74,Mount Greenwood,12,8,14,11,11,17
75,Morgan Park,66,35,60,25,85,92
76,O'Hare,67,14,60,24,64,14
77,Edgewater,254,50,255,42,259,94
