area_id,area_name,b18140001,b18140001_moe,b18140002,b18140002_moe,b18140003,b18140003_moe,b18140004,b18140004_moe,b18140005,b18140005_moe,b18140006,b18140006_moe,b18140007,b18140007_moe
1,Rogers Park,219332,15420,160218,81834,215138,288108,194555,81244,223575,16023,233390,21972,212925,25445
2,West Ridge,299481,23078,310446,106354,352120,103678,279339,104571,301384,24981,336273,34300,277447,31737
3,Uptown,289834,16713,201465,99952,197633,218390,286589,204688,294679,15780,304630,25504,290289,27751
4,Lincoln Square,158539,16099,54616,36683,127818,404159,81437,96816,161593,16496,182569,21864,151455,14252
5,North Center,152591,18637,84930,77076,72278,106494,112744,89841,155848,17392,163048,20482,147924,21426
6,Lake View,586976,24200,373419,258529,528182,243514,427378,218924,596776,25047,701323,36544,491362,34320
7,Lincoln Park,71159,5589,122426,152205,153750,125402,58491,164637,70956,5504,91815,21263,63361,10162
8,Near North Side,404700,32399,139384,91510,132661,138208,222949,147916,413956,32266,525822,89525,359527,43336
9,Edison Park,54811,6561,56648,29787,56364,35941,95391,168509,54390,7294,68285,11485,44656,9316
10,Norwood Park,252670,19302,145439,107550,192581,124504,234461,139893,257355,22497,312340,39493,222638,22869
11,Jefferson Park,198291,17684,250619,51901,265225,65065,250889,101834,195533,18534,232532,21593,165008,17283
12,Forest Glen,149349,13085,79806,111370,149089,126887,93099,46463,152590,13051,190239,20499,121512,20477
13,North Park,114002,11080,113090,56939,158050,87283,107582,50015,113552,10872,134660,21720,102861,20468
14,Albany Park,179369,12689,186834,60051,269375,126531,150863,79914,181901,12268,185005,12782,169471,19202
15,Portage Park,274958,15187,218763,85814,305835,110488,174161,84671,277363,15886,307473,24773,256531,21558
16,Irving Park,291024,20112,294934,114239,270328,94042,341662,119243,289715,19792,289764,27773,278058,24383
17,Dunning,250380,12413,187419,46831,209769,90372,203973,185881,253617,13780,297993,31706,215953,22056
18,Montclare,26464,5943,21944,11289,24167,12986,15909,22248,27136,6272,32349,11138,24444,4669
19,Belmont Cragin,278167,11186,321672,84202,291168,105466,341868,163260,278088,12044,311275,21644,236765,18152
20,Hermosa,48433,6950,53507,18798,65603,17284,25013,32657,47643,7312,49203,5440,51525,14204
