area_id,area_name,b17020a001,b17020a001_moe,b17020a002,b17020a002_moe,b17020a003,b17020a003_moe,b17020a004,b17020a004_moe,b17020a005,b17020a005_moe,b17020a006,b17020a006_moe,b17020a007,b17020a007_moe,b17020a008,b17020a008_moe,b17020a009,b17020a009_moe,b17020a010,b17020a010_moe,b17020a011,b17020a011_moe,b17020a012,b17020a012_moe,b17020a013,b17020a013_moe,b17020a014,b17020a014_moe,b17020a015,b17020a015_moe,b17020a016,b17020a016_moe,b17020a017,b17020a017_moe
1,Rogers Park,28314,1656,6711,1079,454,233,89,102,231,147,271,196,5023,810,370,153,273,141,21603,1376,1227,283,205,114,636,195,580,194,17349,1067,869,202,737,199
2,West Ridge,39884,2303,7493,1728,740,377,131,111,842,376,856,323,4167,853,228,129,529,168,32391,1891,2182,430,407,149,2475,432,1888,341,20160,1395,2820,405,2459,350
3,Uptown,31862,1347,5287,732,211,197,42,64,43,60,105,86,3927,577,237,105,722,210,26575,1178,1054,285,88,75,382,166,738,253,22337,982,1062,209,914,245
4,Lincoln Square,27489,1214,2567,590,90,77,0,40,100,104,88,74,1873,404,246,162,170,141,24922,1138,1574,282,210,98,877,234,734,213,19321,829,1435,286,771,188
5,North Center,29706,1086,1762,366,28,50,0,43,17,45,54,66,1471,333,118,79,74,54,27944,1093,2830,359,341,108,1291,224,972,209,20618,797,1134,232,758,186
6,Lake View,82594,1778,8421,825,115,103,29,68,125,103,97,108,7448,770,232,118,375,135,74173,1771,3654,441,669,176,1921,286,1189,245,61783,1477,2649,356,2308,294
7,Lincoln Park,53794,1671,5679,693,93,70,0,51,94,96,57,67,4964,636,250,123,221,107,48115,1672,2565,358,327,104,2540,524,1538,307,37568,1170,2349,304,1228,220
8,Near North Side,59815,1665,5179,688,0,54,0,54,0,54,43,73,4301,634,427,164,408,181,54636,1674,1311,302,189,102,672,242,617,218,41969,1486,6054,574,3824,417
9,Edison Park,10637,549,329,159,7,24,0,25,18,28,31,43,194,120,30,35,49,40,10308,545,352,103,97,56,819,170,760,189,6738,414,664,148,878,151
10,Norwood Park,32522,1161,1684,447,61,64,0,39,157,119,59,70,961,303,117,83,329,136,30838,1225,1754,384,334,143,2533,401,1311,315,18713,839,2800,317,3393,338
11,Jefferson Park,21455,1258,1454,396,68,76,11,32,108,75,151,131,766,226,101,73,249,119,20001,1262,1312,303,145,73,1072,225,1406,329,13027,867,1369,240,1670,287
12,Forest Glen,14406,687,688,267,19,41,0,29,36,67,58,78,327,148,92,107,156,79,13718,707,792,173,259,93,1017,183,1006,215,8083,487,1295,206,1266,198
13,North Park,10375,847,646,195,23,35,0,27,0,27,0,27,392,132,99,109,132,74,9729,841,442,123,71,43,574,214,834,218,5936,600,1009,268,863,199
14,Albany Park,22155,1393,3383,752,281,191,51,69,202,116,302,168,2250,493,159,91,138,100,18772,1280,1266,271,189,94,836,195,1113,314,13655,915,917,237,796,201
15,Portage Park,41371,1706,4498,907,166,94,40,66,526,240,622,272,2736,516,214,109,194,103,36873,1609,1519,294,392,140,1988,344,2225,374,24999,1139,2893,347,2857,343
16,Irving Park,37007,1887,4763,812,458,217,61,64,374,176,310,143,3126,524,293,131,141,80,32244,1752,2548,414,383,167,2286,405,1548,256,22547,1268,1622,260,1310,228
17,Dunning,35635,1358,3356,652,278,157,17,42,176,94,272,147,1864,395,384,134,365,121,32279,1406,1430,284,340,120,1605,272,1739,323,21954,1011,2500,316,2711,266
