area_id,area_name,b01002i001,b01002i001_moe,b01002i002,b01002i002_moe,b01002i003,b01002i003_moe
1,Rogers Park,325,27,325,32,364,82
2,West Ridge,400,38,404,55,430,69
3,Uptown,387,39,386,45,380,66
4,Lincoln Square,372,46,388,53,376,72
5,North Center,532,54,494,108,574,61
6,Lake View,1021,72,1107,108,1027,116
7,Lincoln Park,536,98,536,123,615,91
8,Near North Side,653,105,743,162,585,131
9,Edison Park,76,26,59,39,84,35
10,Norwood Park,172,33,161,48,186,52
11,Jefferson Park,157,18,143,23,149,36
12,Forest Glen,131,37,93,72,129,35
13,North Park,128,17,124,26,132,20
14,Albany Park,310,11,312,18,303,17
15,Portage Park,383,32,369,27,406,26
16,Irving Park,446,35,457,42,421,60
17,Dunning,339,24,322,33,379,47
18,Montclare,55,5,52,6,58,10
19,Belmont Cragin,475,17,485,23,466,26
20,Hermosa,174,11,174,12,173,17
21,Avondale,293,12,295,17,291,18
22,Logan Square,871,42,865,61,908,63
23,Humboldt Park,447,48,430,51,456,32
24,West Town,1024,55,993,90,1117,96
25,Austin,490,63,439,118,491,82
27,East Garfield Park,71,44,59,90,90,55
28,Near West Side,524,58,537,51,562,109
29,North Lawndale,183,42,182,49,186,76
30,South Lawndale,500,14,502,18,495,24
31,Lower West Side,339,19,343,23,350,29
32,Loop,106,19,114,38,96,35
33,Near South Side,67,24,89,21,66,5
34,Armour Square,112,22,117,26,104,22
35,Douglas,87,14,87,12,111,69
36,Oakland,34,5,34,1,40,10
37,Fuller Park,26,14,18,31,26,11
38,Grand Boulevard,55,14,74,17,52,9
39,Kenwood,94,40,102,26,87,33
40,Washington Park,69,26,92,24,61,18
41,Hyde Park,235,39,246,50,256,38
42,Woodlawn,182,58,146,104,166,51
43,South Shore,139,93,154,115,117,145
44,Chatham,28,43,8,63,28,40
46,South Chicago,273,25,283,44,271,42
48,Calumet Heights,37,38,30,42,48,51
49,Roseland,20,40,47,86,19,6
50,Pullman,86,15,85,17,90,36
51,South Deering,90,22,91,21,93,29
52,East Side,167,14,174,17,161,19
53,West Pullman,57,26,58,27,66,34
54,Riverdale,48,0,49,38,22,2
55,Hegewisch,43,13,39,7,56,10
56,Garfield Ridge,292,18,290,30,290,28
57,Archer Heights,133,13,138,22,128,15
58,Brighton Park,252,16,259,19,244,24
59,McKinley Park,148,11,142,16,164,22
60,Bridgeport,280,32,288,40,274,40
61,New City,420,53,437,57,428,74
62,West Elsdon,107,9,100,13,115,8
63,Gage Park,203,11,208,14,204,17
64,Clearing,192,17,194,37,190,22
65,West Lawn,160,7,156,9,166,10
66,Chicago Lawn,254,19,241,64,253,26
67,West Englewood,140,20,149,31,141,33
68,Englewood,75,72,87,30,44,58
69,Greater Grand Crossing,73,17,90,36,72,30
70,Ashburn,210,42,204,25,188,66
71,Auburn Gresham,64,57,130,98,47,13
72,Beverly,166,45,220,100,140,79
73,Washington Heights,49,91,49,59,114,168
74,Mount Greenwood,77,30,66,23,114,57
75,Morgan Park,134,58,149,86,137,49
76,O'Hare,97,34,127,48,83,31
77,Edgewater,482,35,503,48,483,91
