area_id,area_name,b17014001,b17014001_moe,b17014002,b17014002_moe,b17014003,b17014003_moe,b17014004,b17014004_moe,b17014005,b17014005_moe,b17014006,b17014006_moe,b17014007,b17014007_moe,b17014008,b17014008_moe,b17014009,b17014009_moe,b17014010,b17014010_moe,b17014011,b17014011_moe,b17014012,b17014012_moe,b17014013,b17014013_moe,b17014014,b17014014_moe,b17014015,b17014015_moe,b17014016,b17014016_moe,b17014017,b17014017_moe,b17014018,b17014018_moe,b17014019,b17014019_moe,b17014020,b17014020_moe,b17014021,b17014021_moe,b17014022,b17014022_moe,b17014023,b17014023_moe,b17014024,b17014024_moe,b17014025,b17014025_moe,b17014026,b17014026_moe,b17014027,b17014027_moe,b17014028,b17014028_moe,b17014029,b17014029_moe,b17014030,b17014030_moe,b17014031,b17014031_moe,b17014032,b17014032_moe,b17014033,b17014033_moe,b17014034,b17014034_moe,b17014035,b17014035_moe
1,Rogers Park,10091,605,2189,357,908,234,172,96,417,168,310,150,9,47,1281,292,214,140,133,123,81,79,0,48,0,48,1067,260,330,153,600,197,116,87,21,54,7902,531,5292,478,170,83,1081,248,3492,388,549,172,2610,360,1070,260,70,81,449,144,445,200,106,85,1540,264,12,49,886,211,463,147,179,97
2,West Ridge,16321,613,2690,405,1602,324,301,132,906,246,370,167,25,71,1088,271,234,145,16,55,211,142,7,51,0,51,854,238,263,126,537,198,35,63,19,55,13631,597,10476,594,880,183,2818,415,5275,514,1503,284,3155,397,980,238,47,64,467,174,265,119,201,117,2175,325,171,84,1001,246,663,188,340,130
3,Uptown,9232,572,1657,320,616,190,143,81,265,116,157,130,51,64,1041,261,230,146,52,66,107,117,71,100,0,48,811,226,510,196,246,115,55,64,0,48,7575,535,5529,458,260,112,1002,242,3919,400,348,143,2046,349,764,210,12,49,254,120,456,173,42,67,1282,297,85,78,628,195,443,213,126,93
4,Lincoln Square,8394,466,701,206,402,171,59,65,271,152,72,71,0,40,299,125,36,69,0,40,36,69,0,40,0,40,263,111,84,71,115,68,27,46,37,69,7693,444,6282,409,416,126,1266,218,3969,358,631,151,1411,283,448,184,42,77,162,107,166,116,78,79,963,211,76,75,606,179,254,112,27,43
5,North Center,7252,362,171,77,69,50,31,46,31,46,7,43,0,43,102,71,12,42,5,42,7,43,0,43,0,43,90,71,30,49,32,58,28,54,0,43,7081,360,5994,335,299,112,1139,192,4367,304,189,76,1087,199,309,109,0,43,147,76,152,85,10,44,778,169,76,68,397,113,283,117,22,47
6,Lake View,14864,634,638,189,203,89,40,69,61,73,102,80,0,66,435,179,82,86,50,81,22,72,10,67,0,66,353,170,169,143,110,91,74,93,0,66,14226,619,12446,591,852,184,2118,277,9120,535,356,114,1780,284,686,186,30,71,329,144,327,127,0,66,1094,222,97,97,491,173,477,131,29,70
7,Lincoln Park,10261,528,379,123,85,69,14,54,52,65,7,51,12,53,294,114,68,78,0,51,50,75,18,56,0,51,226,94,104,76,101,69,21,52,0,51,9882,528,8829,522,438,131,2326,311,5808,445,257,90,1053,194,286,109,7,51,172,96,102,70,5,50,767,163,46,57,468,123,253,106,0,51
8,Near North Side,15079,781,1201,251,349,158,176,110,160,120,13,57,0,54,852,200,101,93,35,78,24,66,42,64,0,54,751,183,360,165,355,186,36,62,0,54,13878,760,12348,726,1526,248,4042,486,6522,610,258,123,1530,313,481,182,0,54,222,140,246,129,13,57,1049,250,40,71,492,180,452,172,65,74
9,Edison Park,2829,194,37,34,30,31,0,25,11,28,19,28,0,25,7,25,0,25,0,25,0,25,0,25,0,25,7,25,0,25,7,25,0,25,0,25,2792,195,2236,186,389,90,412,121,1168,172,267,80,556,148,214,101,33,31,87,59,65,72,29,34,342,123,23,31,147,80,115,70,57,58
10,Norwood Park,9614,389,351,121,220,101,84,63,136,91,0,39,0,39,131,76,0,39,0,39,0,39,0,39,0,39,131,76,78,61,44,58,9,40,0,39,9263,401,7302,411,977,157,1657,250,3600,383,1068,186,1961,312,594,169,48,49,230,110,208,105,108,80,1367,265,164,81,763,204,282,113,158,127
