area_id,area_name,b19113i001,b19113i001_moe
1,Rogers Park,387606,97720
2,West Ridge,517108,149852
3,Uptown,525656,259283
4,Lincoln Square,574684,170775
5,North Center,1115342,314504
6,Lake View,1116218,459710
7,Lincoln Park,863409,273418
8,Near North Side,842336,454700
9,Edison Park,54375,63438
10,Norwood Park,588311,165513
11,Jefferson Park,407213,123327
12,Forest Glen,329302,289024
13,North Park,249044,97921
14,Albany Park,503734,90964
15,Portage Park,855464,109216
16,Irving Park,673045,104527
17,Dunning,665680,160619
18,Montclare,100000,17583
19,Belmont Cragin,806983,56324
20,Hermosa,260054,27517
21,Avondale,441828,42581
22,Logan Square,1078878,187779
23,Humboldt Park,544099,87535
24,West Town,1309477,333684
25,Austin,835339,241074
27,East Garfield Park,78560,170815
28,Near West Side,1236301,251641
29,North Lawndale,237902,133169
30,South Lawndale,573287,66417
31,Lower West Side,414668,47059
33,Near South Side,189913,174146
34,Armour Square,161511,58086
35,Douglas,25179,50856
36,Oakland,120341,69279
37,Fuller Park,69833,66850
38,Grand Boulevard,140555,201800
39,Kenwood,221761,188230
41,Hyde Park,229588,353207
42,Woodlawn,161917,55928
44,Chatham,14375,76359
46,South Chicago,245184,79551
48,Calumet Heights,30595,50077
49,Roseland,47679,2068
50,Pullman,95899,47958
51,South Deering,100426,37703
52,East Side,285350,46205
53,West Pullman,46714,9733
54,Riverdale,44769,40664
55,Hegewisch,98837,44013
56,Garfield Ridge,705954,122178
57,Archer Heights,255894,21073
58,Brighton Park,362609,29871
59,McKinley Park,239680,60162
60,Bridgeport,583859,116188
61,New City,608033,100684
62,West Elsdon,186448,32934
63,Gage Park,322879,25722
64,Clearing,415021,75195
65,West Lawn,295054,37247
66,Chicago Lawn,462484,120193
67,West Englewood,56404,28906
68,Englewood,21667,87885
69,Greater Grand Crossing,145661,94488
70,Ashburn,438550,52780
71,Auburn Gresham,84145,5935
72,Beverly,614330,191641
74,Mount Greenwood,616265,348270
75,Morgan Park,139863,78351
76,O'Hare,161925,79811
77,Edgewater,621141,201395
