area_id,area_name,b07010001,b07010001_moe,b07010002,b07010002_moe,b07010003,b07010003_moe,b07010004,b07010004_moe,b07010005,b07010005_moe,b07010006,b07010006_moe,b07010007,b07010007_moe,b07010008,b07010008_moe,b07010009,b07010009_moe,b07010010,b07010010_moe,b07010011,b07010011_moe,b07010012,b07010012_moe,b07010013,b07010013_moe,b07010014,b07010014_moe,b07010015,b07010015_moe,b07010016,b07010016_moe,b07010017,b07010017_moe,b07010018,b07010018_moe,b07010019,b07010019_moe,b07010020,b07010020_moe,b07010021,b07010021_moe,b07010022,b07010022_moe,b07010023,b07010023_moe,b07010024,b07010024_moe,b07010025,b07010025_moe,b07010026,b07010026_moe,b07010027,b07010027_moe,b07010028,b07010028_moe,b07010029,b07010029_moe,b07010030,b07010030_moe,b07010031,b07010031_moe,b07010032,b07010032_moe,b07010033,b07010033_moe,b07010034,b07010034_moe,b07010035,b07010035_moe,b07010036,b07010036_moe,b07010037,b07010037_moe,b07010038,b07010038_moe,b07010039,b07010039_moe,b07010040,b07010040_moe,b07010041,b07010041_moe,b07010042,b07010042_moe,b07010043,b07010043_moe,b07010044,b07010044_moe,b07010045,b07010045_moe,b07010046,b07010046_moe,b07010047,b07010047_moe,b07010048,b07010048_moe,b07010049,b07010049_moe,b07010050,b07010050_moe,b07010051,b07010051_moe,b07010052,b07010052_moe,b07010053,b07010053_moe,b07010054,b07010054_moe,b07010055,b07010055_moe,b07010056,b07010056_moe,b07010057,b07010057_moe,b07010058,b07010058_moe,b07010059,b07010059_moe,b07010060,b07010060_moe,b07010061,b07010061_moe,b07010062,b07010062_moe,b07010063,b07010063_moe,b07010064,b07010064_moe,b07010065,b07010065_moe,b07010066,b07010066_moe
1,Rogers Park,47961,1713,6863,877,41098,1414,9759,894,4521,505,7265,746,5554,614,4668,545,3663,435,1556,293,4112,436,36148,1585,4691,734,31457,1283,6042,638,3537,444,5462,631,4471,556,3646,472,3165,402,1313,275,3821,424,7986,1030,1177,357,6809,866,2543,517,722,214,1180,338,855,266,743,228,345,144,212,125,209,99,478,172,76,72,402,163,171,107,85,88,56,68,27,54,0,48,15,52,12,49,36,75,2077,376,291,167,1786,329,699,184,96,90,399,164,174,88,234,106,138,96,0,48,46,55,1272,446,628,357,644,248,304,188,81,85,168,132,27,52,45,86,0,48,19,49,0,48
2,West Ridge,57178,1916,10769,1160,46409,1477,10450,801,4963,570,8545,853,6626,692,6003,617,3865,501,1438,260,4519,451,49437,1877,9087,1068,40350,1486,9051,757,4408,532,7172,783,5570,633,5122,576,3514,491,1325,251,4188,430,5673,922,1062,388,4611,734,916,217,424,173,1237,381,798,259,642,227,274,122,91,78,229,107,267,160,73,80,194,120,20,53,22,58,60,76,22,56,64,77,6,52,0,51,0,51,642,263,147,107,495,224,86,65,46,70,60,90,113,98,53,98,22,60,22,54,93,106,1159,420,400,182,759,306,377,188,63,81,16,50,123,121,122,124,49,71,0,51,9,52
3,Uptown,49323,1420,4610,608,44713,1243,10234,839,3761,489,6124,611,4442,526,5629,540,4865,535,2024,315,7634,589,38321,1386,3710,532,34611,1220,7954,753,2679,411,4581,549,3163,471,4200,476,3751,454,1603,281,6680,546,7833,793,552,200,7281,749,1742,318,616,194,1014,251,794,216,1132,275,912,243,309,137,762,217,539,160,68,75,471,147,104,81,77,84,127,78,37,63,67,77,29,55,13,52,17,55,2024,470,144,125,1880,441,236,113,216,132,358,214,426,163,209,98,173,117,87,87,175,92,606,243,136,125,470,195,198,115,173,159,44,52,22,51,21,49,0,48,12,49,0,48
4,Lincoln Square,33118,1023,3113,419,30005,914,4793,572,2464,316,3784,456,3786,474,5129,498,3154,354,1755,307,5140,465,26616,1069,2513,360,24103,981,3866,514,1839,270,3049,397,3049,403,4027,453,2444,320,1413,282,4416,432,4989,736,440,210,4549,634,687,274,541,176,501,193,531,234,921,224,509,147,266,124,593,181,283,152,9,41,274,152,30,46,19,41,33,45,44,62,104,106,44,64,0,40,0,40,1030,239,40,50,990,234,181,88,53,55,201,91,162,103,77,66,116,82,76,71,124,89,200,122,111,101,89,66,29,48,12,44,0,40,0,40,0,40,41,58,0,40,7,40
5,North Center,27674,850,2027,306,25647,775,2775,410,1382,251,2461,322,2401,318,3439,385,3872,374,1578,247,7739,475,21840,854,1765,289,20075,772,2248,373,1077,208,1919,280,1779,261,2265,302,3004,339,1194,210,6589,453,4797,606,186,108,4611,577,264,129,210,120,448,166,600,181,1012,229,788,179,313,126,976,231,237,122,0,43,237,122,66,78,6,42,18,45,9,44,56,71,40,55,33,67,9,44,704,206,41,55,663,194,167,122,89,71,76,52,13,43,106,69,37,47,38,48,137,75,96,86,35,54,61,59,30,48,0,43,0,43,0,43,0,43,3,42,0,43,28,54
6,Lake View,87406,1504,5137,626,82269,1454,9492,749,4334,489,7580,606,8359,703,13333,864,11135,742,5023,554,23013,953,60032,1560,3189,454,56843,1501,5464,579,2637,356,4706,483,5024,550,8585,689,7434,622,3725,509,19268,861,17191,1149,980,238,16211,1091,2278,384,960,227,1584,284,2314,395,3130,428,2464,366,861,222,2620,420,2319,440,84,96,2235,425,250,119,226,192,349,136,319,196,491,224,404,162,117,88,79,84,6471,648,323,189,6148,621,1245,267,428,153,913,221,653,167,993,221,748,185,263,108,905,216,1393,399,561,301,832,232,255,137,83,95,28,67,49,73,134,108,85,101,57,91,141,99
7,Lincoln Park,56663,1342,4557,521,52106,1227,8086,669,2524,357,4333,471,3484,404,6570,626,6283,558,3084,376,17742,826,38878,1286,2811,369,36067,1198,4221,428,1686,265,2684,352,2031,289,4024,451,3968,441,2306,334,15147,793,11286,970,1100,290,10186,889,2215,374,427,161,942,246,750,199,1780,348,1496,319,628,187,1948,352,1472,322,210,116,1262,299,373,145,27,52,132,93,243,130,120,85,204,100,17,52,146,99,4311,591,258,137,4053,558,1148,297,325,168,477,140,385,136,593,232,537,247,133,88,455,154,716,236,178,114,538,195,129,77,59,70,98,141,75,79,53,60,78,78,0,51,46,57
8,Near North Side,75100,1587,6250,704,68850,1500,8852,791,3307,432,5012,657,4719,590,6983,660,8349,751,4084,529,27544,1156,55724,1624,4579,577,51145,1542,6074,612,2339,345,3822,558,3199,445,4591,519,6095,605,2701,416,22324,1042,10728,974,798,268,9930,920,1415,328,431,171,684,218,648,184,1336,352,1336,373,848,272,3232,493,1719,430,93,88,1626,421,319,173,117,113,79,113,285,170,281,156,225,136,75,69,245,134,5490,843,334,155,5156,826,969,335,316,164,369,223,532,304,600,182,439,179,414,168,1517,499,1439,396,446,210,993,308,75,75,104,101,58,99,55,72,175,122,254,154,46,67,226,155
9,Edison Park,9249,434,790,183,8459,417,1083,198,664,163,1030,223,833,197,1200,225,961,220,477,147,2211,232,8622,418,751,182,7871,411,1019,173,573,156,926,211,826,196,1104,219,868,207,430,139,2125,223,431,160,39,44,392,145,0,25,58,60,98,76,0,25,65,51,44,42,41,56,86,60,9,27,0,25,9,27,9,27,0,25,0,25,0,25,0,25,0,25,0,25,0,25,175,159,0,25,175,159,49,76,33,52,6,25,7,25,31,52,49,76,0,25,0,25,12,27,0,25,12,27,6,26,0,25,0,25,0,25,0,25,0,25,6,24,0,25
10,Norwood Park,30770,899,3305,424,27465,847,3723,444,2838,381,4025,431,3258,442,3940,463,2871,341,1581,289,5229,467,29140,953,3077,418,26063,881,3466,435,2698,377,3714,417,3098,436,3750,463,2709,330,1482,273,5146,463,1246,323,140,89,1106,299,147,90,99,63,244,120,144,90,136,92,154,111,99,93,83,76,102,75,40,54,62,59,9,40,11,41,20,48,9,40,13,42,0,39,0,39,0,39,189,91,23,42,166,87,64,54,12,42,34,51,7,39,41,48,8,40,0,39,0,39,93,57,25,44,68,52,37,44,18,44,13,41,0,39,0,39,0,39,0,39,0,39
