area_id,area_name,b01002b001,b01002b001_moe,b01002b002,b01002b002_moe,b01002b003,b01002b003_moe
1,Rogers Park,418,48,411,60,429,67
2,West Ridge,430,50,406,94,453,69
3,Uptown,478,54,457,49,466,91
4,Lincoln Square,335,60,286,85,339,54
5,North Center,274,117,243,140,249,70
6,Lake View,496,147,477,108,706,183
7,Lincoln Park,661,91,651,107,659,154
8,Near North Side,576,70,606,128,578,67
10,Norwood Park,90,59,99,61,80,101
11,Jefferson Park,68,16,61,13,56,42
12,Forest Glen,80,48,77,36,82,71
13,North Park,103,24,124,39,92,20
14,Albany Park,365,64,370,103,348,96
15,Portage Park,117,55,117,53,66,52
16,Irving Park,287,65,313,92,287,93
17,Dunning,125,58,105,50,150,88
18,Montclare,89,47,93,65,77,61
19,Belmont Cragin,414,98,405,93,452,102
20,Hermosa,41,37,78,71,11,26
21,Avondale,238,33,256,84,223,49
22,Logan Square,782,80,829,113,753,129
23,Humboldt Park,404,41,378,60,463,43
24,West Town,680,67,682,94,718,96
25,Austin,835,40,786,53,888,53
26,West Garfield Park,275,21,254,36,286,19
27,East Garfield Park,335,30,302,34,361,36
28,Near West Side,683,51,678,74,702,56
29,North Lawndale,404,31,355,38,455,27
30,South Lawndale,320,83,318,108,371,135
31,Lower West Side,210,71,267,109,194,39
32,Loop,190,32,181,32,204,21
33,Near South Side,116,10,104,16,130,20
34,Armour Square,141,24,136,36,147,27
35,Douglas,399,27,332,63,426,26
36,Oakland,96,7,73,14,100,11
37,Fuller Park,71,16,58,22,82,14
38,Grand Boulevard,439,32,382,44,453,35
39,Kenwood,284,18,251,25,301,24
40,Washington Park,179,15,147,24,192,14
41,Hyde Park,503,40,487,69,513,59
42,Woodlawn,382,22,330,51,405,25
43,South Shore,546,28,498,33,588,35
44,Chatham,396,16,364,27,423,19
45,Avalon Park,86,5,80,10,91,7
46,South Chicago,343,27,327,36,360,30
47,Burnside,31,8,28,9,35,7
48,Calumet Heights,224,12,200,21,243,16
49,Roseland,556,21,510,34,577,25
50,Pullman,105,11,97,24,113,13
51,South Deering,127,34,105,65,142,27
52,East Side,59,6,57,17,74,57
53,West Pullman,285,19,265,24,296,25
54,Riverdale,44,5,30,4,56,7
55,Hegewisch,28,8,24,15,30,14
56,Garfield Ridge,96,29,82,39,98,40
57,Archer Heights,22,14,12,16,39,10
58,Brighton Park,57,30,55,25,85,30
59,McKinley Park,94,30,102,74,92,39
60,Bridgeport,151,35,142,50,125,56
61,New City,361,44,345,77,360,61
62,West Elsdon,97,28,83,50,114,32
63,Gage Park,182,23,172,60,227,47
64,Clearing,27,7,20,31,27,8
65,West Lawn,164,39,121,55,195,24
66,Chicago Lawn,322,30,279,56,356,34
67,West Englewood,610,40,523,50,679,47
68,Englewood,346,21,303,40,377,27
69,Greater Grand Crossing,423,23,372,33,449,26
70,Ashburn,271,34,251,41,296,39
71,Auburn Gresham,539,28,465,37,576,28
72,Beverly,289,33,246,18,282,29
73,Washington Heights,339,15,294,26,365,16
74,Mount Greenwood,91,17,100,20,90,17
75,Morgan Park,220,29,192,42,247,19
76,O'Hare,90,8,90,14,89,14
77,Edgewater,617,49,632,81,623,92
