area_id,area_name,b16002001,b16002001_moe,b16002002,b16002002_moe,b16002003,b16002003_moe,b16002004,b16002004_moe,b16002005,b16002005_moe,b16002006,b16002006_moe,b16002007,b16002007_moe,b16002008,b16002008_moe,b16002009,b16002009_moe,b16002010,b16002010_moe,b16002011,b16002011_moe,b16002012,b16002012_moe,b16002013,b16002013_moe,b16002014,b16002014_moe
1,Rogers Park,23981,550,15300,633,4288,453,1340,291,2948,402,2437,343,707,182,1730,307,735,196,132,98,603,172,1221,243,178,111,1043,222
2,West Ridge,24402,485,10367,563,4048,469,1029,293,3019,404,5495,503,1700,315,3795,433,2100,297,473,153,1627,279,2392,387,601,191,1791,344
3,Uptown,29441,501,20239,684,3089,412,837,212,2252,368,2834,361,854,195,1980,349,2125,323,956,222,1169,264,1154,252,261,118,893,228
4,Lincoln Square,17622,376,11286,470,2497,369,720,241,1777,334,2147,293,473,155,1674,256,1177,236,325,139,852,202,515,182,123,95,392,151
5,North Center,14724,323,11712,384,1512,240,242,111,1270,223,987,179,145,77,842,166,385,133,58,53,327,130,128,96,53,79,75,75
6,Lake View,52568,659,41131,842,3786,433,695,209,3091,385,4479,473,768,228,3711,440,2296,368,507,183,1789,332,876,241,156,105,720,229
7,Lincoln Park,32194,546,26430,673,1706,268,365,140,1341,228,2866,375,297,120,2569,358,785,189,156,99,629,167,407,153,42,82,365,138
8,Near North Side,50758,883,39430,1035,2426,414,449,192,1977,366,5538,625,683,209,4855,589,2526,407,914,291,1612,299,838,213,69,72,769,206
9,Edison Park,4608,141,3534,219,213,97,21,31,192,95,711,165,170,105,541,150,132,90,6,25,126,89,18,30,8,25,10,27
10,Norwood Park,14646,262,9590,443,1251,239,195,92,1056,231,3022,364,1105,235,1917,301,557,162,108,92,449,136,226,123,40,55,186,114
11,Jefferson Park,9943,274,5877,361,1161,210,86,72,1075,211,2227,297,855,210,1372,231,500,142,90,66,410,135,178,103,21,34,157,101
12,Forest Glen,6793,159,4286,280,689,155,26,34,663,156,1165,208,283,103,882,182,472,123,106,72,366,107,181,95,23,44,158,91
13,North Park,6436,188,3091,237,972,207,273,131,699,164,1118,192,376,132,742,161,992,170,396,126,596,160,263,105,84,59,179,93
14,Albany Park,16804,326,6095,428,6545,444,2750,396,3795,378,2134,309,658,196,1476,256,1541,249,580,151,961,203,489,177,176,114,313,138
15,Portage Park,22505,401,9894,520,6598,449,1244,262,5354,431,5097,414,2449,325,2648,318,617,157,109,65,508,145,299,129,28,56,271,126
16,Irving Park,20177,401,9591,468,6978,452,2029,327,4949,435,2164,287,724,177,1440,240,1024,211,271,114,753,177,420,140,193,96,227,106
17,Dunning,15141,266,6841,404,2498,256,194,79,2304,256,5245,373,2180,316,3065,320,430,134,90,73,340,118,127,64,10,42,117,62
18,Montclare,4425,173,1525,206,1707,216,438,141,1269,196,1022,187,589,156,433,139,134,89,44,40,90,80,37,35,17,31,20,28
19,Belmont Cragin,21570,412,4217,396,14020,516,3952,427,10068,542,2860,297,1875,269,985,182,368,124,61,60,307,118,105,80,66,76,39,58
20,Hermosa,7070,219,944,199,5815,285,1671,241,4144,315,272,110,160,84,112,76,39,54,31,54,8,30,0,29,0,29,0,29
21,Avondale,13801,329,5305,396,6826,437,2237,324,4589,409,1229,210,781,181,448,120,398,133,112,73,286,115,43,48,15,45,28,41
22,Logan Square,29492,477,17955,568,9747,519,3457,371,6290,457,1165,190,215,111,950,161,407,108,63,67,344,100,218,97,11,59,207,96
23,Humboldt Park,16778,419,9042,447,7378,413,1736,262,5642,380,247,106,62,72,185,86,69,62,6,51,63,62,42,58,0,51,42,58
24,West Town,37287,534,25089,632,7611,484,2050,294,5561,446,3606,366,1203,218,2403,310,737,183,97,80,640,173,244,107,69,80,175,93
25,Austin,32428,573,29291,620,2352,280,469,150,1883,266,577,171,176,131,401,145,154,89,28,63,126,87,54,68,0,61,54,68
26,West Garfield Park,5714,265,5593,266,81,55,0,35,81,55,9,36,0,35,9,36,17,43,0,35,17,43,14,40,0,35,14,40
27,East Garfield Park,6896,277,6491,283,218,89,23,47,195,83,74,56,0,38,74,56,35,42,0,38,35,42,78,58,20,42,58,55
28,Near West Side,25665,497,19554,557,1716,245,234,106,1482,229,2312,311,186,97,2126,298,1850,250,424,140,1426,229,233,106,46,66,187,96
29,North Lawndale,10852,381,10196,384,598,125,204,87,394,112,45,51,0,43,45,51,5,42,0,43,5,42,8,43,0,43,8,43
30,South Lawndale,16454,435,1690,217,14710,454,5845,453,8865,489,54,57,24,53,30,53,0,48,0,48,0,48,0,48,0,48,0,48
31,Lower West Side,12255,332,3285,298,8523,384,3153,353,5370,396,304,107,48,63,256,92,102,69,23,42,79,69,41,52,0,42,41,52
32,Loop,14557,598,10787,665,696,225,164,131,532,206,1503,330,137,99,1366,316,1438,338,519,230,919,246,133,77,7,30,126,76
33,Near South Side,11517,470,7973,498,908,276,29,30,879,277,1283,369,115,93,1168,357,1268,319,382,243,886,252,85,75,0,24,85,75
34,Armour Square,5359,184,1711,193,217,114,0,27,217,114,89,50,0,27,89,50,3286,242,2022,241,1264,200,56,51,0,27,56,51
35,Douglas,9023,275,7409,333,295,103,74,67,221,87,411,131,82,60,329,119,674,154,294,114,380,107,234,116,27,49,207,111
36,Oakland,2743,141,2476,150,122,70,23,40,99,60,53,42,11,18,42,40,15,29,0,19,15,29,77,54,18,31,59,46
37,Fuller Park,1146,113,1066,118,33,36,30,38,3,13,3,13,3,13,0,16,11,19,11,19,0,16,33,53,33,53,0,16
38,Grand Boulevard,9878,323,9251,331,360,111,106,78,254,88,157,84,23,55,134,75,8,43,0,43,8,43,102,76,0,43,102,76
39,Kenwood,9116,306,7538,353,336,141,77,89,259,115,479,141,50,55,429,131,524,151,144,85,380,134,239,97,48,54,191,87
40,Washington Park,4142,214,3979,219,132,66,23,36,109,58,0,27,0,27,0,27,20,31,9,28,11,30,11,30,0,27,11,30
41,Hyde Park,12539,327,9677,384,588,153,107,73,481,136,1029,183,141,73,888,168,966,192,273,111,693,162,279,111,26,50,253,104
42,Woodlawn,10302,343,9251,353,377,115,42,48,335,109,377,121,66,57,311,110,152,81,9,35,143,81,145,92,0,36,145,92
43,South Shore,21700,578,20313,617,561,187,125,94,436,158,370,171,100,78,270,157,68,69,0,44,68,69,388,146,8,45,380,145
44,Chatham,14098,418,13672,429,192,91,49,69,143,68,101,57,0,37,101,57,19,42,11,42,8,37,114,72,22,49,92,63
45,Avalon Park,3871,220,3701,231,85,57,0,19,85,57,46,59,0,19,46,59,15,28,0,19,15,28,24,31,0,19,24,31
46,South Chicago,10770,408,7985,424,2186,234,493,131,1693,220,267,110,31,58,236,104,6,37,0,37,6,37,326,136,83,83,243,117
47,Burnside,1056,98,1027,97,0,11,0,11,0,11,12,19,0,11,12,19,0,11,0,11,0,11,17,23,0,11,17,23
48,Calumet Heights,5586,174,5074,194,268,99,47,57,221,82,153,73,8,28,145,71,0,27,0,27,0,27,91,74,18,38,73,59
49,Roseland,15524,379,15025,396,283,97,40,53,243,90,175,83,0,41,175,83,16,48,16,48,0,41,25,47,0,41,25,47
50,Pullman,2984,134,2798,143,168,68,41,47,127,52,5,17,5,17,0,19,13,20,7,20,6,19,0,19,0,19,0,19
51,South Deering,5332,164,3823,174,1309,165,220,95,1089,161,166,80,7,25,159,79,0,25,0,25,0,25,34,54,0,25,34,54
52,East Side,6900,215,2135,228,4289,279,1004,191,3285,288,418,117,155,79,263,93,25,36,0,29,25,36,33,48,10,31,23,46
53,West Pullman,9375,323,8855,334,446,116,135,77,311,100,41,44,13,40,28,42,0,39,0,39,0,39,33,49,0,39,33,49
54,Riverdale,2322,166,2218,178,104,65,0,16,104,65,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,3694,195,2363,257,1053,199,65,51,988,205,233,99,69,61,164,77,16,28,0,19,16,28,29,36,14,25,15,27
56,Garfield Ridge,11952,202,6708,342,2958,250,478,140,2480,251,1991,260,743,162,1248,222,143,78,9,43,134,77,152,86,37,57,115,75
57,Archer Heights,3740,135,874,150,2304,169,615,151,1689,178,499,101,268,80,231,73,26,32,15,32,11,28,37,43,21,34,16,35
58,Brighton Park,11572,326,1868,234,8558,366,2730,334,5828,388,419,130,129,88,290,105,717,134,213,95,504,119,10,44,0,43,10,44
59,McKinley Park,5185,166,1661,205,2544,214,547,139,1997,196,169,75,0,25,169,75,754,121,394,109,360,96,57,58,0,25,57,58
60,Bridgeport,12140,316,5866,348,2273,282,623,161,1650,245,631,160,162,91,469,134,3341,270,1507,218,1834,230,29,45,0,37,29,45
61,New City,11621,370,5512,323,5668,325,2167,268,3501,309,225,92,69,60,156,83,151,58,77,61,74,50,65,62,36,56,29,54
62,West Elsdon,5027,151,1331,178,3135,222,776,180,2359,224,455,126,118,61,337,113,93,47,34,34,59,35,13,30,0,27,13,30
63,Gage Park,9405,238,1670,212,7492,300,2370,302,5122,346,131,64,62,49,69,50,97,60,44,46,53,51,15,39,7,38,8,41
64,Clearing,8389,219,4820,279,2425,222,650,201,1775,235,1082,196,391,136,691,163,34,52,0,31,34,52,28,39,0,31,28,39
65,West Lawn,9111,215,2991,265,5685,286,1249,245,4436,321,366,108,104,64,262,88,38,44,0,34,38,44,31,48,0,34,31,48
66,Chicago Lawn,15416,427,10244,443,4739,300,1344,243,3395,301,237,97,75,66,162,86,113,77,34,55,79,74,83,74,26,62,57,64
67,West Englewood,10364,339,9960,346,291,96,53,60,238,87,56,64,0,48,56,64,15,52,0,48,15,52,42,57,0,48,42,57
68,Englewood,9803,383,9555,383,180,80,24,52,156,70,33,46,0,36,33,46,16,35,0,36,16,35,19,39,0,36,19,39
69,Greater Grand Crossing,12605,368,12171,386,187,86,10,40,177,84,107,67,18,45,89,62,51,62,31,60,20,41,89,62,49,57,40,45
70,Ashburn,12780,230,9424,307,2915,237,634,173,2281,241,235,107,24,44,211,104,31,46,0,41,31,46,175,81,35,50,140,72
71,Auburn Gresham,17173,440,16618,456,391,124,10,47,381,124,63,59,14,46,49,57,32,50,0,46,32,50,69,69,0,46,69,69
72,Beverly,7705,196,7042,236,356,109,36,34,320,105,254,80,9,30,245,79,16,32,5,28,11,33,37,48,0,29,37,48
73,Washington Heights,9308,303,8945,334,169,81,7,34,162,81,142,85,0,33,142,85,0,33,0,33,0,33,52,64,0,33,52,64
74,Mount Greenwood,6589,208,6179,219,238,98,11,28,227,95,138,59,0,25,138,59,21,36,0,25,21,36,13,30,0,25,13,30
75,Morgan Park,8009,269,7475,283,227,81,7,31,220,79,264,100,30,37,234,96,43,67,0,31,43,67,0,31,0,31,0,31
76,O'Hare,6108,207,2263,327,830,238,155,125,675,215,2296,302,968,237,1328,236,317,142,103,85,214,120,402,217,191,133,211,175
77,Edgewater,29110,543,18990,724,3071,399,664,193,2407,365,3777,415,1080,239,2697,365,1797,318,553,169,1244,269,1475,316,471,211,1004,263
