area_id,area_name,b14007i001,b14007i001_moe,b14007i002,b14007i002_moe,b14007i003,b14007i003_moe,b14007i004,b14007i004_moe,b14007i005,b14007i005_moe,b14007i006,b14007i006_moe,b14007i007,b14007i007_moe,b14007i008,b14007i008_moe,b14007i009,b14007i009_moe,b14007i010,b14007i010_moe,b14007i011,b14007i011_moe,b14007i012,b14007i012_moe,b14007i013,b14007i013_moe,b14007i014,b14007i014_moe,b14007i015,b14007i015_moe,b14007i016,b14007i016_moe,b14007i017,b14007i017_moe,b14007i018,b14007i018_moe,b14007i019,b14007i019_moe
1,Rogers Park,13197,1487,4346,663,385,183,392,170,140,86,287,179,207,115,158,101,238,157,255,174,122,80,144,91,215,103,168,120,272,133,185,105,846,210,332,185,8851,1106
2,West Ridge,14281,1953,4639,851,266,164,212,152,178,138,317,170,245,132,321,169,372,165,256,144,296,152,304,141,407,176,121,96,109,86,260,151,804,256,171,125,9642,1394
3,Uptown,6778,982,1479,357,153,97,42,64,52,81,15,52,70,67,31,59,15,52,31,57,42,58,85,74,102,97,186,162,174,138,23,58,330,145,128,90,5299,801
4,Lincoln Square,7046,1079,1826,492,270,144,52,73,196,118,99,116,172,121,52,57,136,90,18,44,7,40,62,90,164,136,135,108,130,99,51,49,228,124,54,48,5220,748
5,North Center,4296,700,1043,311,48,57,51,60,9,44,44,65,72,73,22,49,4,42,17,46,42,58,37,53,19,48,52,66,71,64,110,87,295,130,150,100,3253,517
6,Lake View,7033,746,1719,362,117,82,63,84,54,69,78,76,74,78,36,76,80,80,44,72,24,69,12,67,138,128,5,66,67,79,26,73,449,173,452,189,5314,596
7,Lincoln Park,4073,645,1577,345,123,93,78,75,33,60,63,68,55,71,53,62,62,67,72,67,65,63,50,60,44,58,79,69,13,53,6,51,515,167,266,140,2496,444
8,Near North Side,4345,740,1128,327,90,85,0,54,0,54,10,56,0,54,50,87,0,54,0,54,0,54,32,61,0,54,0,54,0,54,96,95,451,192,399,212,3217,611
9,Edison Park,500,208,169,125,10,27,23,43,23,43,10,27,19,28,17,29,14,28,0,25,11,26,14,28,7,25,13,28,0,25,0,25,8,26,0,25,331,128
10,Norwood Park,4582,776,1556,414,46,52,162,112,111,87,86,69,248,178,40,51,104,65,63,84,36,46,46,58,34,47,114,77,122,100,37,47,268,152,39,56,3026,589
