area_id,area_name,c24010h001,c24010h001_moe,c24010h002,c24010h002_moe,c24010h003,c24010h003_moe,c24010h004,c24010h004_moe,c24010h005,c24010h005_moe,c24010h006,c24010h006_moe,c24010h007,c24010h007_moe,c24010h008,c24010h008_moe,c24010h009,c24010h009_moe,c24010h010,c24010h010_moe,c24010h011,c24010h011_moe,c24010h012,c24010h012_moe,c24010h013,c24010h013_moe
16,Irving Park,13608,761,6891,509,3045,322,715,182,1176,216,968,213,987,210,6717,506,3125,329,1239,266,2098,301,42,63,213,105
17,Dunning,15428,849,8116,544,1894,315,1455,276,1343,241,1851,299,1573,319,7312,528,2157,314,2025,346,2676,343,91,82,363,130
18,Montclare,2384,350,1188,219,307,106,143,74,211,109,276,122,251,109,1196,229,277,126,320,111,516,146,0,23,83,69
19,Belmont Cragin,5704,643,3104,466,503,154,495,199,526,164,802,245,778,190,2600,360,549,160,1156,256,765,177,24,64,106,87
20,Hermosa,1200,327,541,193,118,59,77,70,70,52,190,154,86,68,659,233,223,108,212,125,211,102,0,29,13,32
21,Avondale,6778,560,3421,371,1369,229,355,118,724,185,393,128,580,191,3357,379,1328,217,979,222,886,190,37,57,127,81
22,Logan Square,22170,877,12410,636,7010,469,1351,247,2522,314,814,211,713,190,9760,571,5932,419,1250,236,2192,287,119,103,267,116
23,Humboldt Park,1816,323,979,222,295,102,170,106,251,100,103,88,160,104,837,172,446,123,238,109,111,72,16,53,26,53
24,West Town,36759,1160,19881,825,11843,643,1817,304,4112,399,986,234,1123,235,16878,776,10541,625,2361,344,3728,395,51,77,197,106
25,Austin,2048,253,1163,187,463,136,157,118,143,89,210,112,190,100,885,139,523,125,75,78,272,133,0,61,15,59
26,West Garfield Park,105,64,31,35,7,33,0,35,7,36,0,35,17,34,74,55,16,35,45,48,9,36,0,35,4,34
27,East Garfield Park,338,137,175,91,95,54,10,40,23,52,18,48,29,50,163,81,104,64,46,55,13,44,0,38,0,38
28,Near West Side,16354,765,8406,554,5167,420,767,272,1970,281,131,82,371,175,7948,486,5141,420,710,196,2010,288,0,52,87,80
29,North Lawndale,331,123,113,69,47,53,22,48,18,43,24,53,2,40,218,93,134,83,50,54,22,46,0,43,12,43
30,South Lawndale,860,246,415,143,200,95,114,99,15,51,49,72,37,59,445,168,262,139,39,63,144,83,0,48,0,48
31,Lower West Side,3021,418,1748,302,829,214,334,165,288,94,91,68,206,81,1273,209,695,159,178,81,387,118,0,42,13,42
32,Loop,10860,815,5883,652,4054,492,208,110,1258,320,145,97,218,176,4977,503,3625,481,315,156,999,244,0,30,38,41
