area_id,area_name,b25075001,b25075001_moe,b25075002,b25075002_moe,b25075003,b25075003_moe,b25075004,b25075004_moe,b25075005,b25075005_moe,b25075006,b25075006_moe,b25075007,b25075007_moe,b25075008,b25075008_moe,b25075009,b25075009_moe,b25075010,b25075010_moe,b25075011,b25075011_moe,b25075012,b25075012_moe,b25075013,b25075013_moe,b25075014,b25075014_moe,b25075015,b25075015_moe,b25075016,b25075016_moe,b25075017,b25075017_moe,b25075018,b25075018_moe,b25075019,b25075019_moe,b25075020,b25075020_moe,b25075021,b25075021_moe,b25075022,b25075022_moe,b25075023,b25075023_moe,b25075024,b25075024_moe,b25075025,b25075025_moe
1,Rogers Park,6995,461,9,48,0,48,0,48,10,47,0,48,34,51,47,55,30,49,15,51,50,58,51,58,153,83,96,66,266,117,349,133,881,209,820,195,1481,256,915,202,694,154,465,136,290,108,271,132,68,72
2,West Ridge,12314,533,7,51,0,51,52,59,71,67,39,58,14,52,35,55,137,75,151,74,203,93,246,112,221,96,199,119,922,220,758,188,956,225,516,137,1382,250,1460,296,2509,326,1457,269,727,202,175,95,77,80
3,Uptown,9490,491,16,50,0,48,0,48,48,54,39,66,0,48,0,48,0,48,24,55,16,47,14,49,124,97,79,74,411,140,456,158,712,166,468,142,1556,276,1465,250,2553,310,633,161,534,151,188,85,154,92
4,Lincoln Square,7020,447,10,40,0,40,0,40,25,43,12,43,7,40,11,42,12,40,0,40,35,51,88,105,24,49,34,51,81,58,124,72,391,142,229,103,926,202,863,175,1210,209,1132,206,1185,182,392,126,229,87
5,North Center,7758,369,0,43,0,43,0,43,40,74,0,43,12,45,0,43,17,44,0,43,11,42,13,45,53,63,7,43,30,49,30,44,163,84,92,55,358,96,478,125,1357,198,1150,179,2239,270,977,180,731,155
6,Lake View,19687,707,27,68,13,69,0,66,24,70,0,66,17,67,9,67,10,67,43,75,26,71,10,67,109,85,27,71,393,163,514,216,646,200,845,193,2003,282,1875,259,3906,377,2926,315,3538,316,1272,215,1454,233
7,Lincoln Park,14662,578,8,51,0,51,6,51,0,51,0,51,12,53,0,51,9,51,16,57,47,68,0,51,33,71,11,52,34,54,157,83,228,111,258,123,940,217,1213,244,2054,252,2040,261,3212,312,1491,212,2893,333
8,Near North Side,22765,857,82,90,0,54,12,57,57,75,59,70,16,58,22,58,0,54,0,54,0,54,17,59,0,54,56,75,150,85,244,141,755,210,742,218,2315,344,2070,356,3495,418,3072,380,4043,458,2168,375,3390,365
9,Edison Park,3676,182,0,25,0,25,11,26,0,25,19,27,12,28,21,38,0,25,0,25,11,28,0,25,0,25,10,27,60,48,16,25,164,69,175,83,422,129,425,139,995,157,795,173,377,114,77,65,86,50
10,Norwood Park,11624,364,9,40,0,39,76,59,58,51,24,44,43,49,31,45,0,39,38,70,44,55,42,51,72,60,55,70,181,84,237,122,280,105,549,168,1425,223,2068,278,3927,339,1483,239,776,178,107,67,99,71
