area_id,area_name,b05008001,b05008001_moe,b05008002,b05008002_moe,b05008003,b05008003_moe,b05008004,b05008004_moe,b05008005,b05008005_moe,b05008006,b05008006_moe,b05008007,b05008007_moe,b05008008,b05008008_moe,b05008009,b05008009_moe,b05008010,b05008010_moe,b05008011,b05008011_moe,b05008012,b05008012_moe,b05008013,b05008013_moe,b05008014,b05008014_moe,b05008015,b05008015_moe,b05008016,b05008016_moe,b05008017,b05008017_moe,b05008018,b05008018_moe,b05008019,b05008019_moe,b05008020,b05008020_moe,b05008021,b05008021_moe,b05008022,b05008022_moe,b05008023,b05008023_moe,b05008024,b05008024_moe,b05008025,b05008025_moe,b05008026,b05008026_moe,b05008027,b05008027_moe,b05008028,b05008028_moe,b05008029,b05008029_moe,b05008030,b05008030_moe,b05008031,b05008031_moe,b05008032,b05008032_moe,b05008033,b05008033_moe,b05008034,b05008034_moe,b05008035,b05008035_moe,b05008036,b05008036_moe,b05008037,b05008037_moe,b05008038,b05008038_moe,b05008039,b05008039_moe,b05008040,b05008040_moe,b05008041,b05008041_moe,b05008042,b05008042_moe,b05008043,b05008043_moe,b05008044,b05008044_moe,b05008045,b05008045_moe,b05008046,b05008046_moe,b05008047,b05008047_moe,b05008048,b05008048_moe,b05008049,b05008049_moe,b05008050,b05008050_moe,b05008051,b05008051_moe,b05008052,b05008052_moe,b05008053,b05008053_moe,b05008054,b05008054_moe,b05008055,b05008055_moe,b05008056,b05008056_moe,b05008057,b05008057_moe,b05008058,b05008058_moe,b05008059,b05008059_moe,b05008060,b05008060_moe,b05008061,b05008061_moe,b05008062,b05008062_moe,b05008063,b05008063_moe,b05008064,b05008064_moe,b05008065,b05008065_moe,b05008066,b05008066_moe,b05008067,b05008067_moe,b05008068,b05008068_moe,b05008069,b05008069_moe
1,Rogers Park,16697,1574,9087,1012,1030,251,18,55,421,169,591,181,1615,471,218,232,704,345,693,214,5008,804,18,54,2157,634,2833,485,567,259,0,48,210,198,357,172,4060,742,3619,733,18,54,1629,589,1972,423,441,180,0,48,109,85,332,164,381,236,0,48,209,155,172,125,1434,335,89,98,760,262,585,191,7610,827,987,240,17,54,244,118,726,210,1677,491,229,186,707,395,741,230,4047,629,56,83,1430,419,2561,425,702,280,0,48,175,132,527,223,3148,558,2616,517,2,47,1111,389,1503,336,532,185,40,79,92,69,400,167,197,122,14,50,52,80,131,95,899,217,0,48,500,170,399,146
2,West Ridge,33287,2132,16781,1259,2685,459,0,51,838,264,1847,382,8388,1041,756,311,2855,680,4777,557,4465,776,53,85,1329,462,3083,546,543,243,0,51,128,116,415,194,3392,729,2983,700,53,85,1019,433,1911,464,409,174,0,51,59,71,350,165,530,252,0,51,123,121,407,191,1243,326,50,69,550,225,643,230,16506,1174,3080,431,32,71,772,245,2276,385,8411,943,770,374,2979,637,4662,559,4089,743,53,78,1160,530,2876,501,485,280,0,51,132,166,353,178,2941,667,2495,637,53,78,816,464,1626,424,446,220,0,51,41,67,405,214,663,299,0,51,171,190,492,222,926,296,44,65,504,257,378,148
3,Uptown,13760,1183,6830,743,1300,352,199,236,254,147,847,225,2258,439,59,83,694,294,1505,285,1845,436,41,82,833,330,971,254,230,118,0,48,52,79,178,100,1435,406,1205,368,0,48,632,285,573,201,230,140,41,82,81,108,108,73,180,115,0,48,68,70,112,98,1427,358,59,88,856,319,512,187,6930,684,1632,303,0,48,324,166,1308,260,2662,395,56,73,814,256,1792,312,1516,380,0,48,661,289,855,208,181,150,0,48,74,125,107,91,1044,297,898,284,0,48,405,242,493,140,146,92,0,48,45,74,101,71,291,182,0,48,137,100,154,115,1120,333,0,48,544,226,576,205
4,Lincoln Square,10385,1016,5099,620,1428,306,16,46,462,199,950,232,1493,344,39,57,266,127,1188,285,1954,481,0,40,703,293,1251,325,49,58,0,40,0,40,49,58,1682,467,1323,428,0,40,654,289,669,234,359,202,0,40,12,42,347,201,223,116,0,40,37,57,186,116,224,142,0,40,110,126,114,77,5286,568,1582,320,30,49,472,187,1080,248,1803,345,76,68,579,219,1148,244,1762,390,59,98,539,247,1164,308,58,67,0,40,0,40,58,67,1141,305,881,278,0,40,354,209,527,191,260,162,0,40,6,40,254,162,563,278,59,98,179,130,325,194,139,72,15,45,45,55,79,57
5,North Center,3815,501,1887,292,499,144,0,43,116,65,383,132,405,131,0,43,43,54,362,132,877,251,20,54,161,159,696,191,16,48,0,43,0,43,16,48,723,244,551,200,0,43,85,143,466,151,172,144,0,43,59,77,113,101,138,97,20,54,17,49,101,89,106,64,0,43,50,55,56,49,1928,319,611,163,0,43,105,64,506,153,470,149,7,43,34,53,429,138,815,237,11,45,157,115,647,194,68,63,0,43,33,54,35,53,542,199,413,174,11,45,35,69,367,145,129,106,0,43,53,94,76,66,205,126,0,43,36,48,169,109,32,48,0,43,16,44,16,47
6,Lake View,11570,874,5550,586,1841,353,172,190,619,212,1050,229,1847,316,41,72,624,203,1182,266,1138,243,14,66,259,114,865,220,111,94,7,66,7,66,97,93,658,182,532,161,0,66,84,89,448,145,126,105,0,66,40,74,86,99,369,142,7,66,128,89,234,128,724,277,0,66,466,262,258,120,6020,569,1872,311,152,118,525,198,1195,224,2329,405,255,230,663,197,1411,277,1269,258,36,72,305,136,928,219,187,112,7,66,16,70,164,110,598,174,499,168,0,66,86,81,413,159,99,74,0,66,22,69,77,70,484,190,29,72,181,124,274,131,550,155,16,69,230,134,304,105
7,Lincoln Park,6602,660,3219,394,1404,262,148,98,491,164,765,168,1066,232,40,65,393,184,633,150,358,139,9,51,51,69,298,125,59,74,0,51,0,51,59,74,209,104,187,100,0,51,29,67,158,90,22,56,0,51,0,51,22,56,90,62,9,51,22,53,59,58,391,148,22,54,162,116,207,99,3383,441,1451,311,54,66,588,225,809,210,1090,227,36,60,254,112,800,199,467,168,57,72,178,130,232,104,75,80,0,51,40,77,35,55,197,134,171,132,0,51,69,108,102,91,26,55,0,51,6,51,20,55,195,92,57,72,63,65,75,60,375,122,40,53,156,106,179,77
8,Near North Side,14156,1176,7053,755,1697,332,211,170,468,178,1018,232,3458,542,348,215,1379,378,1731,349,1203,376,77,105,513,286,613,236,85,101,0,54,64,98,21,59,414,228,366,225,27,69,127,135,212,183,48,67,0,54,0,54,48,67,704,296,50,96,322,242,332,152,695,241,0,54,275,182,420,159,7103,702,2359,394,188,119,321,161,1850,351,3060,475,350,225,1298,308,1412,299,1104,280,39,68,334,142,731,233,149,115,0,54,0,54,149,115,388,187,279,171,0,54,58,72,221,163,109,93,0,54,11,56,98,86,567,185,39,68,265,131,263,122,580,212,9,55,303,179,268,125
9,Edison Park,1450,344,661,215,486,194,15,33,132,156,339,111,128,85,8,26,40,55,80,58,17,29,0,25,0,25,17,29,9,26,0,25,0,25,9,26,8,25,8,25,0,25,0,25,8,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,30,42,0,25,0,25,30,42,789,205,519,160,0,25,86,64,433,147,222,140,0,25,87,79,135,82,48,46,0,25,5,24,43,47,20,26,0,25,0,25,20,26,5,24,0,25,0,25,0,25,0,25,5,24,0,25,5,24,0,25,23,43,0,25,0,25,23,43,0,25,0,25,0,25,0,25
10,Norwood Park,8310,823,3699,436,2518,406,44,71,511,248,1963,321,460,149,0,39,7,39,453,146,679,173,30,49,105,90,544,138,53,65,0,39,0,39,53,65,360,118,316,113,12,42,1,35,303,112,44,51,0,39,0,39,44,51,266,115,18,47,104,90,144,78,42,70,0,39,41,71,1,36,4611,520,2808,421,0,39,483,229,2325,354,944,240,14,42,159,97,771,204,799,248,0,39,258,229,541,157,15,41,0,39,0,39,15,41,343,129,301,119,0,39,0,39,301,119,42,56,0,39,0,39,42,56,441,247,0,39,258,229,183,105,60,52,0,39,0,39,60,52
