area_id,area_name,b21100001,b21100001_moe,b21100002,b21100002_moe,b21100003,b21100003_moe,b21100004,b21100004_moe,b21100005,b21100005_moe,b21100006,b21100006_moe,b21100007,b21100007_moe,b21100008,b21100008_moe,b21100009,b21100009_moe
1,Rogers Park,1777,286,1602,271,175,86,11,49,36,54,16,52,0,48,48,60,64,61
2,West Ridge,1867,311,1676,292,191,115,10,51,74,83,16,55,80,92,8,51,3,49
3,Uptown,1830,301,1649,281,181,105,19,52,64,73,13,50,0,48,13,49,72,88
4,Lincoln Square,1301,248,1226,244,75,55,0,40,29,45,8,40,0,40,0,40,38,50
5,North Center,931,178,841,169,90,77,0,43,44,49,0,43,0,43,4,42,42,74
6,Lake View,2315,328,2044,303,271,124,6,66,195,110,7,66,14,69,40,84,9,67
7,Lincoln Park,1658,270,1493,260,165,89,32,55,84,79,28,53,0,51,12,53,9,53
8,Near North Side,3464,436,3149,420,315,141,29,66,147,97,70,92,4,54,47,76,18,57
9,Edison Park,748,192,620,150,128,88,0,25,94,81,0,25,0,25,21,37,13,30
10,Norwood Park,2337,299,2158,281,179,88,0,39,142,79,24,53,0,39,9,40,4,38
11,Jefferson Park,1120,227,986,209,134,71,12,33,76,59,0,29,6,29,20,36,20,40
12,Forest Glen,987,153,972,152,15,32,5,28,0,29,0,29,0,29,10,31,0,29
13,North Park,621,199,586,197,35,40,15,32,20,32,0,27,0,27,0,27,0,27
14,Albany Park,1151,252,1030,232,121,89,60,64,11,46,7,44,0,45,34,68,9,44
15,Portage Park,2019,305,1848,303,171,81,11,48,77,57,7,50,0,47,38,64,38,53
16,Irving Park,1858,297,1669,270,189,98,0,47,88,67,48,72,35,53,18,54,0,47
17,Dunning,1546,203,1421,198,125,56,31,42,67,52,11,42,0,40,16,40,0,40
18,Montclare,712,171,644,161,68,60,0,23,32,45,0,23,11,23,15,27,10,22
19,Belmont Cragin,1382,256,1243,234,139,86,4,52,74,69,0,52,21,62,40,67,0,52
20,Hermosa,439,143,386,137,53,51,0,29,40,46,0,29,0,29,13,35,0,29
21,Avondale,780,194,764,192,16,45,0,38,0,38,16,45,0,38,0,38,0,38
22,Logan Square,1556,264,1355,247,201,105,60,98,26,59,69,71,3,57,9,58,34,64
23,Humboldt Park,1460,275,1266,249,194,116,55,81,16,52,62,74,0,51,11,52,50,75
24,West Town,1438,244,1239,222,199,101,30,72,63,67,62,85,21,67,0,62,23,63
25,Austin,3752,427,3197,380,555,162,66,73,81,78,83,79,79,89,85,72,161,105
26,West Garfield Park,622,148,500,140,122,72,0,35,33,49,33,45,41,55,10,36,5,34
27,East Garfield Park,631,167,515,159,116,61,4,37,22,38,29,49,21,43,9,39,31,43
28,Near West Side,1642,273,1506,262,136,95,21,57,18,50,28,67,0,52,10,54,59,77
29,North Lawndale,1349,243,1213,235,136,70,7,43,35,48,36,58,0,43,54,52,4,42
30,South Lawndale,545,153,492,149,53,57,0,48,16,51,12,51,0,48,5,46,20,54
31,Lower West Side,722,187,698,185,24,44,9,43,0,42,15,43,0,42,0,42,0,42
32,Loop,736,174,596,171,140,50,9,30,54,50,0,30,0,30,77,28,0,30
33,Near South Side,480,158,438,155,42,34,8,24,30,30,0,24,0,24,4,18,0,24
34,Armour Square,425,156,421,156,4,23,0,27,4,23,0,27,0,27,0,27,0,27
35,Douglas,971,177,777,157,194,92,16,42,44,59,33,43,41,53,33,44,27,41
36,Oakland,283,95,221,94,62,52,16,29,0,19,0,19,16,30,30,38,0,19
37,Fuller Park,205,107,184,106,21,25,0,16,10,19,0,16,0,16,0,16,11,19
38,Grand Boulevard,1322,235,1138,222,184,91,37,50,41,55,57,70,6,42,34,48,9,43
