area_id,area_name,c27016001,c27016001_moe,c27016002,c27016002_moe,c27016003,c27016003_moe,c27016004,c27016004_moe,c27016005,c27016005_moe,c27016006,c27016006_moe,c27016007,c27016007_moe,c27016008,c27016008_moe,c27016009,c27016009_moe,c27016010,c27016010_moe,c27016011,c27016011_moe,c27016012,c27016012_moe,c27016013,c27016013_moe,c27016014,c27016014_moe,c27016015,c27016015_moe,c27016016,c27016016_moe,c27016017,c27016017_moe,c27016018,c27016018_moe,c27016019,c27016019_moe,c27016020,c27016020_moe,c27016021,c27016021_moe,c27016022,c27016022_moe,c27016023,c27016023_moe,c27016024,c27016024_moe,c27016025,c27016025_moe,c27016026,c27016026_moe,c27016027,c27016027_moe,c27016028,c27016028_moe,c27016029,c27016029_moe,c27016030,c27016030_moe,c27016031,c27016031_moe,c27016032,c27016032_moe,c27016033,c27016033_moe,c27016034,c27016034_moe,c27016035,c27016035_moe,c27016036,c27016036_moe,c27016037,c27016037_moe,c27016038,c27016038_moe,c27016039,c27016039_moe,c27016040,c27016040_moe,c27016041,c27016041_moe
56,Garfield Ridge,33811,1072,5015,936,1610,518,1351,461,259,269,2711,529,1436,332,1275,362,694,164,670,162,24,43,2996,588,728,234,678,222,50,68,1603,373,940,251,663,216,665,168,665,168,0,42,11413,1285,2772,558,2729,555,43,58,6644,802,5541,714,1103,282,1997,276,1997,276,0,42,14387,1162,2704,454,2655,451,49,53,10036,801,9348,768,688,228,1647,259,1636,259,11,45
57,Archer Heights,13352,774,3469,751,1360,391,1339,390,21,32,1894,429,747,193,1147,330,215,91,199,89,16,33,2566,593,950,278,901,272,49,49,1420,365,658,208,762,267,196,79,196,79,0,27,5154,756,1178,273,1126,268,52,44,3435,530,2273,404,1162,262,541,146,541,146,0,27,2163,484,466,181,426,171,40,71,1414,294,1258,281,156,92,283,93,273,90,10,27
58,Brighton Park,43767,1777,18381,1623,7328,829,6807,792,521,269,10286,953,3885,504,6401,762,767,188,607,160,160,102,8510,1276,3021,640,2609,566,412,295,4930,742,2172,460,2758,543,559,166,531,163,28,48,12321,1428,3302,541,3135,520,167,119,8084,965,5117,669,2967,605,935,198,837,187,98,79,4555,866,595,220,558,215,37,61,3468,695,2882,542,586,268,492,154,492,154,0,43
59,McKinley Park,16434,925,5467,837,1785,387,1662,374,123,81,3336,536,1484,283,1852,415,346,119,295,113,51,57,3377,710,1136,361,1136,361,0,25,2085,426,1298,308,787,256,156,74,139,69,17,35,4975,849,1356,360,1346,360,10,27,3109,532,2458,430,651,217,510,148,510,148,0,25,2615,459,297,132,276,128,21,40,2051,374,1677,341,374,176,267,102,253,99,14,32
60,Bridgeport,32389,1331,10019,1115,2756,531,2654,531,102,75,6228,753,3735,512,2493,454,1035,228,1030,228,5,33,4680,840,1136,339,1031,331,105,72,2884,546,1505,313,1379,416,660,214,617,204,43,74,9037,1006,1743,400,1561,378,182,138,6393,718,4428,579,1965,348,901,199,875,195,26,43,8653,854,1230,269,1218,268,12,40,6761,635,6023,566,738,228,662,185,662,185,0,37
61,New City,41778,1835,20823,1774,8561,942,8021,927,540,213,11275,1063,5233,571,6042,762,987,208,858,188,129,92,6423,983,1975,441,1945,440,30,50,4166,641,1967,399,2199,440,282,111,282,111,0,47,10633,1142,2409,413,2289,400,120,81,7146,830,4635,592,2511,474,1078,206,1078,206,0,47,3899,554,607,178,574,174,33,59,3137,452,2647,375,490,189,155,69,155,69,0,47
62,West Elsdon,18901,1093,5168,1136,2190,613,2074,606,116,79,2643,576,1043,307,1600,472,335,114,318,111,17,37,4695,928,1545,412,1390,394,155,108,2771,569,1688,422,1083,265,379,150,313,109,66,108,5729,957,1312,385,1298,385,14,32,3826,659,2729,535,1097,314,591,176,591,176,0,27,3309,587,305,121,305,121,0,27,2577,475,2017,364,560,240,427,155,372,129,55,68
63,Gage Park,39211,1715,17085,1765,7256,907,6352,852,904,420,9012,985,3192,475,5820,826,817,201,718,190,99,77,7744,1290,2650,582,2434,554,216,175,4671,796,2178,428,2493,588,423,133,345,118,78,75,10710,1345,2473,437,2353,428,120,89,7492,995,4686,663,2806,645,745,192,745,192,0,41,3672,804,433,218,395,215,38,53,2993,679,2189,520,804,289,246,97,246,97,0,41
64,Clearing,22702,982,3554,754,1146,402,1038,393,108,112,1871,408,764,195,1107,346,537,178,536,178,1,27,2025,488,465,212,432,208,33,47,991,270,531,206,460,163,569,178,569,178,0,31,9083,1107,2686,517,2426,504,260,192,5189,695,4155,566,1034,302,1208,256,1208,256,0,31,8040,957,1229,336,1179,322,50,59,6129,745,5782,709,347,189,682,161,682,161,0,31
65,West Lawn,32880,1271,9375,1346,3669,631,3436,616,233,126,4979,816,2273,498,2706,605,727,185,716,185,11,32,6773,1284,2876,731,2651,737,225,293,3497,651,1980,485,1517,405,400,142,400,142,0,34,10889,1367,2908,563,2681,498,227,295,6968,890,5267,751,1701,387,1013,260,858,213,155,159,5843,847,771,226,735,221,36,52,4444,716,3908,659,536,204,628,180,628,180,0,34
