area_id,area_name,b25032h001,b25032h001_moe,b25032h002,b25032h002_moe,b25032h003,b25032h003_moe,b25032h004,b25032h004_moe,b25032h005,b25032h005_moe,b25032h006,b25032h006_moe,b25032h007,b25032h007_moe,b25032h008,b25032h008_moe,b25032h009,b25032h009_moe,b25032h010,b25032h010_moe,b25032h011,b25032h011_moe
1,Rogers Park,11511,548,989,181,237,93,496,154,1085,233,2621,331,1540,240,2909,337,1601,280,33,57,0,48
2,West Ridge,12814,569,3508,312,681,168,1206,253,2344,368,1391,275,1190,235,774,172,1720,219,0,51,0,51
3,Uptown,17054,630,776,171,289,108,411,177,988,218,4265,394,1748,279,2817,314,5757,475,3,47,0,48
4,Lincoln Square,12566,495,1872,202,274,98,1594,224,2386,343,2207,311,1824,259,1879,263,530,147,0,40,0,40
5,North Center,12029,379,3237,270,388,96,2730,290,2737,290,1177,216,696,153,595,130,441,99,0,43,28,60
6,Lake View,42481,819,2945,291,1337,181,2607,310,6892,458,6216,442,2627,302,5488,478,14228,663,54,89,87,125
7,Lincoln Park,26940,654,2917,293,2808,251,1533,237,3908,403,2951,338,1873,277,3123,359,7797,512,30,59,0,51
8,Near North Side,37992,984,464,195,1208,209,279,150,1070,238,1015,270,852,242,2735,348,30343,952,9,55,17,59
9,Edison Park,4322,172,3018,179,25,29,79,48,225,117,543,148,250,102,182,86,0,25,0,25,0,25
10,Norwood Park,12754,343,9306,344,244,103,736,168,436,169,641,172,309,122,387,104,648,141,47,66,0,39
11,Jefferson Park,7639,343,3889,299,52,42,1555,253,867,198,591,151,266,103,313,145,103,48,3,31,0,29
12,Forest Glen,5308,223,4490,220,180,82,296,125,66,49,165,91,69,64,34,44,8,30,0,29,0,29
13,North Park,3713,227,1544,185,7,27,438,107,310,102,223,98,119,61,304,85,716,131,52,62,0,27
14,Albany Park,7190,418,1932,214,119,73,967,193,1022,221,1267,254,738,189,843,192,268,126,34,68,0,45
15,Portage Park,14549,504,6868,385,232,107,2805,346,1871,319,1447,265,413,122,496,156,366,135,51,67,0,47
16,Irving Park,10938,454,3774,296,367,103,1859,259,1309,242,1412,249,1181,197,797,179,239,107,0,47,0,47
17,Dunning,12081,359,8031,331,355,147,892,198,788,205,877,196,167,107,520,115,403,102,48,86,0,40
18,Montclare,2310,202,1119,164,56,40,371,136,178,91,211,97,122,71,46,29,207,84,0,23,0,23
19,Belmont Cragin,5465,376,2490,270,53,65,1047,192,849,187,509,153,251,114,92,73,149,76,25,61,0,52
20,Hermosa,972,178,375,122,8,28,215,98,194,74,61,57,17,32,102,86,0,29,0,29,0,29
21,Avondale,5464,368,1128,211,268,97,1590,241,1009,180,609,151,486,141,211,110,163,84,0,38,0,38
22,Logan Square,15363,529,2585,271,555,117,2923,319,3831,348,2357,266,1125,188,1354,201,629,173,4,57,0,57
23,Humboldt Park,1381,202,401,115,27,59,343,115,258,95,153,80,101,67,44,55,54,75,0,51,0,51
24,West Town,24289,607,3009,318,1060,168,2899,296,8210,482,5983,438,1062,183,897,148,1142,172,13,66,14,65
25,Austin,1810,178,1269,152,22,64,57,65,63,70,0,61,64,74,139,100,183,98,13,62,0,61
26,West Garfield Park,73,49,50,46,0,35,17,36,6,36,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,198,76,45,46,11,37,55,51,31,38,5,37,0,38,35,57,16,39,0,38,0,38
28,Near West Side,12457,488,539,150,871,147,487,142,960,168,824,161,458,121,1450,203,6812,398,56,79,0,52
29,North Lawndale,235,96,51,49,0,43,78,73,34,47,28,46,29,62,0,43,2,41,13,46,0,43
30,South Lawndale,625,145,202,84,0,48,172,85,167,87,35,56,20,51,0,48,29,52,0,48,0,48
31,Lower West Side,2418,262,390,117,61,52,512,122,826,166,365,109,122,73,92,63,50,70,0,42,0,42
32,Loop,9678,555,131,71,114,74,133,124,93,82,109,40,32,55,461,140,8437,532,121,196,47,80
33,Near South Side,5344,506,202,111,842,257,12,25,41,40,15,30,112,71,350,117,3770,449,0,24,0,24
34,Armour Square,742,124,175,69,78,52,156,63,159,73,75,48,22,25,28,50,49,50,0,27,0,27
35,Douglas,555,120,77,53,35,38,20,38,9,31,40,44,0,35,62,51,312,101,0,35,0,35
