area_id,area_name,b13002i001,b13002i001_moe,b13002i002,b13002i002_moe,b13002i003,b13002i003_moe,b13002i004,b13002i004_moe,b13002i005,b13002i005_moe,b13002i006,b13002i006_moe,b13002i007,b13002i007_moe
1,Rogers Park,3757,607,270,139,164,116,106,85,3487,586,1603,327,1884,423
2,West Ridge,3863,631,293,187,258,182,35,66,3570,594,1456,295,2114,424
3,Uptown,1959,416,109,91,107,91,2,46,1850,399,850,254,1000,256
4,Lincoln Square,2036,427,102,72,62,65,40,50,1934,430,845,238,1089,317
5,North Center,1158,292,22,45,22,45,0,43,1136,290,351,111,785,234
6,Lake View,2440,432,123,84,103,77,20,73,2317,429,678,196,1639,364
7,Lincoln Park,1116,252,41,56,41,56,0,51,1075,250,337,147,738,205
8,Near North Side,1679,429,102,117,36,67,66,111,1577,415,599,297,978,283
9,Edison Park,109,69,0,25,0,25,0,25,109,69,73,55,36,36
10,Norwood Park,1272,342,158,113,12,41,146,112,1114,309,309,132,805,286
11,Jefferson Park,1556,386,155,109,87,92,68,66,1401,371,661,201,740,261
12,Forest Glen,668,186,54,61,11,31,43,59,614,180,265,107,349,135
13,North Park,874,255,60,63,60,63,0,27,814,247,345,141,469,187
14,Albany Park,7154,757,411,146,197,113,214,111,6743,763,3245,467,3498,548
15,Portage Park,7905,769,563,197,280,158,283,124,7342,779,3303,396,4039,674
16,Irving Park,6534,661,341,145,154,96,187,113,6193,632,2858,428,3335,477
17,Dunning,2619,411,120,64,79,55,41,49,2499,405,1193,216,1306,312
18,Montclare,1692,295,109,75,66,57,43,51,1583,289,804,183,779,218
19,Belmont Cragin,16329,935,1091,241,540,164,551,184,15238,913,6691,545,8547,773
20,Hermosa,5857,558,383,139,258,121,125,72,5474,544,2133,267,3341,484
21,Avondale,7318,813,493,157,335,129,158,98,6825,803,2661,360,4164,711
22,Logan Square,9476,735,365,132,221,107,144,92,9111,719,3460,398,5651,565
23,Humboldt Park,7933,653,560,178,111,78,449,165,7373,623,2638,349,4735,550
24,West Town,6801,626,311,143,174,107,137,93,6490,609,1977,276,4513,528
25,Austin,2613,428,121,93,45,71,76,80,2492,421,1109,229,1383,337
26,West Garfield Park,41,52,0,35,0,35,0,35,41,52,15,37,26,50
27,East Garfield Park,126,74,21,42,14,42,7,39,105,72,18,37,87,65
28,Near West Side,1595,267,77,66,65,66,12,50,1518,264,444,133,1074,224
29,North Lawndale,391,119,8,43,0,43,8,43,383,119,180,70,203,98
30,South Lawndale,15395,835,1185,230,684,175,501,156,14210,818,5868,451,8342,672
31,Lower West Side,7283,558,388,129,249,105,139,84,6895,554,2626,332,4269,443
32,Loop,554,218,0,30,0,30,0,30,554,218,101,104,453,200
33,Near South Side,567,246,43,40,43,40,0,24,524,243,115,85,409,229
34,Armour Square,229,112,0,27,0,27,0,27,229,112,73,51,156,104
35,Douglas,147,91,0,35,0,35,0,35,147,91,44,47,103,83
