Number of Times Married by Sex by Marital Status
------------------------------------------------
Universe: Population 15 Years and Over

B12505002  Male:
B12505001 Total:
B12505003   Never married
B12505004   Ever married:
B12505005    Once
B12505006    Two times
B12505007    Three or more times
B12505008  Female:
B12505009   Never married
B12505010   Ever married:
B12505011    Once
B12505012    Two times
B12505013    Three or more times
