area_id,area_name,b25018001,b25018001_moe
1,Rogers Park,47,1
2,West Ridge,71,1
3,Uptown,43,1
4,Lincoln Square,51,1
5,North Center,71,1
6,Lake View,143,2
7,Lincoln Park,88,2
8,Near North Side,68,1
9,Edison Park,17,1
10,Norwood Park,44,1
11,Jefferson Park,31,1
12,Forest Glen,25,1
13,North Park,21,1
14,Albany Park,52,1
15,Portage Park,74,1
16,Irving Park,76,1
17,Dunning,60,1
18,Montclare,10,0
19,Belmont Cragin,86,1
20,Hermosa,31,1
21,Avondale,51,1
22,Logan Square,135,2
23,Humboldt Park,76,1
24,West Town,143,2
25,Austin,124,2
26,West Garfield Park,50,2
27,East Garfield Park,62,2
28,Near West Side,80,2
29,North Lawndale,79,1
30,South Lawndale,82,1
31,Lower West Side,48,1
32,Loop,16,0
33,Near South Side,11,1
34,Armour Square,21,1
35,Douglas,39,2
36,Oakland,12,0
37,Fuller Park,9,1
38,Grand Boulevard,61,2
39,Kenwood,30,1
40,Washington Park,29,1
41,Hyde Park,52,2
42,Woodlawn,51,1
43,South Shore,69,1
44,Chatham,50,1
45,Avalon Park,12,0
46,South Chicago,52,2
47,Burnside,6,0
48,Calumet Heights,29,1
49,Roseland,80,2
50,Pullman,15,0
51,South Deering,22,1
52,East Side,34,1
53,West Pullman,46,1
54,Riverdale,9,0
55,Hegewisch,11,0
56,Garfield Ridge,54,1
57,Archer Heights,25,1
58,Brighton Park,49,1
59,McKinley Park,26,1
60,Bridgeport,48,1
61,New City,86,2
62,West Elsdon,21,1
63,Gage Park,41,1
64,Clearing,38,1
65,West Lawn,34,1
66,Chicago Lawn,58,1
67,West Englewood,109,2
68,Englewood,59,1
69,Greater Grand Crossing,61,1
70,Ashburn,48,1
71,Auburn Gresham,81,2
72,Beverly,47,1
73,Washington Heights,46,1
74,Mount Greenwood,23,1
75,Morgan Park,36,1
76,O'Hare,16,1
77,Edgewater,63,1
