area_id,area_name,b19037f001,b19037f001_moe,b19037f002,b19037f002_moe,b19037f003,b19037f003_moe,b19037f004,b19037f004_moe,b19037f005,b19037f005_moe,b19037f006,b19037f006_moe,b19037f007,b19037f007_moe,b19037f008,b19037f008_moe,b19037f009,b19037f009_moe,b19037f010,b19037f010_moe,b19037f011,b19037f011_moe,b19037f012,b19037f012_moe,b19037f013,b19037f013_moe,b19037f014,b19037f014_moe,b19037f015,b19037f015_moe,b19037f016,b19037f016_moe,b19037f017,b19037f017_moe,b19037f018,b19037f018_moe,b19037f019,b19037f019_moe,b19037f020,b19037f020_moe,b19037f021,b19037f021_moe,b19037f022,b19037f022_moe,b19037f023,b19037f023_moe,b19037f024,b19037f024_moe,b19037f025,b19037f025_moe,b19037f026,b19037f026_moe,b19037f027,b19037f027_moe,b19037f028,b19037f028_moe,b19037f029,b19037f029_moe,b19037f030,b19037f030_moe,b19037f031,b19037f031_moe,b19037f032,b19037f032_moe,b19037f033,b19037f033_moe,b19037f034,b19037f034_moe,b19037f035,b19037f035_moe,b19037f036,b19037f036_moe,b19037f037,b19037f037_moe,b19037f038,b19037f038_moe,b19037f039,b19037f039_moe,b19037f040,b19037f040_moe,b19037f041,b19037f041_moe,b19037f042,b19037f042_moe,b19037f043,b19037f043_moe,b19037f044,b19037f044_moe,b19037f045,b19037f045_moe,b19037f046,b19037f046_moe,b19037f047,b19037f047_moe,b19037f048,b19037f048_moe,b19037f049,b19037f049_moe,b19037f050,b19037f050_moe,b19037f051,b19037f051_moe,b19037f052,b19037f052_moe,b19037f053,b19037f053_moe,b19037f054,b19037f054_moe,b19037f055,b19037f055_moe,b19037f056,b19037f056_moe,b19037f057,b19037f057_moe,b19037f058,b19037f058_moe,b19037f059,b19037f059_moe,b19037f060,b19037f060_moe,b19037f061,b19037f061_moe,b19037f062,b19037f062_moe,b19037f063,b19037f063_moe,b19037f064,b19037f064_moe,b19037f065,b19037f065_moe,b19037f066,b19037f066_moe,b19037f067,b19037f067_moe,b19037f068,b19037f068_moe,b19037f069,b19037f069_moe
1,Rogers Park,1338,279,23,51,0,48,0,48,0,48,0,48,11,50,0,48,0,48,0,48,0,48,0,48,0,48,12,49,0,48,0,48,0,48,0,48,980,240,12,51,118,101,55,81,110,94,148,111,120,100,61,84,0,48,28,54,182,131,37,62,26,55,33,69,31,55,19,53,0,48,278,143,17,49,72,86,20,55,0,48,37,77,9,48,21,53,0,48,34,71,0,48,56,85,12,49,0,48,0,48,0,48,0,48,57,58,0,48,25,53,0,48,0,48,14,50,0,48,0,48,0,48,0,48,8,48,0,48,0,48,10,50,0,48,0,48,0,48
2,West Ridge,1449,329,231,131,0,51,46,89,35,63,0,51,51,57,38,78,31,69,0,51,0,51,0,51,0,51,30,69,0,51,0,51,0,51,0,51,906,273,59,95,29,59,50,84,72,84,47,73,112,105,65,90,94,105,100,101,53,76,35,76,147,118,14,53,23,61,6,52,0,51,178,116,0,51,56,88,0,51,0,51,10,53,0,51,22,53,19,56,0,51,47,76,0,51,24,62,0,51,0,51,0,51,0,51,134,152,0,51,0,51,118,150,0,51,0,51,16,56,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
3,Uptown,889,241,86,82,9,48,0,48,32,69,0,48,19,56,0,48,0,48,0,48,0,48,26,58,0,48,0,48,0,48,0,48,0,48,0,48,415,172,134,103,52,83,32,55,28,64,22,57,0,48,0,48,17,52,0,48,0,48,35,73,17,55,71,88,0,48,7,48,0,48,281,144,38,76,11,49,29,66,0,48,21,58,0,48,7,49,10,49,25,61,66,85,0,48,14,50,0,48,0,48,31,66,29,57,107,93,20,55,0,48,7,48,0,48,22,55,0,48,52,81,0,48,0,48,0,48,0,48,6,47,0,48,0,48,0,48,0,48
4,Lincoln Square,870,252,64,84,0,40,0,40,0,40,0,40,0,40,20,65,0,40,0,40,0,40,32,64,0,40,12,42,0,40,0,40,0,40,0,40,411,184,84,89,54,88,43,66,39,56,0,40,0,40,0,40,0,40,27,58,83,99,81,86,0,40,0,40,0,40,0,40,0,40,353,150,70,99,25,52,31,53,0,40,32,63,0,40,6,40,0,40,0,40,42,56,37,56,80,56,30,62,0,40,0,40,0,40,42,59,0,40,0,40,11,42,27,58,4,39,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
5,North Center,249,102,5,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,5,43,0,43,0,43,0,43,0,43,0,43,117,68,0,43,0,43,28,57,0,43,10,44,10,44,10,44,11,46,4,42,11,44,9,44,10,44,10,45,4,42,0,43,0,43,103,83,0,43,11,45,0,43,0,43,39,75,0,43,0,43,0,43,7,43,0,43,38,50,0,43,0,43,0,43,0,43,8,44,24,46,11,46,0,43,6,42,7,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
6,Lake View,629,177,59,76,18,71,16,70,0,66,0,66,0,66,0,66,8,67,0,66,0,66,0,66,0,66,8,66,9,67,0,66,0,66,0,66,355,143,21,67,0,66,6,66,27,72,0,66,42,94,1,68,59,84,0,66,12,68,57,78,101,93,0,66,9,67,20,72,0,66,190,107,0,66,0,66,0,66,0,66,0,66,0,66,61,87,25,76,0,66,0,66,30,73,50,75,16,69,8,66,0,66,0,66,25,69,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,11,68,14,68,0,66,0,66,0,66,0,66
7,Lincoln Park,361,139,93,88,34,57,0,51,40,78,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,19,58,137,92,0,51,54,67,0,51,28,67,0,51,14,54,0,51,24,62,0,51,6,50,0,51,0,51,0,51,0,51,11,52,0,51,87,79,58,76,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,18,55,11,52,0,51,0,51,0,51,0,51,44,63,22,59,8,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,14,54,0,51,0,51,0,51,0,51
8,Near North Side,825,339,143,125,31,73,0,54,0,54,0,54,34,76,0,54,78,102,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,472,292,125,131,0,54,0,54,0,54,46,94,144,241,0,54,44,67,9,55,0,54,0,54,38,68,0,54,13,57,13,57,40,84,147,112,61,97,20,62,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,16,58,30,71,0,54,0,54,0,54,20,58,63,96,0,54,49,94,14,58,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
9,Edison Park,31,32,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,8,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,8,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,11,26,0,25,11,26,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,12,26,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,12,26,0,25,0,25,0,25
10,Norwood Park,454,178,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,269,153,0,39,0,39,0,39,10,41,0,39,0,39,21,43,44,78,0,39,0,39,0,39,136,106,58,88,0,39,0,39,0,39,155,92,0,39,26,55,0,39,0,39,0,39,0,39,0,39,16,44,0,39,8,39,0,39,30,46,58,72,0,39,0,39,17,46,30,46,0,39,0,39,0,39,10,41,0,39,10,41,0,39,0,39,0,39,0,39,10,41,0,39,0,39,0,39,0,39,0,39
