area_id,area_name,b992709001,b992709001_moe,b992709002,b992709002_moe,b992709003,b992709003_moe
1,Rogers Park,56493,3,3419,3,53074,3
2,West Ridge,72744,4,5162,4,67582,4
3,Uptown,53670,3,2846,3,50824,3
4,Lincoln Square,38116,3,1968,3,36148,3
5,North Center,33402,4,1659,4,31743,4
6,Lake View,96425,6,4149,6,92276,6
7,Lincoln Park,64028,4,3926,4,60102,4
8,Near North Side,80315,4,6722,4,73593,4
9,Edison Park,11135,2,1183,2,9952,2
10,Norwood Park,36933,3,2937,3,33996,3
11,Jefferson Park,26760,2,1663,2,25097,2
12,Forest Glen,18542,2,1609,2,16933,2
13,North Park,18562,2,1390,2,17172,2
14,Albany Park,53540,3,2311,3,51229,3
15,Portage Park,63461,4,3503,4,59958,4
16,Irving Park,56160,4,3044,4,53116,4
17,Dunning,41997,3,3031,3,38966,3
18,Montclare,12279,1,757,1,11522,1
19,Belmont Cragin,77642,4,4556,4,73086,4
20,Hermosa,25068,2,1392,2,23676,2
21,Avondale,41526,3,1239,3,40287,3
22,Logan Square,73495,5,2663,5,70832,5
23,Humboldt Park,54341,4,4008,4,50333,4
24,West Town,83695,6,4102,6,79593,6
25,Austin,97389,5,6983,5,90406,5
26,West Garfield Park,19358,3,1177,3,18181,3
27,East Garfield Park,21012,3,1124,3,19888,3
28,Near West Side,53295,4,3672,4,49623,4
29,North Lawndale,35623,4,2199,4,33424,4
30,South Lawndale,62390,4,3246,4,59144,4
31,Lower West Side,36577,3,961,3,35616,3
32,Loop,25786,2,1903,2,23883,2
33,Near South Side,20076,2,975,2,19101,2
34,Armour Square,13710,2,991,2,12719,2
35,Douglas,18357,3,1552,3,16805,3
36,Oakland,6260,2,524,2,5736,2
37,Fuller Park,2924,1,267,1,2657,1
38,Grand Boulevard,22964,4,1400,4,21564,4
39,Kenwood,17937,3,1591,3,16346,3
40,Washington Park,11141,2,777,2,10364,2
41,Hyde Park,26427,3,2541,3,23886,3
42,Woodlawn,24291,3,2650,3,21641,3
43,South Shore,46965,4,3551,4,43414,4
44,Chatham,33244,3,2848,3,30396,3
45,Avalon Park,9617,1,1023,1,8594,1
46,South Chicago,29402,3,1889,3,27513,3
47,Burnside,3508,1,254,1,3254,1
48,Calumet Heights,14382,2,1566,2,12816,2
49,Roseland,45004,4,4069,4,40935,4
50,Pullman,7262,2,623,2,6639,2
51,South Deering,16438,2,1121,2,15317,2
52,East Side,23517,2,1728,2,21789,2
53,West Pullman,30810,3,2762,3,28048,3
54,Riverdale,6820,1,344,1,6476,1
55,Hegewisch,10155,1,970,1,9185,1
56,Garfield Ridge,33848,3,2527,3,31321,3
57,Archer Heights,13434,2,908,2,12526,2
58,Brighton Park,44098,3,2514,3,41584,3
59,McKinley Park,16434,2,1060,2,15374,2
60,Bridgeport,32423,3,1595,3,30828,3
61,New City,42050,4,2747,4,39303,4
62,West Elsdon,18980,2,1183,2,17797,2
63,Gage Park,39492,3,1503,3,37989,3
64,Clearing,22716,3,1361,3,21355,3
65,West Lawn,32950,2,2045,2,30905,2
66,Chicago Lawn,54793,3,2857,3,51936,3
67,West Englewood,35288,4,2678,4,32610,4
68,Englewood,28732,3,2312,3,26420,3
69,Greater Grand Crossing,32491,3,3080,3,29411,3
70,Ashburn,42430,3,2619,3,39811,3
71,Auburn Gresham,49600,4,4276,4,45324,4
72,Beverly,21226,3,1674,3,19552,3
73,Washington Heights,25828,3,2902,3,22926,3
74,Mount Greenwood,18467,2,1266,2,17201,2
75,Morgan Park,22372,3,1671,3,20701,3
76,O'Hare,13676,3,809,3,12867,3
77,Edgewater,54610,4,3724,4,50886,4
