area_id,area_name,b09008001,b09008001_moe,b09008002,b09008002_moe,b09008003,b09008003_moe,b09008004,b09008004_moe,b09008005,b09008005_moe,b09008006,b09008006_moe,b09008007,b09008007_moe,b09008008,b09008008_moe,b09008009,b09008009_moe,b09008010,b09008010_moe,b09008011,b09008011_moe,b09008012,b09008012_moe
1,Rogers Park,11411,1016,975,361,975,361,433,215,542,311,0,48,10436,995,10424,995,6507,897,718,294,3199,646,12,51
2,West Ridge,19035,1409,948,397,948,397,705,366,243,162,0,51,18087,1398,18060,1403,14595,1305,756,506,2709,602,27,77
3,Uptown,6547,819,445,207,407,199,127,92,280,182,38,72,6102,806,6081,806,3944,728,241,131,1896,444,21,50
4,Lincoln Square,6318,689,415,298,394,296,299,290,95,85,21,53,5903,684,5886,685,4979,643,156,138,751,280,17,46
5,North Center,6243,549,191,123,168,117,135,111,33,58,23,55,6052,543,6025,541,5554,530,71,77,400,142,27,60
6,Lake View,9789,699,370,182,356,181,218,141,138,129,14,69,9419,678,9419,678,8386,664,244,222,789,248,0,66
7,Lincoln Park,8841,835,335,166,278,148,52,64,226,142,57,90,8506,835,8506,835,7555,821,171,96,780,235,0,51
8,Near North Side,5878,724,100,105,100,105,23,58,77,103,0,54,5778,722,5771,722,3433,548,106,111,2232,553,7,55
9,Edison Park,2266,248,49,50,49,50,0,25,49,50,0,25,2217,257,2217,257,1971,230,23,25,223,152,0,25
10,Norwood Park,7433,703,111,104,111,104,49,79,62,78,0,39,7322,706,7322,706,6005,663,275,194,1042,381,0,39
11,Jefferson Park,5801,660,524,268,494,264,346,239,148,116,30,56,5277,665,5256,664,4452,639,121,120,683,271,21,43
12,Forest Glen,4437,340,95,75,95,75,22,41,73,69,0,29,4342,346,4342,346,3899,353,190,134,253,159,0,29
13,North Park,4237,572,259,188,259,188,146,160,113,113,0,27,3978,548,3978,548,3343,543,162,116,473,197,0,27
14,Albany Park,13335,1088,1671,615,1671,615,1405,586,266,197,0,45,11664,976,11664,976,9150,865,397,218,2117,517,0,45
15,Portage Park,14633,1080,1226,452,1226,452,351,191,875,420,0,47,13407,1018,13386,1019,9501,828,366,193,3519,751,21,55
16,Irving Park,13007,949,1352,539,1328,538,781,452,547,292,24,54,11655,898,11655,898,8778,814,788,325,2089,494,0,47
17,Dunning,7786,583,373,173,366,173,245,152,121,87,7,40,7413,581,7413,581,5835,569,361,175,1217,314,0,40
18,Montclare,3016,482,239,139,183,116,85,80,98,83,56,87,2777,486,2758,487,2023,398,161,152,574,236,19,35
19,Belmont Cragin,23217,1412,3902,866,3889,866,2035,619,1854,619,13,54,19315,1295,19315,1295,13206,1117,1006,357,5103,903,0,52
20,Hermosa,7251,670,849,322,849,322,395,215,454,263,0,29,6402,696,6402,696,4378,636,215,125,1809,462,0,29
21,Avondale,9643,923,443,194,443,194,144,111,299,162,0,38,9200,913,9200,913,6638,812,501,235,2061,522,0,38
22,Logan Square,14549,1006,1263,347,1239,346,673,246,566,245,24,62,13286,979,13244,979,8929,866,822,307,3493,537,42,67
23,Humboldt Park,16324,1369,2656,743,2642,743,969,375,1673,664,14,55,13668,1232,13567,1231,5541,813,776,272,7250,1046,101,132
24,West Town,13050,1019,1201,440,1201,440,499,335,702,295,0,62,11849,941,11849,941,7808,757,543,226,3498,595,0,62
25,Austin,26401,1528,2799,600,2774,602,932,359,1842,494,25,67,23602,1462,23474,1463,7195,872,1196,366,15083,1316,128,107
26,West Garfield Park,6763,756,836,283,830,283,155,93,675,265,6,34,5927,744,5927,744,752,255,574,340,4601,668,0,35
27,East Garfield Park,7429,809,959,368,905,356,354,203,551,296,54,98,6470,784,6459,783,1238,324,286,180,4935,732,11,41
28,Near West Side,7968,810,472,211,464,210,173,141,291,164,8,53,7496,793,7495,793,3227,424,598,399,3670,577,1,51
29,North Lawndale,12329,1067,1391,456,1391,456,380,225,1011,395,0,43,10938,987,10938,987,2092,451,417,195,8429,896,0,43
30,South Lawndale,19656,1272,2718,577,2674,575,1257,396,1417,420,44,86,16938,1255,16893,1254,11620,1093,1014,389,4259,738,45,74
31,Lower West Side,9212,826,1656,433,1651,433,920,342,731,332,5,41,7556,787,7556,787,4849,707,613,289,2094,435,0,42
32,Loop,1529,402,0,30,0,30,0,30,0,30,0,30,1529,402,1529,402,1272,378,0,30,257,171,0,30
33,Near South Side,2559,372,153,135,135,146,40,50,95,138,18,35,2406,402,2406,402,1731,363,118,84,557,219,0,24
34,Armour Square,2343,429,36,45,36,45,36,45,0,27,0,27,2307,427,2307,427,1379,261,53,47,875,346,0,27
35,Douglas,3036,364,148,121,148,121,38,68,110,109,0,35,2888,375,2886,375,626,191,147,89,2113,322,2,33
36,Oakland,1855,235,82,74,67,69,0,19,67,69,15,28,1773,240,1773,240,534,213,51,50,1188,251,0,19
37,Fuller Park,841,325,19,21,19,21,0,16,19,21,0,16,822,327,822,327,156,88,47,47,619,318,0,16
38,Grand Boulevard,6230,711,400,210,357,200,10,45,347,199,43,77,5830,702,5662,674,1370,348,426,197,3866,618,168,173
39,Kenwood,3693,495,408,185,388,182,14,33,374,181,20,44,3285,497,3285,497,1332,260,116,112,1837,433,0,31
40,Washington Park,3751,476,332,186,332,186,43,47,289,179,0,27,3419,448,3392,455,377,171,166,86,2849,432,27,51
41,Hyde Park,3515,445,146,107,118,98,37,47,81,93,28,58,3369,439,3337,436,2384,367,28,40,925,269,32,58
42,Woodlawn,5983,733,358,216,358,216,134,117,224,185,0,36,5625,719,5625,719,1281,359,89,73,4255,642,0,36
43,South Shore,11148,1089,950,316,890,307,295,170,595,257,60,81,10198,1052,10198,1052,1938,438,504,208,7756,976,0,44
44,Chatham,8265,926,511,251,441,236,127,106,314,214,70,89,7754,935,7726,933,1846,479,261,146,5619,858,28,56
45,Avalon Park,1916,357,223,183,185,177,37,58,148,186,38,61,1693,347,1669,346,708,236,115,82,846,237,24,45
46,South Chicago,8279,829,871,383,862,383,502,305,360,235,9,38,7408,801,7378,798,3031,604,517,215,3830,623,30,56
47,Burnside,1048,411,18,36,18,36,0,11,18,36,0,11,1030,420,1030,420,253,225,85,71,692,385,0,11
48,Calumet Heights,3012,422,303,153,303,153,66,76,237,136,0,27,2709,422,2709,422,1288,332,63,52,1358,383,0,27
49,Roseland,10942,899,1103,395,1082,393,224,163,858,359,21,47,9839,869,9781,865,3547,684,618,237,5616,715,58,67
50,Pullman,1701,360,58,64,58,64,58,64,0,19,0,19,1643,364,1630,364,422,187,155,110,1053,336,13,25
51,South Deering,4481,642,149,115,149,115,29,41,120,110,0,25,4332,633,4332,633,1694,440,97,118,2541,508,0,25
52,East Side,7575,886,1035,483,1035,483,508,269,527,400,0,29,6540,805,6534,805,4277,725,111,81,2146,581,6,29
53,West Pullman,8955,989,798,368,721,352,132,145,589,323,77,122,8157,978,8075,975,2694,858,537,201,4844,702,82,106
54,Riverdale,2993,455,224,233,224,233,101,164,123,165,0,16,2769,442,2769,442,209,176,171,137,2389,469,0,16
55,Hegewisch,2921,560,389,271,273,225,87,103,186,251,116,142,2532,532,2532,532,1547,485,271,263,714,305,0,19
56,Garfield Ridge,7850,574,425,214,425,214,306,196,119,92,0,42,7425,579,7421,579,6022,535,233,164,1166,465,4,41
57,Archer Heights,4035,434,384,209,384,209,296,193,88,73,0,27,3651,437,3651,437,2655,426,138,115,858,291,0,27
58,Brighton Park,14577,987,1781,473,1676,477,782,339,894,351,105,110,12796,965,12735,964,9754,891,682,303,2299,564,61,74
59,McKinley Park,4574,530,367,189,367,189,204,129,163,140,0,25,4207,523,4207,523,3188,484,192,149,827,270,0,25
60,Bridgeport,6898,682,956,327,956,327,661,291,295,186,0,37,5942,640,5934,640,4035,510,206,109,1693,419,8,37
61,New City,13788,1028,1505,398,1479,396,771,298,708,282,26,54,12283,1005,12161,999,7184,777,595,239,4382,723,122,149
62,West Elsdon,5430,688,719,331,719,331,523,306,196,140,0,27,4711,668,4711,668,3518,662,249,143,944,390,0,27
63,Gage Park,13070,911,1492,507,1443,502,707,321,736,398,49,85,11578,901,11578,901,9122,877,504,255,1952,481,0,41
64,Clearing,5539,550,1246,465,1246,465,956,417,290,210,0,31,4293,578,4280,578,3268,518,170,148,842,282,13,34
65,West Lawn,10281,761,1000,358,979,357,543,264,436,247,21,46,9281,792,9281,792,7721,743,206,155,1354,404,0,34
66,Chicago Lawn,18679,1338,2105,656,1993,630,998,482,995,405,112,196,16574,1294,16574,1294,7867,931,776,259,7931,1074,0,49
67,West Englewood,10021,883,780,268,702,255,207,136,495,217,78,98,9241,866,9241,866,2137,460,555,203,6549,766,0,48
68,Englewood,8748,836,1004,379,970,378,177,199,793,326,34,50,7744,812,7670,810,967,269,491,255,6212,750,74,86
69,Greater Grand Crossing,9152,864,453,194,394,177,163,111,231,142,59,79,8699,866,8690,865,1059,288,609,273,7022,817,9,40
70,Ashburn,11603,909,1076,445,1039,442,388,263,651,358,37,67,10527,911,10527,911,7667,861,270,163,2590,595,0,41
71,Auburn Gresham,13326,1048,1193,432,1176,432,281,181,895,393,17,52,12133,1003,12067,1002,2716,552,726,336,8625,929,66,73
72,Beverly,5821,397,59,60,57,60,16,36,41,57,2,27,5762,387,5762,387,4746,397,304,145,712,258,0,29
73,Washington Heights,5679,590,310,188,310,188,150,141,160,127,0,33,5369,574,5330,574,1877,436,132,90,3321,491,39,66
74,Mount Greenwood,4633,423,86,93,86,93,27,48,59,83,0,25,4547,409,4547,409,4094,411,217,181,236,128,0,25
75,Morgan Park,5425,654,338,171,299,164,81,90,218,142,39,56,5087,641,5087,641,2908,425,127,121,2052,550,0,31
76,O'Hare,2559,723,140,212,140,212,140,212,0,38,0,38,2419,708,2419,708,2129,709,0,38,290,190,0,38
77,Edgewater,6501,752,447,278,447,278,226,250,221,139,0,48,6054,711,6026,709,4141,597,387,211,1498,434,28,65
