area_id,area_name,b09010001,b09010001_moe,b09010002,b09010002_moe,b09010003,b09010003_moe,b09010004,b09010004_moe,b09010005,b09010005_moe,b09010006,b09010006_moe,b09010007,b09010007_moe,b09010008,b09010008_moe,b09010009,b09010009_moe,b09010010,b09010010_moe,b09010011,b09010011_moe,b09010012,b09010012_moe,b09010013,b09010013_moe
1,Rogers Park,11427,1017,4093,809,4093,809,1293,485,404,261,2396,651,0,48,7334,818,7322,819,5214,782,763,262,1345,359,12,51
2,West Ridge,19035,1409,5879,1075,5879,1075,4010,872,538,487,1331,469,0,51,13156,1226,13129,1229,10585,1150,923,395,1621,440,27,77
3,Uptown,6547,819,2135,494,2089,494,615,274,128,93,1346,424,46,73,4412,719,4399,719,3329,672,240,130,830,273,13,49
4,Lincoln Square,6318,689,1238,503,1217,500,806,407,278,290,133,89,21,53,5080,573,5063,572,4173,512,177,138,713,276,17,46
5,North Center,6243,549,201,92,201,92,110,70,18,51,73,64,0,43,6042,545,5992,543,5444,529,188,125,360,138,50,70
6,Lake View,9789,699,545,230,545,230,156,130,121,133,268,162,0,66,9244,666,9230,666,8230,657,341,226,659,229,14,69
7,Lincoln Park,8841,835,344,189,344,189,13,51,30,59,301,185,0,51,8497,829,8440,829,7542,821,193,99,705,206,57,90
8,Near North Side,5892,725,1823,517,1823,517,24,58,23,58,1776,517,0,54,4069,568,4048,568,3409,549,106,111,533,214,21,59
9,Edison Park,2266,248,90,103,90,103,90,103,0,25,0,25,0,25,2176,268,2176,268,1881,245,23,25,272,154,0,25
10,Norwood Park,7433,703,685,306,685,306,393,241,34,76,258,195,0,39,6748,721,6748,721,5612,656,290,195,846,351,0,39
11,Jefferson Park,5801,660,746,287,746,287,374,162,203,186,169,131,0,29,5055,638,5004,636,4078,630,264,192,662,273,51,64
12,Forest Glen,4437,340,401,187,401,187,298,169,12,31,91,94,0,29,4036,338,4036,338,3601,336,200,139,235,149,0,29
13,North Park,4237,572,513,235,513,235,404,216,8,29,101,110,0,27,3724,560,3724,560,2939,517,300,197,485,205,0,27
14,Albany Park,13351,1089,4049,855,4049,855,2167,596,855,532,1027,354,0,45,9302,937,9302,937,6999,788,947,321,1356,487,0,45
15,Portage Park,14633,1080,4291,858,4291,858,1508,435,192,130,2591,746,0,47,10342,860,10321,861,7993,783,525,243,1803,467,21,55
16,Irving Park,13007,949,2537,645,2537,645,1229,416,458,361,850,357,0,47,10470,853,10446,853,7549,744,1111,420,1786,457,24,54
17,Dunning,7786,583,1037,307,1030,306,545,226,199,147,286,161,7,40,6749,568,6749,568,5290,556,407,184,1052,288,0,40
18,Montclare,3016,482,843,289,843,289,463,234,57,68,323,166,0,23,2173,457,2098,448,1560,387,189,158,349,168,75,91
19,Belmont Cragin,23217,1412,7648,1181,7635,1180,3328,704,854,402,3453,856,13,54,15569,1178,15569,1178,9878,976,2187,577,3504,688,0,52
20,Hermosa,7269,672,2320,515,2320,515,737,306,289,193,1294,430,0,29,4949,598,4949,598,3647,588,333,167,969,312,0,29
21,Avondale,9643,923,2339,530,2339,530,1114,361,130,139,1095,374,0,38,7304,810,7304,810,5524,736,515,219,1265,385,0,38
22,Logan Square,14549,1006,3438,575,3425,575,1423,370,314,202,1688,419,13,60,11111,909,11058,909,7506,810,1181,335,2371,436,53,69
23,Humboldt Park,16385,1369,9255,1214,9255,1214,1970,542,671,292,6614,1137,0,51,7130,905,7003,896,3571,618,1074,373,2358,578,127,135
24,West Town,13050,1019,4062,740,4062,740,1101,362,477,356,2484,549,0,62,8988,773,8988,773,6707,685,565,190,1716,398,0,62
25,Austin,26401,1528,14773,1347,14645,1346,2425,629,1032,363,11188,1237,128,107,11628,1048,11603,1049,4770,659,1096,364,5737,832,25,67
26,West Garfield Park,6763,756,4742,697,4736,697,401,214,359,203,3976,648,6,34,2021,478,2021,478,351,167,370,289,1300,341,0,35
