area_id,area_name,b07013001,b07013001_moe,b07013002,b07013002_moe,b07013003,b07013003_moe,b07013004,b07013004_moe,b07013005,b07013005_moe,b07013006,b07013006_moe,b07013007,b07013007_moe,b07013008,b07013008_moe,b07013009,b07013009_moe,b07013010,b07013010_moe,b07013011,b07013011_moe,b07013012,b07013012_moe,b07013013,b07013013_moe,b07013014,b07013014_moe,b07013015,b07013015_moe,b07013016,b07013016_moe,b07013017,b07013017_moe,b07013018,b07013018_moe
1,Rogers Park,53673,2091,16453,1355,37220,2141,41580,2024,15162,1316,26418,1968,8546,1294,1027,375,7519,1239,405,168,50,76,355,157,1727,362,151,93,1576,352,1415,575,63,66,1352,572
2,West Ridge,71089,2492,35947,1992,35142,2648,61210,2464,34149,1982,27061,2411,7223,1313,1348,498,5875,1252,375,321,0,51,375,321,763,360,334,264,429,228,1518,551,116,89,1402,546
3,Uptown,51542,1580,17034,1028,34508,1698,40742,1538,15700,993,25042,1600,7676,823,1053,245,6623,784,500,164,51,73,449,151,2021,486,206,102,1815,477,603,244,24,61,579,241
4,Lincoln Square,37423,1321,16672,1242,20751,1417,30503,1372,15317,1189,15186,1255,5333,913,970,301,4363,881,275,161,62,107,213,125,1112,285,220,154,892,250,200,122,103,96,97,85
5,North Center,32662,1070,19725,1098,12937,898,26571,1098,18122,1100,8449,781,4959,630,1272,302,3687,558,256,135,88,79,168,115,780,231,212,134,568,187,96,86,31,50,65,80
6,Lake View,94798,1702,38167,1437,56631,1707,66421,1791,34695,1383,31726,1529,17852,1211,2535,445,15317,1143,2455,521,262,211,2193,495,6576,673,528,188,6048,644,1494,444,147,120,1347,431
7,Lincoln Park,60361,1617,30689,1518,29672,1358,43819,1662,28027,1483,15792,1077,10829,1010,1978,475,8851,904,1163,295,133,105,1030,276,3857,570,403,149,3454,551,693,258,148,130,545,228
8,Near North Side,77994,1742,36321,1468,41673,1786,59010,1795,33450,1417,25560,1571,10556,981,1870,404,8686,900,1671,427,383,165,1288,399,5228,843,518,195,4710,823,1529,419,100,85,1429,412
9,Edison Park,11086,497,9257,539,1829,489,10375,470,8853,533,1522,438,506,206,327,187,179,102,9,27,9,27,0,25,184,161,56,60,128,155,12,27,12,27,0,25
10,Norwood Park,36333,1155,29506,1118,6827,1075,34156,1133,28676,1111,5480,914,1799,630,525,224,1274,596,107,82,67,72,40,55,173,90,140,84,33,50,98,62,98,62,0,39
11,Jefferson Park,26442,1226,18358,1185,8084,1158,24031,1183,17683,1187,6348,1036,1793,523,608,247,1185,441,49,63,0,29,49,63,343,395,15,36,328,394,226,207,52,78,174,194
12,Forest Glen,18286,637,16505,658,1781,478,16789,693,15572,683,1217,443,1131,334,779,284,352,201,92,77,55,66,37,49,171,104,52,60,119,90,103,81,47,56,56,65
13,North Park,17870,966,10845,996,7025,853,15670,1007,10511,1002,5159,767,1713,511,275,206,1438,478,231,246,0,27,231,246,120,78,53,50,67,63,136,93,6,27,130,92
14,Albany Park,51984,2012,18520,1411,33464,2071,42806,2096,17474,1386,25332,2013,7680,1329,860,236,6820,1319,324,184,52,76,272,175,749,248,122,112,627,222,425,176,12,46,413,176
15,Portage Park,62609,1793,38230,1869,24379,1771,56157,1928,36972,1876,19185,1713,5234,951,1054,439,4180,877,385,272,45,69,340,264,596,283,123,81,473,274,237,152,36,63,201,146
16,Irving Park,55046,1923,27969,1862,27077,1982,47530,1991,26681,1821,20849,1862,5955,921,1060,439,4895,840,249,122,65,66,184,111,955,471,89,86,866,469,357,199,74,61,283,194
17,Dunning,41478,1222,32571,1255,8907,1073,38993,1230,31171,1235,7822,1063,2058,469,1179,395,879,252,139,106,99,99,40,57,152,96,43,65,109,81,136,102,79,74,57,81
18,Montclare,12134,824,7654,821,4480,797,10741,805,7291,813,3450,714,1138,414,269,177,869,389,46,55,14,26,32,53,73,63,44,43,29,50,136,99,36,40,100,96
19,Belmont Cragin,76313,2502,39986,2446,36327,2428,69195,2572,38803,2421,30392,2320,6050,1182,919,380,5131,1134,13,55,0,52,13,55,521,268,139,127,382,242,534,246,125,126,409,215
20,Hermosa,24694,1253,11692,1245,13002,1259,20798,1322,11346,1222,9452,1184,3489,709,307,174,3182,703,153,189,0,29,153,189,138,130,29,55,109,121,116,100,10,32,106,98
21,Avondale,40923,1869,18117,1656,22806,1741,35399,1937,17280,1659,18119,1681,4792,880,636,253,4156,842,133,77,109,73,24,44,282,129,44,54,238,122,317,196,48,51,269,193
22,Logan Square,72018,1949,28625,1637,43393,1939,59378,1973,27179,1616,32199,1823,10214,1103,1170,302,9044,1063,463,163,39,62,424,160,1578,361,149,81,1429,355,385,186,88,91,297,172
23,Humboldt Park,53140,2145,20174,1790,32966,2142,45941,2154,19244,1777,26697,2085,6779,1171,768,417,6011,1094,94,84,94,84,0,51,189,128,11,53,178,127,137,94,57,73,80,76
24,West Town,82206,1969,33253,1603,48953,1907,64600,1932,30758,1534,33842,1737,13440,1147,2051,395,11389,1122,1216,274,138,95,1078,270,2673,425,250,115,2423,413,277,121,56,69,221,116
25,Austin,95684,2689,42490,2275,53194,2533,82482,2615,40446,2168,42036,2317,11864,1418,1820,546,10044,1308,612,336,111,86,501,329,511,355,82,80,429,352,215,218,31,70,184,215
26,West Garfield Park,18834,1294,4643,747,14191,1336,15141,1173,4402,718,10739,1187,3247,778,159,118,3088,772,140,145,22,47,118,142,302,147,56,73,246,137,4,34,4,34,0,35
27,East Garfield Park,20245,1280,5217,772,15028,1246,16990,1231,4922,752,12068,1157,2831,649,192,129,2639,647,175,156,34,57,141,150,230,139,50,64,180,130,19,41,19,41,0,38
28,Near West Side,49392,1471,19197,1080,30195,1427,37535,1468,17356,1088,20179,1238,8158,900,1307,283,6851,866,1050,272,251,164,799,223,1703,326,208,134,1495,305,946,352,75,76,871,347
29,North Lawndale,34803,1802,7963,959,26840,1788,28883,1684,7625,929,21258,1629,5535,996,262,154,5273,977,146,113,47,60,99,104,210,132,29,57,181,126,29,50,0,43,29,50
30,South Lawndale,60849,2194,22850,1848,37999,2166,54236,2235,21990,1820,32246,2146,5606,1008,589,351,5017,958,235,199,25,50,210,198,481,228,208,158,273,171,291,173,38,57,253,175
31,Lower West Side,35981,1677,10945,1344,25036,1565,29361,1712,10313,1285,19048,1528,5626,911,553,322,5073,823,310,139,29,46,281,136,479,207,28,55,451,202,205,98,22,46,183,96
32,Loop,23225,1178,10299,963,12926,1151,15809,1081,9327,967,6482,843,3742,776,542,272,3200,719,790,332,120,93,670,320,2104,743,239,118,1865,741,780,310,71,63,709,303
33,Near South Side,19724,1108,10020,903,9704,993,15013,1205,8603,875,6410,857,2970,692,846,334,2124,627,207,261,195,260,12,25,1212,457,170,206,1042,404,322,250,206,191,116,163
34,Armour Square,13575,841,5535,787,8040,795,11479,880,5090,737,6389,831,1322,391,276,220,1046,328,42,59,0,27,42,59,345,277,107,98,238,251,387,219,62,68,325,207
35,Douglas,16284,734,3866,446,12418,702,11726,687,3631,440,8095,581,3039,483,150,72,2889,483,270,109,42,45,228,102,553,221,31,47,522,218,696,319,12,36,684,319
36,Oakland,6209,467,1619,428,4590,502,5309,466,1474,415,3835,448,865,289,110,122,755,263,13,28,13,28,0,19,19,36,19,36,0,19,3,16,3,16,0,19
37,Fuller Park,2889,544,1304,451,1585,375,2610,509,1259,442,1351,335,248,188,14,23,234,178,0,16,0,16,0,16,0,16,0,16,0,16,31,49,31,49,0,16
38,Grand Boulevard,22441,1111,6457,733,15984,1057,18108,1024,6051,685,12057,935,3939,777,356,172,3583,761,88,83,7,43,81,81,296,135,33,46,263,133,10,44,10,44,0,43
39,Kenwood,17666,885,6076,623,11590,827,13753,825,5599,604,8154,709,2665,558,335,161,2330,533,274,179,7,32,267,179,752,244,112,67,640,243,222,103,23,34,199,102
40,Washington Park,10825,818,2206,506,8619,768,7658,691,2001,478,5657,587,2945,670,136,91,2809,664,115,137,0,27,115,137,107,65,69,56,38,41,0,27,0,27,0,27
41,Hyde Park,23550,978,9812,760,13738,953,17390,900,9007,712,8383,809,3916,561,489,217,3427,549,99,75,50,65,49,53,1553,312,245,139,1308,281,592,153,21,41,571,152
42,Woodlawn,23154,1222,5543,776,17611,1175,18947,1139,5166,746,13781,1050,3726,653,362,161,3364,635,46,54,0,36,46,54,387,166,15,38,372,165,48,48,0,36,48,48
43,South Shore,45991,1960,12613,1131,33378,1851,35871,1833,12090,1076,23781,1658,9168,1236,392,168,8776,1231,204,125,11,47,193,124,616,263,90,87,526,253,132,108,30,57,102,102
44,Chatham,32780,1597,12874,973,19906,1594,28388,1607,12435,963,15953,1543,4148,777,315,163,3833,770,130,168,19,45,111,166,114,92,105,91,9,38,0,37,0,37,0,37
45,Avalon Park,9571,755,6898,712,2673,624,8521,747,6716,702,1805,536,979,293,139,88,840,299,0,19,0,19,0,19,71,64,43,52,28,43,0,19,0,19,0,19
46,South Chicago,29070,1571,12522,1217,16548,1449,24216,1525,11820,1158,12396,1308,4162,889,644,375,3518,797,121,149,0,37,121,149,503,325,23,44,480,324,68,76,35,55,33,64
47,Burnside,3499,689,2225,592,1274,512,3019,543,2173,580,846,343,412,387,27,31,385,387,46,56,14,24,32,50,11,21,11,21,0,11,11,19,0,11,11,19
48,Calumet Heights,14269,805,10895,772,3374,797,12895,751,10435,769,2460,629,1164,490,295,159,869,451,45,67,0,27,45,67,147,132,147,132,0,27,18,36,18,36,0,27
49,Roseland,44160,1635,25027,1431,19133,1582,38521,1452,23848,1391,14673,1330,4996,1123,950,320,4046,1095,95,96,0,41,95,96,522,249,208,123,314,217,26,45,21,45,5,40
50,Pullman,7121,563,3233,343,3888,574,6340,521,3174,344,3166,514,744,324,54,45,690,322,15,28,0,19,15,28,13,19,5,17,8,20,9,21,0,19,9,21
