area_id,area_name,b06007001,b06007001_moe,b06007002,b06007002_moe,b06007003,b06007003_moe,b06007004,b06007004_moe,b06007005,b06007005_moe,b06007006,b06007006_moe,b06007007,b06007007_moe,b06007008,b06007008_moe,b06007009,b06007009_moe,b06007010,b06007010_moe,b06007011,b06007011_moe,b06007012,b06007012_moe,b06007013,b06007013_moe,b06007014,b06007014_moe,b06007015,b06007015_moe,b06007016,b06007016_moe,b06007017,b06007017_moe,b06007018,b06007018_moe,b06007019,b06007019_moe,b06007020,b06007020_moe,b06007021,b06007021_moe,b06007022,b06007022_moe,b06007023,b06007023_moe,b06007024,b06007024_moe,b06007025,b06007025_moe,b06007026,b06007026_moe,b06007027,b06007027_moe,b06007028,b06007028_moe,b06007029,b06007029_moe,b06007030,b06007030_moe,b06007031,b06007031_moe,b06007032,b06007032_moe,b06007033,b06007033_moe,b06007034,b06007034_moe,b06007035,b06007035_moe,b06007036,b06007036_moe,b06007037,b06007037_moe,b06007038,b06007038_moe,b06007039,b06007039_moe,b06007040,b06007040_moe
1,Rogers Park,53292,1991,33330,1650,11323,1362,6021,830,5302,949,8639,1105,5373,712,3266,662,22736,1413,17955,1270,3402,590,2967,570,435,197,1379,309,1308,299,71,68,13365,908,12295,898,532,194,397,159,135,104,538,149,469,141,69,59,694,203,302,130,259,130,201,118,58,75,133,88,125,87,8,49,16497,1542,2778,613,7130,1089,2456,529,4674,865,6589,1016,3471,573,3118,652
2,West Ridge,67808,2299,27149,1467,11727,1676,5838,886,5889,1162,28932,2100,15736,1509,13196,1288,26192,1430,18020,1263,3709,762,2997,634,712,282,4463,747,3844,725,619,210,7375,722,6235,672,381,156,297,134,84,93,759,284,675,274,84,92,1365,518,313,145,236,133,192,130,44,57,816,472,804,472,12,54,32876,2081,2581,472,7401,1290,2352,513,5049,1062,22894,1720,10413,1009,12481,1261
3,Uptown,52308,1570,35483,1397,6061,915,3477,635,2584,607,10764,1058,6194,822,4570,587,20629,1201,17556,1160,1633,383,1451,371,182,97,1440,319,1281,305,159,102,16987,986,15760,947,752,287,601,272,151,99,475,160,467,160,8,48,981,269,276,118,495,204,372,190,123,78,210,128,167,118,43,68,13711,1180,1891,351,3181,675,1053,320,2128,552,8639,911,4279,674,4360,566
4,Lincoln Square,35777,1175,22123,991,5866,974,2872,577,2994,669,7788,846,4695,579,3093,515,15213,963,11910,909,1754,403,1567,423,187,100,1549,329,1462,326,87,63,9541,599,8912,595,237,99,237,99,0,40,392,135,345,122,47,44,702,200,349,128,278,149,128,88,150,94,75,64,57,58,18,48,10321,1009,952,242,3597,748,940,278,2657,662,5772,738,2831,460,2941,510
5,North Center,30322,978,24819,928,3339,614,2079,418,1260,345,2164,361,1525,293,639,196,16042,859,14465,822,1121,311,990,305,131,89,456,145,389,139,67,55,9891,644,9138,631,353,146,321,120,32,58,400,176,302,121,98,128,599,163,208,79,320,126,145,85,175,95,71,81,71,81,0,43,3790,499,1008,249,1545,415,623,210,922,313,1237,236,763,191,474,145
6,Lake View,91635,1609,75003,1669,5825,668,4049,521,1776,365,10807,923,8016,761,2791,522,36078,1377,32792,1315,1733,321,1567,302,166,97,1553,284,1417,275,136,85,42478,1429,38690,1397,1558,322,1381,314,177,91,2230,421,2141,418,89,80,1554,309,701,174,420,183,203,97,217,166,433,190,433,190,0,66,11525,870,2820,416,2114,363,898,210,1216,290,6591,693,4025,481,2566,514
7,Lincoln Park,61386,1662,51862,1637,2968,497,2228,435,740,202,6556,775,5339,685,1217,304,26411,1254,23903,1219,1068,278,943,267,125,73,1440,310,1278,294,162,99,27578,1193,25471,1142,795,243,719,238,76,68,1312,348,1212,344,100,74,900,193,496,142,281,107,128,71,153,88,123,91,72,66,51,81,6497,651,1992,291,824,237,438,169,386,164,3681,533,2777,427,904,269
8,Near North Side,78099,1717,62018,1761,3555,652,2550,479,1005,347,12526,1078,9512,919,3014,531,32238,1518,29711,1472,793,253,665,221,128,104,1734,391,1557,376,177,98,30721,1388,28293,1341,800,259,718,254,82,69,1628,324,1506,316,122,88,1052,345,644,282,261,168,110,104,151,142,147,119,124,114,23,64,14088,1165,3370,512,1701,504,1057,335,644,293,9017,943,6325,784,2692,517
9,Edison Park,10776,481,8933,588,423,202,348,170,75,83,1420,324,872,222,548,220,8155,543,7456,554,278,153,232,134,46,80,421,162,342,127,79,71,1016,260,952,259,23,41,23,41,0,25,41,40,28,37,13,29,155,84,82,58,50,52,29,47,21,31,23,42,23,42,0,25,1450,344,443,153,72,56,64,55,8,25,935,287,479,166,456,210
10,Norwood Park,35117,1093,24092,1099,2934,575,1997,482,937,341,8091,996,4315,676,3776,569,23872,1010,20834,1022,1410,396,1277,382,133,106,1628,350,1453,332,175,89,2500,393,2191,339,75,82,75,82,0,39,234,217,234,217,0,39,435,158,153,84,181,102,132,93,49,48,101,91,77,89,24,44,8310,823,914,259,1268,366,513,178,755,325,6128,775,2551,432,3577,556
11,Jefferson Park,25022,1127,14448,1010,3224,648,2258,524,966,343,7350,1052,3422,599,3928,671,14957,1022,11962,922,1799,504,1732,501,67,54,1196,315,991,295,205,101,2030,442,1752,351,60,68,48,62,12,37,218,268,187,267,31,42,447,163,178,113,144,83,144,83,0,29,125,84,57,54,68,70,7588,898,556,149,1221,367,334,129,887,333,5811,874,2187,435,3624,635
12,Forest Glen,17349,610,11808,733,1604,377,1408,358,196,87,3937,557,2466,467,1471,314,12078,695,9691,702,1073,290,1047,294,26,36,1314,330,1140,312,174,98,1741,279,1477,250,22,34,22,34,0,29,242,132,234,131,8,30,164,91,86,65,67,65,63,60,4,31,11,32,11,32,0,29,3366,400,554,156,442,144,276,126,166,79,2370,376,1081,270,1289,290
13,North Park,17610,939,8173,756,2743,681,1703,486,1040,316,6694,865,3673,659,3021,425,7965,737,5861,694,837,358,771,349,66,52,1267,369,1167,362,100,63,2178,342,1815,304,301,144,301,144,0,27,62,50,62,50,0,27,246,104,81,67,95,72,35,42,60,64,70,61,63,58,7,28,7221,820,416,129,1510,403,596,188,914,302,5295,742,2381,551,2914,409
14,Albany Park,49366,1858,15201,1063,23795,1910,9318,958,14477,1537,10370,1138,5021,651,5349,806,17717,1142,9457,931,6864,800,5545,701,1319,362,1396,306,1203,276,193,112,5621,536,4739,493,479,158,381,142,98,84,403,162,316,145,87,81,1291,430,190,121,1037,408,594,254,443,298,64,57,47,52,17,50,24737,1662,815,268,15415,1563,2798,518,12617,1419,8507,1002,3455,529,5052,785
15,Portage Park,59798,1711,25190,1399,20668,1676,13537,1333,7131,850,13940,1217,6127,734,7813,818,32672,1494,20249,1281,9869,1042,9009,1000,860,301,2554,407,2338,397,216,91,4829,577,3613,500,940,258,886,253,54,60,276,185,240,176,36,69,1842,435,154,85,1576,423,805,270,771,286,112,78,95,76,17,49,20455,1333,1174,261,8283,910,2837,513,5446,714,10998,1055,3454,517,7544,810
16,Irving Park,51927,1822,24483,1282,19887,1585,10035,992,9852,1133,7557,893,4280,690,3277,512,25914,1425,17489,1209,7043,802,6247,783,796,233,1382,319,1246,303,136,81,6764,573,5570,524,737,241,611,219,126,107,457,192,453,192,4,46,1307,279,103,74,1170,278,734,210,436,192,34,51,10,47,24,51,17942,1355,1321,304,10937,1163,2443,434,8494,1071,5684,718,2571,484,3113,503
