area_id,area_name,b19202f001,b19202f001_moe
1,Rogers Park,73959,75646
2,West Ridge,68822,37411
3,Uptown,110121,139581
4,Lincoln Square,14850,1877
5,North Center,107170,62002
6,Lake View,481637,149625
7,Lincoln Park,51433,14759
8,Near North Side,107500,120389
10,Norwood Park,76858,125573
11,Jefferson Park,12386,107386
12,Forest Glen,30990,1623
13,North Park,65447,171789
14,Albany Park,272510,165924
15,Portage Park,177493,82784
16,Irving Park,394813,109357
17,Dunning,36912,43715
18,Montclare,101279,49169
19,Belmont Cragin,472951,197894
20,Hermosa,195277,91736
21,Avondale,254022,90371
22,Logan Square,453003,211100
23,Humboldt Park,262375,141090
24,West Town,361504,229711
25,Austin,24844,41163
27,East Garfield Park,63438,19956
28,Near West Side,157532,88401
29,North Lawndale,67824,37762
30,South Lawndale,315635,110870
31,Lower West Side,247910,100222
33,Near South Side,117368,33822
41,Hyde Park,29135,19780
42,Woodlawn,9208,44371
46,South Chicago,45663,37481
51,South Deering,58533,37974
52,East Side,65096,46137
56,Garfield Ridge,182125,144052
57,Archer Heights,80102,43349
58,Brighton Park,221141,98652
59,McKinley Park,115100,78155
60,Bridgeport,160703,219352
61,New City,197603,57134
62,West Elsdon,131599,91052
63,Gage Park,26172,32802
64,Clearing,100481,124118
65,West Lawn,232755,100673
66,Chicago Lawn,133077,51773
70,Ashburn,58072,10262
77,Edgewater,143764,176922
