area_id,area_name,b18105001,b18105001_moe,b18105002,b18105002_moe,b18105003,b18105003_moe,b18105004,b18105004_moe,b18105005,b18105005_moe,b18105006,b18105006_moe,b18105007,b18105007_moe,b18105008,b18105008_moe,b18105009,b18105009_moe,b18105010,b18105010_moe,b18105011,b18105011_moe,b18105012,b18105012_moe,b18105013,b18105013_moe,b18105014,b18105014_moe,b18105015,b18105015_moe,b18105016,b18105016_moe,b18105017,b18105017_moe,b18105018,b18105018_moe,b18105019,b18105019_moe,b18105020,b18105020_moe,b18105021,b18105021_moe,b18105022,b18105022_moe,b18105023,b18105023_moe,b18105024,b18105024_moe,b18105025,b18105025_moe,b18105026,b18105026_moe,b18105027,b18105027_moe,b18105028,b18105028_moe,b18105029,b18105029_moe,b18105030,b18105030_moe,b18105031,b18105031_moe,b18105032,b18105032_moe,b18105033,b18105033_moe
1,Rogers Park,52231,1967,26103,1233,3424,520,12,49,3412,519,10200,884,57,65,10143,881,10940,692,491,170,10449,675,988,207,128,75,860,198,551,166,108,63,443,154,26128,1301,3750,532,0,48,3750,532,10050,888,85,93,9965,882,10180,715,813,201,9367,703,1191,217,243,108,948,198,957,240,409,130,548,199
2,West Ridge,66847,2287,32662,1389,6364,695,121,111,6243,678,9022,935,117,77,8905,932,13651,708,465,167,13186,698,2184,363,303,134,1881,344,1441,234,487,142,954,196,34185,1402,6775,736,56,62,6719,733,7964,691,114,94,7850,684,14280,710,1155,270,13125,693,2804,432,617,202,2187,384,2362,342,941,217,1421,273
3,Uptown,50983,1566,27028,1149,2405,447,0,48,2405,447,9880,802,87,85,9793,799,12915,805,1052,277,11863,781,1112,241,235,115,877,216,716,191,354,139,362,147,23955,1016,1469,340,0,48,1469,340,9036,672,84,85,8952,669,10184,633,721,186,9463,618,1643,313,229,108,1414,298,1623,313,742,232,881,233
4,Lincoln Square,35271,1168,17387,731,1642,331,0,40,1642,331,6335,514,39,73,6296,512,7838,507,398,189,7440,488,1145,210,210,99,935,190,427,132,129,67,298,116,17884,797,1831,382,0,40,1831,382,6659,502,4,39,6655,502,7627,477,518,162,7109,468,1072,241,142,73,930,236,695,167,293,122,402,127
5,North Center,30306,978,15050,706,1645,249,0,43,1645,249,5863,595,6,43,5857,595,6483,406,167,81,6316,402,772,164,157,90,615,146,287,86,95,62,192,69,15256,688,1502,313,25,57,1477,306,6026,456,25,57,6001,452,6286,385,269,145,6017,364,814,165,124,73,690,156,628,170,294,115,334,138
6,Lake View,91521,1606,44903,1329,2343,383,0,66,2343,383,23263,1204,79,103,23184,1201,16446,749,485,157,15961,743,1717,244,243,123,1474,224,1134,201,358,135,776,170,46618,1368,2554,352,0,66,2554,352,27734,1247,34,73,27700,1245,12653,631,508,152,12145,626,1760,255,243,126,1517,234,1917,260,860,197,1057,216
7,Lincoln Park,60783,1644,29525,1138,2803,403,2,50,2801,402,14293,977,0,51,14293,977,10048,520,231,116,9817,515,1522,221,112,85,1410,215,859,197,158,110,701,168,31258,1174,2823,491,0,51,2823,491,15922,940,5,50,15917,940,10375,512,373,119,10002,506,1353,227,235,97,1118,209,785,161,225,100,560,131
8,Near North Side,77898,1714,35451,1293,1582,331,0,54,1582,331,14839,1083,28,58,14811,1082,13674,756,454,169,13220,742,3504,412,487,192,3017,370,1852,276,345,130,1507,258,42447,1356,1893,454,5,56,1888,453,18323,1049,48,65,18275,1049,15354,801,582,188,14772,797,3986,407,380,145,3606,397,2891,375,1024,258,1867,301
9,Edison Park,10776,481,5007,346,891,172,0,25,891,172,933,192,38,45,895,190,2550,255,108,71,2442,253,273,88,20,22,253,86,360,97,115,62,245,85,5769,345,1016,194,40,62,976,177,1134,222,0,25,1134,222,2585,191,99,72,2486,207,455,106,80,56,375,98,579,129,229,84,350,105
10,Norwood Park,34621,1077,16690,688,2669,356,14,42,2655,357,3447,481,43,54,3404,479,7894,434,410,140,7484,429,1423,207,166,78,1257,202,1257,203,271,114,986,175,17931,741,2455,381,32,52,2423,380,3190,391,48,82,3142,382,8026,398,296,106,7730,402,1638,208,262,93,1376,197,2622,272,926,188,1696,238
