area_id,area_name,b17001g001,b17001g001_moe,b17001g002,b17001g002_moe,b17001g003,b17001g003_moe,b17001g004,b17001g004_moe,b17001g005,b17001g005_moe,b17001g006,b17001g006_moe,b17001g007,b17001g007_moe,b17001g008,b17001g008_moe,b17001g009,b17001g009_moe,b17001g010,b17001g010_moe,b17001g011,b17001g011_moe,b17001g012,b17001g012_moe,b17001g013,b17001g013_moe,b17001g014,b17001g014_moe,b17001g015,b17001g015_moe,b17001g016,b17001g016_moe,b17001g017,b17001g017_moe,b17001g018,b17001g018_moe,b17001g019,b17001g019_moe,b17001g020,b17001g020_moe,b17001g021,b17001g021_moe,b17001g022,b17001g022_moe,b17001g023,b17001g023_moe,b17001g024,b17001g024_moe,b17001g025,b17001g025_moe,b17001g026,b17001g026_moe,b17001g027,b17001g027_moe,b17001g028,b17001g028_moe,b17001g029,b17001g029_moe,b17001g030,b17001g030_moe,b17001g031,b17001g031_moe,b17001g032,b17001g032_moe,b17001g033,b17001g033_moe,b17001g034,b17001g034_moe,b17001g035,b17001g035_moe,b17001g036,b17001g036_moe,b17001g037,b17001g037_moe,b17001g038,b17001g038_moe,b17001g039,b17001g039_moe,b17001g040,b17001g040_moe,b17001g041,b17001g041_moe,b17001g042,b17001g042_moe,b17001g043,b17001g043_moe,b17001g044,b17001g044_moe,b17001g045,b17001g045_moe,b17001g046,b17001g046_moe,b17001g047,b17001g047_moe,b17001g048,b17001g048_moe,b17001g049,b17001g049_moe,b17001g050,b17001g050_moe,b17001g051,b17001g051_moe,b17001g052,b17001g052_moe,b17001g053,b17001g053_moe,b17001g054,b17001g054_moe,b17001g055,b17001g055_moe,b17001g056,b17001g056_moe,b17001g057,b17001g057_moe,b17001g058,b17001g058_moe,b17001g059,b17001g059_moe
1,Rogers Park,1985,408,426,170,219,116,51,74,0,48,0,48,0,48,0,48,0,48,35,72,36,61,24,60,36,53,15,50,22,58,0,48,207,109,17,54,0,48,20,56,0,48,0,48,30,66,59,69,29,55,13,51,15,53,24,59,0,48,0,48,1559,381,662,209,100,70,31,50,97,66,57,66,0,48,0,48,52,64,84,71,146,88,85,76,0,48,10,49,0,48,897,256,336,158,22,49,49,62,0,48,0,48,50,66,117,94,123,71,111,117,18,50,58,84,13,49,0,48
2,West Ridge,2042,578,570,353,170,116,66,84,0,51,51,70,0,51,13,53,6,51,0,51,0,51,5,51,15,56,14,54,0,51,0,51,400,259,138,114,0,51,83,82,36,66,32,68,0,51,31,71,33,65,19,54,0,51,0,51,28,66,0,51,1472,467,630,230,81,84,0,51,157,142,30,57,6,51,31,59,26,55,61,87,62,67,54,80,37,72,77,67,8,52,842,319,148,130,73,79,176,182,42,66,13,54,36,70,74,90,54,78,99,93,17,53,76,101,34,65,0,51
3,Uptown,1684,489,658,351,293,182,56,101,41,74,53,76,0,48,23,57,22,57,0,48,42,67,39,60,17,51,0,48,0,48,0,48,365,221,0,48,0,48,53,96,0,48,0,48,0,48,44,79,174,134,30,56,30,58,34,70,0,48,0,48,1026,338,564,228,165,123,0,48,13,50,27,50,0,48,16,50,55,66,53,91,65,93,90,101,37,76,43,57,0,48,462,172,58,73,0,48,0,48,0,48,0,48,0,48,13,49,137,96,135,102,54,83,15,54,50,57,0,48
4,Lincoln Square,1046,279,114,91,25,53,0,40,0,40,4,41,0,40,21,53,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,89,80,0,40,0,40,0,40,4,41,0,40,0,40,26,45,0,40,36,65,23,43,0,40,0,40,0,40,932,261,439,160,107,84,3,39,54,47,23,50,0,40,0,40,5,40,87,72,61,64,46,72,0,40,35,54,18,48,493,165,70,57,0,40,63,55,7,41,0,40,0,40,7,40,212,113,20,46,53,58,25,52,0,40,36,64
5,North Center,876,311,36,47,7,43,7,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,29,46,9,44,0,43,0,43,0,43,0,43,0,43,5,42,8,43,0,43,0,43,0,43,0,43,7,43,840,310,390,132,69,58,0,43,47,69,0,43,10,45,0,43,27,49,120,73,43,49,34,57,0,43,31,48,9,44,450,240,63,66,14,44,151,153,45,71,0,43,0,43,17,47,73,62,27,47,11,46,34,55,0,43,15,43
6,Lake View,1827,371,179,105,56,84,0,66,0,66,0,66,0,66,0,66,0,66,19,68,0,66,15,69,0,66,22,80,0,66,0,66,123,91,12,68,0,66,0,66,0,66,0,66,0,66,62,82,25,72,15,69,0,66,9,67,0,66,0,66,1648,355,865,235,208,119,56,77,65,77,0,66,0,66,0,66,116,106,199,124,183,109,0,66,38,70,0,66,0,66,783,219,210,132,21,72,90,100,19,68,0,66,0,66,72,80,248,115,65,75,35,70,6,66,17,71,0,66
7,Lincoln Park,983,262,66,60,22,52,0,51,0,51,0,51,0,51,0,51,0,51,0,51,12,53,8,51,2,49,0,51,0,51,0,51,44,57,0,51,0,51,0,51,0,51,0,51,0,51,35,58,3,51,4,50,0,51,0,51,2,49,0,51,917,256,530,188,78,66,0,51,43,67,24,56,0,51,13,54,10,52,89,77,201,139,9,51,34,57,29,71,0,51,387,136,130,86,10,52,46,56,23,56,6,50,0,51,36,55,43,59,54,65,8,52,23,57,8,51,0,51
8,Near North Side,1341,373,68,75,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,68,75,0,54,0,54,0,54,0,54,0,54,0,54,32,62,12,56,14,57,0,54,10,56,0,54,0,54,1273,369,597,244,81,79,0,54,77,82,10,55,0,54,0,54,73,92,251,166,54,74,7,55,0,54,25,59,19,61,676,246,41,64,0,54,155,138,0,54,0,54,0,54,24,60,147,111,77,72,168,158,29,61,30,62,5,54
9,Edison Park,196,137,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,196,137,127,91,0,25,0,25,0,25,37,44,0,25,0,25,0,25,44,55,0,25,4,24,18,36,12,28,12,30,69,87,0,25,0,25,28,45,0,25,0,25,13,28,0,25,15,31,0,25,13,28,0,25,0,25,0,25
10,Norwood Park,880,391,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,880,391,542,274,166,172,9,40,106,102,15,40,24,52,18,45,52,66,45,80,28,50,12,42,57,81,10,40,0,39,338,177,50,58,27,53,57,61,0,39,37,56,26,48,19,47,85,100,5,38,12,42,20,42,0,39,0,39
11,Jefferson Park,631,246,87,97,63,76,12,33,0,29,12,33,0,29,0,29,0,29,19,41,0,29,13,34,0,29,7,30,0,29,0,29,24,35,0,29,0,29,0,29,0,29,0,29,0,29,0,29,11,33,0,29,13,32,0,29,0,29,0,29,544,225,296,154,41,48,0,29,62,62,39,48,16,37,0,29,8,29,36,63,11,29,70,61,7,30,6,29,0,29,248,109,49,52,0,29,20,31,27,46,0,29,0,29,8,31,0,29,90,57,15,36,39,54,0,29,0,29
12,Forest Glen,447,208,22,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,22,45,0,29,0,29,0,29,0,29,0,29,0,29,0,29,22,45,0,29,0,29,0,29,0,29,0,29,425,205,221,163,90,89,0,29,94,89,4,29,0,29,0,29,0,29,33,41,0,29,0,29,0,29,0,29,0,29,204,124,77,73,0,29,38,48,0,29,0,29,0,29,0,29,0,29,58,51,11,31,20,37,0,29,0,29
13,North Park,463,211,89,77,34,40,0,27,0,27,18,35,0,27,0,27,0,27,16,34,0,27,0,27,0,27,0,27,0,27,0,27,55,70,0,27,0,27,0,27,0,27,0,27,0,27,13,32,0,27,0,27,0,27,42,68,0,27,0,27,374,202,267,173,18,37,0,27,23,38,11,30,10,31,0,27,112,147,19,41,0,27,58,68,9,23,7,27,0,27,107,70,0,27,0,27,0,27,0,27,0,27,0,27,33,40,38,55,11,29,16,28,4,27,5,26,0,27
14,Albany Park,1921,453,173,137,64,63,10,46,0,45,5,45,14,46,0,45,0,45,0,45,13,47,0,45,0,45,0,45,12,46,10,46,109,113,39,67,0,45,34,64,0,45,0,45,0,45,0,45,10,46,0,45,0,45,16,50,0,45,10,46,1748,434,945,299,135,100,10,46,221,171,98,78,9,44,0,45,111,77,169,98,86,65,83,61,13,48,10,45,0,45,803,218,158,94,57,70,76,84,9,44,17,48,24,50,92,67,145,95,104,81,61,52,22,43,23,50,15,48
15,Portage Park,2379,531,493,236,283,144,105,102,0,47,21,49,0,47,0,47,18,52,10,49,93,103,2,43,10,47,20,50,4,46,0,47,210,156,73,83,39,78,58,73,10,49,0,47,0,47,0,47,11,47,3,43,4,46,0,47,12,47,0,47,1886,480,874,261,167,125,36,62,85,80,47,53,13,50,120,87,146,112,182,97,8,48,63,55,7,48,0,47,0,47,1012,325,220,155,0,47,205,122,50,64,14,50,0,47,115,104,141,91,47,57,147,85,67,69,0,47,6,47
16,Irving Park,1301,306,71,66,28,54,0,47,0,47,0,47,18,54,0,47,0,47,0,47,0,47,0,47,0,47,0,47,10,48,0,47,43,60,29,50,0,47,0,47,0,47,0,47,0,47,11,47,0,47,0,47,3,47,0,47,0,47,0,47,1230,302,608,205,114,70,27,55,80,82,15,47,18,49,11,49,15,47,127,84,97,78,63,82,28,51,13,50,0,47,622,191,126,122,9,48,120,94,14,52,5,47,8,46,39,52,99,80,143,80,19,48,24,52,0,47,16,51
17,Dunning,519,212,66,82,44,63,0,40,7,40,8,40,7,40,0,40,0,40,14,45,0,40,7,40,1,39,0,40,0,40,0,40,22,45,0,40,0,40,0,40,7,40,0,40,7,40,0,40,8,40,0,40,0,40,0,40,0,40,0,40,453,201,230,106,21,44,11,37,32,42,0,40,0,40,5,40,20,43,74,81,42,55,0,40,25,47,0,40,0,40,223,105,23,41,0,40,17,43,0,40,12,42,8,41,59,71,55,57,20,38,21,45,0,40,8,39,0,40
18,Montclare,134,76,24,40,24,40,24,40,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,110,69,28,36,0,23,0,23,8,20,8,20,0,23,0,23,0,23,7,23,0,23,5,18,0,23,0,23,0,23,82,60,15,30,0,23,8,21,0,23,0,23,0,23,0,23,59,53,0,23,0,23,0,23,0,23,0,23
19,Belmont Cragin,1766,567,471,249,196,121,86,79,11,53,11,53,12,53,0,52,0,52,20,58,4,52,0,52,31,60,0,52,21,60,0,52,275,172,52,82,0,52,30,69,0,52,0,52,36,63,55,73,29,67,0,52,23,54,23,61,27,56,0,52,1295,502,696,320,97,91,0,52,77,95,66,95,15,52,11,50,55,67,80,76,149,117,70,66,61,63,15,55,0,52,599,220,113,87,37,63,27,57,21,54,0,52,48,71,12,55,138,96,67,103,70,68,46,63,0,52,20,62
20,Hermosa,484,177,117,109,61,59,14,35,0,29,10,32,9,31,0,29,0,29,9,31,0,29,0,29,9,31,0,29,10,32,0,29,56,67,11,32,0,29,0,29,0,29,0,29,0,29,0,29,16,33,0,29,8,31,10,32,0,29,11,33,367,140,175,96,0,29,0,29,25,29,0,29,0,29,0,29,43,60,26,39,4,29,20,36,50,58,0,29,7,27,192,101,0,29,6,27,16,37,0,29,4,28,24,38,80,83,37,52,25,33,0,29,0,29,0,29,0,29
21,Avondale,1098,339,366,208,176,154,29,46,0,38,0,38,15,47,0,38,0,38,99,145,23,41,0,38,10,41,0,38,0,38,0,38,190,121,0,38,0,38,45,65,25,49,0,38,0,38,50,62,34,50,11,41,10,40,15,43,0,38,0,38,732,269,330,157,109,120,0,38,21,49,0,38,0,38,8,40,15,45,55,60,41,56,8,39,55,45,18,39,0,38,402,205,106,120,0,38,6,38,95,103,40,74,0,38,16,41,32,50,60,55,7,36,33,44,7,37,0,38
22,Logan Square,1651,352,265,199,136,108,75,95,31,74,11,58,0,57,0,57,0,57,0,57,3,57,1,56,15,60,0,57,0,57,0,57,129,129,0,57,0,57,72,126,0,57,0,57,0,57,3,57,16,58,0,57,22,61,6,58,10,58,0,57,1386,283,591,154,114,82,33,66,39,68,59,76,13,61,27,62,21,58,139,86,46,63,53,64,47,73,0,57,0,57,795,206,80,73,14,58,97,86,49,71,44,74,36,61,133,99,197,97,84,75,25,62,33,66,3,57,0,57
