area_id,area_name,b25128001,b25128001_moe,b25128002,b25128002_moe,b25128003,b25128003_moe,b25128004,b25128004_moe,b25128005,b25128005_moe,b25128006,b25128006_moe,b25128007,b25128007_moe,b25128008,b25128008_moe,b25128009,b25128009_moe,b25128010,b25128010_moe,b25128011,b25128011_moe,b25128012,b25128012_moe,b25128013,b25128013_moe,b25128014,b25128014_moe,b25128015,b25128015_moe,b25128016,b25128016_moe,b25128017,b25128017_moe,b25128018,b25128018_moe,b25128019,b25128019_moe,b25128020,b25128020_moe,b25128021,b25128021_moe,b25128022,b25128022_moe,b25128023,b25128023_moe,b25128024,b25128024_moe,b25128025,b25128025_moe,b25128026,b25128026_moe,b25128027,b25128027_moe,b25128028,b25128028_moe,b25128029,b25128029_moe,b25128030,b25128030_moe,b25128031,b25128031_moe,b25128032,b25128032_moe,b25128033,b25128033_moe,b25128034,b25128034_moe,b25128035,b25128035_moe,b25128036,b25128036_moe,b25128037,b25128037_moe,b25128038,b25128038_moe,b25128039,b25128039_moe,b25128040,b25128040_moe,b25128041,b25128041_moe,b25128042,b25128042_moe,b25128043,b25128043_moe,b25128044,b25128044_moe,b25128045,b25128045_moe
1,Rogers Park,23981,550,6995,461,1426,233,126,64,1273,223,0,48,27,54,0,48,0,48,4783,418,138,82,3033,352,1052,207,362,121,156,79,42,58,786,174,7,48,137,87,116,82,154,81,211,110,161,93,16986,651,6662,516,2242,341,4328,455,65,66,27,55,0,48,0,48,8759,610,1622,340,5926,537,979,235,154,94,78,68,0,48,1565,246,202,101,927,216,319,126,64,78,35,54,18,54
2,West Ridge,24402,485,12314,533,1278,254,133,101,1082,232,47,59,16,51,0,51,0,51,7726,499,152,80,3815,393,2521,342,940,210,209,111,89,84,3310,336,14,53,648,195,580,152,570,147,628,161,870,200,12088,626,3916,479,1209,280,2642,412,23,56,10,53,21,59,11,52,6585,566,862,239,4807,496,599,183,206,106,111,111,0,51,1587,292,54,65,956,253,336,127,202,108,0,51,39,59
3,Uptown,29441,501,9490,491,2253,309,216,95,1997,294,40,62,0,48,0,48,0,48,6267,453,141,79,4144,384,1518,257,363,125,74,67,27,57,970,152,43,63,278,99,184,77,235,99,151,72,79,67,19951,640,7725,537,2747,408,4843,474,135,106,0,48,0,48,0,48,9480,620,1618,332,6299,545,1186,254,220,99,157,107,0,48,2746,362,272,162,1246,276,774,194,278,141,45,55,131,135
4,Lincoln Square,17622,376,7020,447,1544,248,93,54,1403,240,33,54,14,43,1,38,0,40,4234,374,182,125,2187,290,1153,189,496,133,165,80,51,57,1242,172,8,40,110,76,258,95,310,104,276,92,280,97,10602,509,4874,407,1686,293,3188,327,0,40,0,40,0,40,0,40,4908,424,650,176,3390,396,511,149,341,152,0,40,16,41,820,207,0,40,293,102,328,168,135,84,38,63,26,42
5,North Center,14724,323,7758,369,1562,214,286,107,1240,191,36,70,0,43,0,43,0,43,4987,332,151,66,2958,277,1143,184,507,135,102,65,126,69,1209,187,13,45,137,78,149,77,212,80,286,115,412,120,6966,392,4028,334,1489,224,2534,292,5,43,0,43,0,43,0,43,2501,303,295,106,1398,235,462,134,166,88,90,88,90,79,437,100,21,47,254,91,21,42,118,85,17,43,6,43
6,Lake View,52568,659,19687,707,6034,483,611,202,5361,444,44,83,10,67,8,67,0,66,11189,600,326,113,6949,523,2429,282,1085,194,312,117,88,89,2464,270,37,73,414,143,534,144,515,144,584,160,380,119,32881,782,21765,762,8177,633,13464,675,68,73,50,74,6,66,0,66,8742,624,1526,340,5354,513,1349,250,419,148,48,69,46,77,2374,283,228,120,1375,228,498,147,160,101,70,78,43,76
7,Lincoln Park,32194,546,14662,578,3437,342,227,96,3199,333,0,51,11,53,0,51,0,51,9160,487,528,161,4963,376,2476,342,824,181,273,103,96,68,2065,240,15,52,282,120,398,103,476,126,564,141,330,101,17532,621,12088,565,4752,470,7312,501,7,51,17,56,0,51,0,51,4108,438,843,251,2372,338,522,190,205,103,157,108,9,52,1336,221,140,99,643,161,244,111,131,72,163,99,15,51
8,Near North Side,50758,883,22765,857,4460,469,530,211,3887,436,43,64,0,54,0,54,0,54,12042,667,504,162,8044,594,2334,317,873,234,257,118,30,64,6263,449,78,84,1908,279,1805,300,1358,264,887,204,227,139,27993,973,16755,882,7315,752,9376,685,64,78,0,54,0,54,0,54,8485,674,2019,415,5581,541,675,197,158,91,52,67,0,54,2753,342,147,87,1510,273,512,171,352,149,203,111,29,60
9,Edison Park,4608,141,3676,182,321,109,15,34,292,105,0,25,14,31,0,25,0,25,2328,174,128,76,1084,169,701,141,258,82,112,74,45,39,1027,123,8,26,42,35,149,76,109,52,343,102,376,102,932,170,351,104,144,94,207,87,0,25,0,25,0,25,0,25,458,159,88,68,279,112,91,74,0,25,0,25,0,25,123,57,28,30,51,41,30,36,0,25,14,23,0,25
10,Norwood Park,14646,262,11624,364,832,205,129,75,601,177,102,82,0,39,0,39,0,39,7036,354,56,51,3035,351,2244,303,1182,197,363,107,156,79,3756,237,9,40,345,119,574,147,624,131,938,179,1266,190,3022,325,842,242,77,67,727,230,0,39,38,70,0,39,0,39,1277,252,115,82,928,231,193,91,0,39,26,43,15,42,903,170,137,90,485,130,105,71,124,98,23,43,29,46
