area_id,area_name,b14007f001,b14007f001_moe,b14007f002,b14007f002_moe,b14007f003,b14007f003_moe,b14007f004,b14007f004_moe,b14007f005,b14007f005_moe,b14007f006,b14007f006_moe,b14007f007,b14007f007_moe,b14007f008,b14007f008_moe,b14007f009,b14007f009_moe,b14007f010,b14007f010_moe,b14007f011,b14007f011_moe,b14007f012,b14007f012_moe,b14007f013,b14007f013_moe,b14007f014,b14007f014_moe,b14007f015,b14007f015_moe,b14007f016,b14007f016_moe,b14007f017,b14007f017_moe,b14007f018,b14007f018_moe,b14007f019,b14007f019_moe
1,Rogers Park,4619,1038,1597,447,125,89,205,135,9,45,200,164,98,96,79,79,91,68,133,153,66,81,60,72,80,68,53,75,107,89,38,57,214,106,39,54,3022,723
2,West Ridge,5086,1209,1490,417,122,132,145,134,78,92,77,84,58,70,158,119,37,64,101,102,93,90,50,78,133,112,23,62,49,56,83,85,241,128,42,75,3596,909
3,Uptown,2565,693,488,167,49,63,0,48,49,81,0,48,23,56,31,59,0,48,0,48,0,48,26,58,11,50,40,79,58,88,0,48,144,97,57,76,2077,607
4,Lincoln Square,3227,948,1022,431,217,136,0,40,111,100,92,116,118,112,12,43,36,67,0,40,0,40,56,90,112,124,63,80,82,86,5,39,93,78,25,46,2205,614
5,North Center,769,307,128,84,11,45,0,43,0,43,18,51,0,43,8,43,0,43,0,43,7,43,9,43,4,42,0,43,0,43,0,43,58,61,13,45,641,268
6,Lake View,1313,303,315,134,9,67,0,66,31,68,8,67,9,67,0,66,22,67,0,66,0,66,0,66,0,66,0,66,22,73,0,66,84,95,130,102,998,251
7,Lincoln Park,999,316,454,191,38,63,26,62,0,51,0,51,35,62,12,53,0,51,25,63,0,51,17,54,0,51,44,66,0,51,0,51,199,109,58,68,545,205
8,Near North Side,1427,503,454,257,14,58,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,224,152,216,179,973,378
9,Edison Park,60,46,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,60,46
10,Norwood Park,1397,534,192,130,0,39,36,56,0,39,0,39,0,39,0,39,27,46,0,39,0,39,27,55,0,39,28,47,10,37,10,41,54,58,0,39,1205,499
11,Jefferson Park,1577,587,601,274,15,38,79,59,0,29,79,91,26,46,0,29,15,38,26,46,131,107,0,29,0,29,36,65,0,29,0,29,169,125,25,39,976,388
12,Forest Glen,1011,401,376,204,45,45,0,29,43,59,62,60,37,49,24,48,0,29,24,48,0,29,0,29,18,40,23,47,0,29,25,49,75,74,0,29,635,255
13,North Park,1832,633,810,405,14,31,0,27,14,33,34,38,115,126,0,27,0,27,13,33,75,71,20,43,78,75,49,63,53,65,36,62,248,170,61,48,1022,358
14,Albany Park,18766,2044,6083,967,627,241,371,163,450,170,499,181,264,135,312,137,304,138,392,161,368,173,288,121,345,152,407,179,294,140,344,157,780,346,38,62,12683,1468
15,Portage Park,14943,1589,5253,803,325,169,224,127,374,164,314,146,257,150,225,114,403,169,389,166,192,110,235,122,229,122,272,131,306,156,354,156,1074,297,80,81,9690,1067
16,Irving Park,11393,1625,3218,654,130,113,331,166,45,75,250,122,254,143,128,108,134,95,212,139,173,99,100,97,261,142,124,92,127,91,239,140,534,189,176,145,8175,1161
