area_id,area_name,b12002a001,b12002a001_moe,b12002a002,b12002a002_moe,b12002a003,b12002a003_moe,b12002a004,b12002a004_moe,b12002a005,b12002a005_moe,b12002a006,b12002a006_moe,b12002a007,b12002a007_moe,b12002a008,b12002a008_moe,b12002a009,b12002a009_moe,b12002a010,b12002a010_moe,b12002a011,b12002a011_moe,b12002a012,b12002a012_moe,b12002a013,b12002a013_moe
1,Rogers Park,26687,1437,13685,913,7950,771,4129,441,113,83,278,132,1215,249,13002,942,6126,733,4155,431,400,175,923,277,1398,246
2,West Ridge,32160,1621,15494,969,6057,645,7625,601,179,99,394,133,1239,271,16666,947,4903,587,7725,600,433,216,2135,346,1470,254
3,Uptown,30390,1191,15630,791,9064,676,4726,457,165,108,260,127,1415,298,14760,766,6674,587,4524,432,405,185,1408,288,1749,322
4,Lincoln Square,24677,993,12485,633,5906,514,5517,410,62,55,72,60,928,232,12192,619,4615,449,5272,398,538,217,746,187,1021,218
5,North Center,24656,845,12110,624,5470,593,5931,348,96,72,124,84,489,138,12546,572,5314,504,5655,330,115,87,596,176,866,176
6,Lake View,75452,1538,36992,1226,22837,1180,11798,596,221,124,338,127,1798,300,38460,1268,23900,1230,10969,568,177,103,1251,224,2163,324
7,Lincoln Park,49267,1325,23511,949,13367,898,8632,535,107,69,271,108,1134,236,25756,987,14585,933,8472,548,127,83,832,170,1740,271
8,Near North Side,58379,1565,26851,1186,12931,1054,10994,664,187,121,287,126,2452,417,31528,1147,15003,981,10480,654,77,71,2053,314,3915,458
9,Edison Park,8920,459,4088,330,1276,246,2277,182,40,54,115,56,380,171,4832,323,1486,253,2251,188,34,37,593,146,468,144
10,Norwood Park,27331,852,13072,576,3685,428,7472,412,89,63,691,180,1135,239,14259,628,3145,404,7099,399,264,132,2400,334,1351,243
11,Jefferson Park,17882,973,8809,622,3499,477,4389,348,53,59,243,105,625,175,9073,536,2443,345,4376,370,198,123,1072,207,984,201
12,Forest Glen,11773,532,5931,358,1700,281,3747,230,34,48,195,89,255,111,5842,328,1162,234,3517,244,42,45,685,143,436,128
13,North Park,9108,701,4444,433,1763,362,2094,200,0,27,136,76,451,153,4664,432,1429,277,1898,208,93,82,660,182,584,153
14,Albany Park,19312,1142,9834,783,4296,562,4411,448,173,102,214,102,740,204,9478,617,3428,407,4131,404,153,94,840,211,926,209
15,Portage Park,35330,1319,16575,770,5935,521,8638,486,221,119,580,150,1201,237,18755,880,5795,588,8460,504,307,141,2243,317,1950,316
16,Irving Park,29905,1459,15161,943,6279,678,6839,467,393,170,416,135,1234,264,14744,797,4843,523,6523,460,339,120,1297,236,1742,298
17,Dunning,30901,1094,15030,701,5191,514,8227,437,96,60,349,102,1167,248,15871,669,4156,433,7844,456,184,85,2306,286,1381,235
18,Montclare,6743,617,3244,383,1222,285,1556,236,54,54,154,72,258,91,3499,371,1058,237,1507,211,98,69,499,150,337,126
19,Belmont Cragin,24744,1633,12744,1011,5333,714,5758,491,305,119,358,130,990,234,12000,842,3743,517,5376,493,442,141,1296,220,1143,230
20,Hermosa,7497,842,3557,486,1694,358,1480,224,0,29,87,75,296,119,3940,519,1695,391,1562,257,52,56,158,70,473,210
21,Avondale,24827,1510,12372,896,6346,723,4917,461,261,117,178,114,670,182,12455,940,5530,774,4631,416,287,131,1038,225,969,232
22,Logan Square,49787,1588,25867,1039,14373,907,9268,556,383,145,259,115,1584,282,23920,959,11622,790,8771,518,313,119,1183,228,2031,291
