area_id,area_name,b23003001,b23003001_moe,b23003002,b23003002_moe,b23003003,b23003003_moe,b23003004,b23003004_moe,b23003005,b23003005_moe,b23003006,b23003006_moe,b23003007,b23003007_moe,b23003008,b23003008_moe,b23003009,b23003009_moe,b23003010,b23003010_moe,b23003011,b23003011_moe,b23003012,b23003012_moe,b23003013,b23003013_moe,b23003014,b23003014_moe,b23003015,b23003015_moe,b23003016,b23003016_moe,b23003017,b23003017_moe,b23003018,b23003018_moe,b23003019,b23003019_moe,b23003020,b23003020_moe,b23003021,b23003021_moe,b23003022,b23003022_moe,b23003023,b23003023_moe,b23003024,b23003024_moe,b23003025,b23003025_moe,b23003026,b23003026_moe,b23003027,b23003027_moe,b23003028,b23003028_moe,b23003029,b23003029_moe,b23003030,b23003030_moe
1,Rogers Park,18706,998,5034,488,1851,322,1159,253,0,48,1159,253,1076,245,83,67,692,199,1135,252,789,189,0,48,789,189,719,190,70,69,346,171,2048,342,1652,309,0,48,1652,309,1486,287,166,116,396,157,13672,950,10728,807,0,48,10728,807,9859,798,869,198,2944,517
2,West Ridge,21364,990,8495,572,2281,376,1451,306,0,51,1451,306,1381,301,70,76,830,244,1747,301,947,228,0,51,947,228,787,201,160,108,800,226,4467,483,3045,421,0,51,3045,421,2761,407,284,145,1422,313,12869,918,8974,790,0,51,8974,790,8333,771,641,197,3895,525
3,Uptown,18492,813,3367,403,1282,261,1031,243,0,48,1031,243,907,215,124,121,251,104,560,198,304,138,0,48,304,138,285,136,19,52,256,147,1525,299,1251,280,0,48,1251,280,1164,272,87,77,274,116,15125,783,12759,717,0,48,12759,717,11959,689,800,218,2366,376
4,Lincoln Square,14023,597,3518,352,1529,247,1163,218,0,40,1163,218,1089,211,74,60,366,129,541,175,277,125,0,40,277,125,232,110,45,65,264,124,1448,261,1112,236,0,40,1112,236,905,197,207,137,336,133,10505,575,9143,544,0,40,9143,544,8653,524,490,163,1362,250
5,North Center,12118,521,3272,269,1687,215,1267,194,0,43,1267,194,1232,192,35,51,420,117,514,138,273,107,0,43,273,107,263,106,10,44,241,98,1071,184,926,176,0,43,926,176,848,172,78,59,145,66,8846,513,7848,500,0,43,7848,500,7429,485,419,138,998,219
6,Lake View,39878,1257,5730,391,3220,324,2363,308,0,66,2363,308,2236,319,127,132,857,198,935,192,522,146,0,66,522,146,504,144,18,70,413,136,1575,240,1145,191,0,66,1145,191,1067,184,78,85,430,157,34148,1243,30624,1191,0,66,30624,1191,29370,1180,1254,238,3524,486
7,Lincoln Park,24595,928,4659,361,1789,237,1112,193,0,51,1112,193,1047,184,65,72,677,149,762,160,342,110,0,51,342,110,299,102,43,63,420,122,2108,305,1181,197,0,51,1181,197,1110,191,71,69,927,250,19936,919,17762,883,0,51,17762,883,16964,872,798,174,2174,366
8,Near North Side,32428,1128,3233,376,1404,287,755,195,0,54,755,195,632,186,123,74,649,220,530,164,279,141,0,54,279,141,175,104,104,109,251,134,1299,280,907,247,0,54,907,247,778,236,129,102,392,155,29195,1126,23866,1101,0,54,23866,1101,22396,1090,1470,322,5329,524
9,Edison Park,3632,273,1075,137,114,55,86,52,0,25,86,52,73,49,13,26,28,30,205,80,142,79,0,25,142,79,142,79,0,25,63,46,756,141,569,146,0,25,569,146,569,146,0,25,187,87,2557,291,2151,295,0,25,2151,295,1974,278,177,88,406,133
10,Norwood Park,10981,549,3606,305,1022,250,813,211,0,39,813,211,745,191,68,83,209,150,848,213,600,198,0,39,600,198,559,186,41,76,248,99,1736,236,1451,230,0,39,1451,230,1180,205,271,128,285,111,7375,520,5973,503,0,39,5973,503,5404,509,569,152,1402,244
11,Jefferson Park,8317,534,2713,321,718,203,507,166,0,29,507,166,453,159,54,52,211,115,591,164,324,131,0,29,324,131,313,130,11,33,267,116,1404,228,1224,216,0,29,1224,216,1110,207,114,75,180,91,5604,519,4304,450,0,29,4304,450,3752,412,552,180,1300,286
12,Forest Glen,5303,276,2221,197,540,144,424,128,0,29,424,128,424,128,0,29,116,66,439,122,364,115,0,29,364,115,342,111,22,38,75,66,1242,190,994,178,0,29,994,178,944,175,50,49,248,97,3082,297,2403,308,0,29,2403,308,2198,277,205,115,679,153
13,North Park,5176,439,1926,230,550,140,340,105,0,27,340,105,340,105,0,27,210,108,333,107,241,100,0,27,241,100,174,78,67,71,92,56,1043,185,800,169,0,27,800,169,717,159,83,76,243,109,3250,442,2329,377,0,27,2329,377,2123,358,206,100,921,204
14,Albany Park,15705,784,5875,510,1684,315,1013,250,0,45,1013,250,927,238,86,82,671,205,1267,246,697,186,0,45,697,186,615,176,82,72,570,177,2924,367,2334,338,0,45,2334,338,2023,318,311,143,590,171,9830,704,7825,629,0,45,7825,629,7050,606,775,229,2005,334
15,Portage Park,20702,799,7236,511,1621,296,1273,262,0,47,1273,262,1079,245,194,133,348,151,1438,259,916,208,0,47,916,208,820,197,96,80,522,192,4177,446,3185,417,0,47,3185,417,2865,378,320,144,992,226,13466,779,10668,713,0,47,10668,713,9441,667,1227,270,2798,380
16,Irving Park,18242,761,6367,472,2323,333,1767,281,0,47,1767,281,1681,273,86,74,556,178,1121,234,755,207,0,47,755,207,642,191,113,92,366,134,2923,368,2239,307,0,47,2239,307,2014,283,225,124,684,197,11875,718,9240,644,0,47,9240,644,8453,634,787,209,2635,376
17,Dunning,13377,602,4070,336,1077,220,751,186,0,40,751,186,671,176,80,59,326,130,721,154,520,131,0,40,520,131,477,124,43,55,201,87,2272,274,1789,261,0,40,1789,261,1633,257,156,71,483,132,9307,586,7713,577,0,40,7713,577,7051,567,662,170,1594,251
18,Montclare,3737,317,1442,232,298,107,261,103,0,23,261,103,229,97,32,39,37,36,346,118,224,97,0,23,224,97,188,93,36,43,122,85,798,192,625,177,0,23,625,177,532,160,93,80,173,85,2295,290,1733,277,0,23,1733,277,1532,267,201,92,562,167
19,Belmont Cragin,22521,861,10073,620,2203,355,1332,275,0,52,1332,275,1153,260,179,103,871,225,2362,323,1416,243,0,52,1416,243,1201,219,215,113,946,233,5508,517,4047,443,0,52,4047,443,3532,422,515,180,1461,292,12448,790,8778,674,0,52,8778,674,7554,631,1224,264,3670,463
20,Hermosa,7498,502,2924,290,580,173,503,164,0,29,503,164,322,122,181,106,77,55,847,193,561,157,0,29,561,157,491,145,70,63,286,131,1497,229,1200,216,0,29,1200,216,912,189,288,129,297,109,4574,490,3019,406,0,29,3019,406,2685,393,334,124,1555,306
21,Avondale,12835,739,4789,427,1584,270,1124,222,0,38,1124,222,1082,221,42,58,460,157,975,221,524,174,0,38,524,174,507,172,17,47,451,153,2230,328,1474,265,0,38,1474,265,1299,255,175,94,756,198,8046,659,5897,557,0,38,5897,557,5306,544,591,204,2149,396
22,Logan Square,25262,896,7238,480,2702,329,1797,266,0,57,1797,266,1638,252,159,97,905,199,1488,263,832,203,0,57,832,203,688,186,144,98,656,183,3048,324,2056,279,0,57,2056,279,1733,269,323,117,992,214,18024,828,14401,748,0,57,14401,748,13319,709,1082,239,3623,441
23,Humboldt Park,17166,807,6331,494,1248,247,748,200,0,51,748,200,609,179,139,97,500,167,1773,305,1129,249,0,51,1129,249,849,227,280,125,644,191,3310,407,2095,297,0,51,2095,297,1766,274,329,130,1215,266,10835,720,6690,574,0,51,6690,574,5539,528,1151,251,4145,476
24,West Town,30898,957,6693,441,2887,290,2047,249,0,62,2047,249,1910,243,137,87,840,184,994,208,696,177,0,62,696,177,586,162,110,92,298,125,2812,325,2095,281,0,62,2095,281,1937,275,158,85,717,182,24205,952,20715,883,0,62,20715,883,19626,854,1089,228,3490,435
25,Austin,31242,1077,11392,689,2094,361,1682,328,0,61,1682,328,1228,272,454,180,412,153,2352,341,1942,317,0,61,1942,317,1538,285,404,171,410,150,6946,564,5672,511,0,61,5672,511,4657,459,1015,232,1274,258,19850,875,13359,738,0,61,13359,738,11187,676,2172,328,6491,573
26,West Garfield Park,5464,434,2539,265,420,138,233,101,0,35,233,101,147,87,86,57,187,100,686,155,400,120,0,35,400,120,315,109,85,54,286,119,1433,204,910,185,0,35,910,185,760,175,150,76,523,134,2925,352,1639,255,0,35,1639,255,1310,222,329,127,1286,240
27,East Garfield Park,6622,418,2789,297,618,169,303,111,0,38,303,111,207,90,96,59,315,135,694,158,404,121,0,38,404,121,356,119,48,53,290,111,1477,232,1061,203,0,38,1061,203,901,191,160,83,416,117,3833,362,2360,266,0,38,2360,266,2034,257,326,116,1473,247
28,Near West Side,19274,731,4035,342,1768,242,1218,195,0,52,1218,195,1064,185,154,85,550,160,510,134,427,128,0,52,427,128,324,116,103,74,83,73,1757,238,1420,223,0,52,1420,223,1220,205,200,105,337,114,15239,731,12380,663,9,51,12371,663,11646,648,725,178,2859,363
29,North Lawndale,11111,669,4727,390,830,166,358,111,0,43,358,111,194,85,164,81,472,138,1338,237,830,194,0,43,830,194,688,181,142,79,508,145,2559,299,1716,245,0,43,1716,245,1455,231,261,93,843,183,6384,515,3544,361,0,43,3544,361,3067,334,477,137,2840,382
30,South Lawndale,16892,755,7826,490,2034,311,1094,232,0,48,1094,232,910,211,184,105,940,215,2048,299,910,204,0,48,910,204,824,198,86,67,1138,224,3744,381,2335,318,0,48,2335,318,2022,295,313,139,1409,244,9066,665,5710,515,0,48,5710,515,4695,464,1015,245,3356,394
31,Lower West Side,10512,607,3937,369,1034,213,767,192,0,42,767,192,562,157,205,116,267,114,938,188,503,149,0,42,503,149,311,118,192,96,435,130,1965,279,1425,236,0,42,1425,236,1215,222,210,95,540,158,6575,533,5097,482,0,42,5097,482,4420,441,677,196,1478,269
32,Loop,10021,736,1079,269,798,245,523,215,0,30,523,215,505,214,18,39,275,149,169,118,120,102,0,30,120,102,120,102,0,30,49,62,112,77,90,73,0,30,90,73,75,68,15,35,22,37,8942,738,6527,563,0,30,6527,563,6196,546,331,158,2415,499
33,Near South Side,8004,515,1609,276,955,244,740,195,0,24,740,195,713,192,27,48,215,173,224,110,99,60,0,24,99,60,88,59,11,26,125,95,430,175,388,171,0,24,388,171,369,169,19,33,42,47,6395,474,5556,448,0,24,5556,448,5351,448,205,79,839,227
