area_id,area_name,b25006001,b25006001_moe,b25006002,b25006002_moe,b25006003,b25006003_moe,b25006004,b25006004_moe,b25006005,b25006005_moe,b25006006,b25006006_moe,b25006007,b25006007_moe,b25006008,b25006008_moe,b25006009,b25006009_moe,b25006010,b25006010_moe
1,Rogers Park,23981,550,14052,600,6709,521,21,50,1289,265,0,48,1338,279,572,167,79,70,493,155
2,West Ridge,24402,485,15168,588,2759,401,127,100,4435,437,0,51,1449,329,464,170,99,94,365,149
3,Uptown,29441,501,18692,617,5644,511,139,85,3327,387,0,48,889,241,750,245,65,60,685,239
4,Lincoln Square,17622,376,14013,489,722,206,98,81,1607,275,0,40,870,252,312,128,38,50,274,122
5,North Center,14724,323,13267,358,271,116,54,68,650,164,0,43,249,102,233,94,9,44,224,93
6,Lake View,52568,659,45215,786,1863,345,148,154,3933,453,28,79,629,177,752,192,111,91,641,179
7,Lincoln Park,32194,546,28083,653,1316,257,56,74,1917,302,0,51,361,139,461,167,0,51,461,167
8,Near North Side,50758,883,39813,981,3727,393,76,88,5671,590,0,54,825,339,646,248,80,72,566,242
9,Edison Park,4608,141,4436,159,0,25,0,25,74,53,0,25,31,32,67,55,33,43,34,37
10,Norwood Park,14646,262,13450,344,52,74,15,47,522,152,0,39,454,178,153,110,53,84,100,82
11,Jefferson Park,9943,274,8489,338,104,73,47,52,625,165,0,29,505,178,173,83,0,29,173,83
12,Forest Glen,6793,159,5674,217,69,70,21,40,653,116,26,51,292,118,58,55,22,45,36,43
13,North Park,6436,188,4116,213,90,51,15,34,1433,190,0,27,596,183,186,114,53,64,133,93
14,Albany Park,16804,326,9161,450,698,184,61,56,2020,270,46,79,4450,425,368,109,141,70,227,88
15,Portage Park,22505,401,16865,510,372,157,62,60,758,173,40,76,4164,427,244,93,136,81,108,69
16,Irving Park,20177,401,14245,510,635,180,103,107,1395,250,0,47,3533,421,266,100,116,70,150,80
17,Dunning,15141,266,13623,344,114,82,31,51,416,110,30,60,817,201,110,66,64,59,46,46
18,Montclare,4425,173,3135,214,234,76,0,23,137,81,0,23,914,185,5,18,0,23,5,18
19,Belmont Cragin,21570,412,10175,527,1225,261,26,53,391,123,0,52,9437,537,316,108,179,86,137,88
20,Hermosa,7070,219,2893,282,88,59,10,33,76,61,8,31,3862,312,133,66,42,35,91,59
21,Avondale,13801,329,10651,426,542,180,85,83,455,144,0,38,1773,291,295,109,82,59,213,95
22,Logan Square,29492,477,24121,567,2033,293,53,74,1016,187,0,57,1800,267,469,135,115,82,354,121
23,Humboldt Park,16778,419,4792,385,7386,412,80,79,66,58,0,51,4134,393,320,127,135,93,185,95
24,West Town,37287,534,29527,633,2912,321,147,88,1620,257,0,62,2540,331,541,138,106,76,435,127
25,Austin,32428,573,2836,239,28353,609,0,61,188,95,0,61,940,195,111,73,31,66,80,68
26,West Garfield Park,5714,265,78,49,5584,269,0,35,17,43,0,35,17,37,18,38,0,35,18,38
27,East Garfield Park,6896,277,259,85,6509,281,0,38,38,44,0,38,50,57,40,42,10,39,30,40
28,Near West Side,25665,497,13454,496,7335,377,99,80,3662,348,0,52,676,181,439,125,42,62,397,120
29,North Lawndale,10852,381,413,111,10085,388,3,42,7,43,0,43,271,101,73,65,0,43,73,65
30,South Lawndale,16454,435,11819,493,821,150,86,55,5,47,0,48,3549,385,174,83,65,61,109,73
31,Lower West Side,12255,332,6364,394,646,168,43,45,207,89,0,42,4659,416,336,128,109,67,227,110
32,Loop,14557,598,9975,545,1683,410,24,37,2501,442,0,30,174,115,200,93,56,54,144,83
33,Near South Side,11517,470,5675,514,3474,427,38,47,1805,361,0,24,283,206,242,200,118,170,124,83
34,Armour Square,5359,184,817,127,819,107,0,27,3457,225,53,63,73,60,140,104,0,27,140,104
35,Douglas,9023,275,605,128,7355,319,7,35,842,161,0,35,106,72,108,64,23,41,85,60
