area_id,area_name,b20017a001,b20017a001_moe,b20017a002,b20017a002_moe,b20017a003,b20017a003_moe,b20017a004,b20017a004_moe,b20017a005,b20017a005_moe,b20017a006,b20017a006_moe,b20017a007,b20017a007_moe
1,Rogers Park,319385,28277,351835,43295,465239,52558,141475,35047,315649,45620,498839,64037,143492,40821
2,West Ridge,429394,41651,467497,50010,624104,67213,190569,55914,390662,52520,567752,67310,202497,58742
3,Uptown,537870,31176,557890,57771,748053,72116,234543,63287,529491,43838,665893,46344,206260,59508
4,Lincoln Square,481653,24048,530671,39944,649475,62293,204530,54377,446906,27151,569774,39368,211647,38379
5,North Center,795905,37072,900553,73246,1032164,82096,418175,170922,710718,48722,848994,57181,297296,78777
6,Lake View,1710744,60160,2149033,111172,2585845,116436,873318,212748,1455176,66672,1839110,93810,612336,86175
7,Lincoln Park,1137785,68848,1421124,98384,1860426,224899,435378,106105,941091,55074,1282288,106925,329158,73984
8,Near North Side,1304001,64700,1648206,149007,1961385,198497,615159,345058,1113017,73374,1398677,107754,479244,168083
9,Edison Park,143549,20234,196999,22471,232476,21364,43841,39977,114639,11470,159505,17154,55441,27039
10,Norwood Park,311265,22250,375177,37337,472675,30240,127240,34465,263824,26577,338344,27859,101981,15558
11,Jefferson Park,196516,20221,238219,29719,307847,31709,98329,35635,167716,21266,260197,31055,77086,12590
12,Forest Glen,210990,16414,256005,23222,315237,17598,61374,27521,156092,30124,256546,42527,65181,14245
13,North Park,139221,21301,151510,45922,252932,35861,44505,16390,115918,26317,191668,40525,42340,18298
14,Albany Park,329591,37207,346886,44667,510614,58124,119564,46296,320708,65293,503023,63514,125998,43020
15,Portage Park,443527,23537,507390,42207,670596,67406,222079,44588,386068,35637,544337,58401,200159,35634
16,Irving Park,536868,29958,544774,57131,715865,68893,234538,32523,509025,45064,691860,64530,219694,42315
17,Dunning,345287,19761,411100,37656,555834,39980,175942,37023,273658,21255,409521,28166,151335,19963
18,Montclare,57494,10500,67327,11899,92504,18599,28521,20949,49660,7604,73135,9837,23669,4677
19,Belmont Cragin,433700,31706,466439,40262,565098,55240,211856,82566,384091,46565,482881,49675,195419,80717
20,Hermosa,129254,22376,150367,53537,254699,59699,76103,41110,119680,20492,178535,36418,63938,30865
21,Avondale,262487,18620,266638,24052,333447,46449,162829,27449,246457,26453,330785,50212,122453,34731
22,Logan Square,890323,41841,989775,61618,1199434,75581,381175,55104,822878,57417,1066259,63635,425343,52757
23,Humboldt Park,273907,26544,293127,27184,329257,43425,150408,50052,234229,55468,328154,65853,150420,47452
24,West Town,1354557,47057,1570515,90589,1879933,122944,718995,148191,1166083,63555,1534554,82271,484397,91335
25,Austin,157183,39910,130800,62708,195225,51494,69879,86204,159933,71766,191116,187596,78944,130133
28,Near West Side,707767,54296,779265,102252,1053951,100771,200020,74604,682098,71135,967594,117782,253171,85845
29,North Lawndale,26250,25033,38500,29094,39125,19824,12917,71420,19000,19366,32000,16478,6667,8732
30,South Lawndale,297210,11838,315998,17554,386932,28242,191289,24244,246135,26002,378151,37371,136699,18252
31,Lower West Side,253461,23902,238350,26356,329135,35980,138396,27964,251099,40241,365276,78511,145343,33945
32,Loop,229464,17290,259610,36597,327316,54738,65792,29150,197518,22482,255002,31536,51439,18128
33,Near South Side,137236,20940,148038,36980,163207,44715,55014,59896,124628,25470,159444,17686,26960,13477
34,Armour Square,81965,48601,75240,41338,90114,37049,30048,107265,99500,66740,125898,67681,40781,63966
35,Douglas,221779,102103,245105,126007,360279,119246,134626,134818,143854,129561,240594,406901,160630,92457
39,Kenwood,130820,27883,125457,67636,200476,132029,43604,125108,127509,44729,162800,53217,98921,91750
41,Hyde Park,291834,45759,362439,81917,729280,171289,98720,51995,252008,79934,613445,105205,88570,51071
42,Woodlawn,82656,55922,102757,34516,109752,42340,59127,20247,33750,46247,99240,51064,11369,20613
46,South Chicago,66933,13097,78020,17861,100818,25160,45045,28583,52538,18761,86361,20642,39392,12530
50,Pullman,24896,11969,18274,5041,44583,13327,12300,6938,37917,16382,47875,11486,4512,946
51,South Deering,60622,10984,81873,30073,96591,29991,53546,15304,48613,10643,88714,61187,32530,17769
52,East Side,149529,22056,174780,34170,228627,40825,98652,26203,135592,23649,206222,39069,54100,18863
53,West Pullman,26417,7513,30268,9134,35027,9620,11136,27634,14464,18449,29444,58975,8750,2078
55,Hegewisch,70404,21263,87633,20132,102725,26829,34946,21244,64657,12714,86353,14391,22400,11436
56,Garfield Ridge,299893,32488,394786,62431,543047,46226,140697,28452,260736,22555,366825,41604,117895,32265
57,Archer Heights,121442,17772,159375,33245,200332,35626,71595,25809,98616,9720,128393,17227,68713,22897
58,Brighton Park,216036,19375,243078,25312,290047,24312,140587,26625,175940,22443,288260,48511,90333,17400
59,McKinley Park,124583,9887,141294,23768,204236,34657,69530,21066,110992,15731,173615,37355,49806,16838
60,Bridgeport,337237,31165,388653,44332,460875,49557,145657,123263,302976,29997,382487,33050,149340,86644
61,New City,217099,19968,262072,26689,326601,41812,136649,54129,167919,44938,252234,55657,84631,40512
62,West Elsdon,101075,14998,118205,24988,160497,13532,34867,15618,76582,15344,121487,17031,43999,9018
63,Gage Park,172367,12769,184746,12611,207518,26848,118730,32909,154385,20733,209081,17445,67442,26737
64,Clearing,240610,24063,280993,41756,341453,32245,109898,26110,202733,34076,270377,21041,110687,27926
65,West Lawn,167694,18562,191479,23824,254350,38280,64032,24706,134776,28128,199349,29929,53884,23491
66,Chicago Lawn,126361,30513,156734,36154,212110,32334,72818,18743,116352,16545,144648,58777,72572,50624
70,Ashburn,221137,27612,233735,78409,324078,60288,70204,73968,189414,65523,249591,77776,65160,126935
72,Beverly,315183,22651,374114,28924,452523,38239,110665,57591,265524,38853,344605,29487,66256,30472
74,Mount Greenwood,217363,12128,278834,17556,302830,15846,48700,31444,149744,20560,204458,23513,64080,11296
75,Morgan Park,188934,37597,209985,33510,275003,62260,58621,30770,195158,28994,271967,39046,50250,56340
76,O'Hare,98476,18065,123618,17810,146354,34188,76958,43913,83293,12964,99386,21747,59353,8175
77,Edgewater,655941,41881,744233,61942,955128,103359,359418,78082,545190,81597,822915,129466,178105,57700
