area_id,area_name,b19301c001,b19301c001_moe
1,Rogers Park,11066,879
2,West Ridge,32834,3642
3,Uptown,5203,2534
4,Lincoln Square,24892,19520
6,Lake View,54124,25918
7,Lincoln Park,22073,5352
8,Near North Side,13417,14803
13,North Park,48867,29022
14,Albany Park,21940,2089
15,Portage Park,38754,8980
16,Irving Park,35931,25996
17,Dunning,3497,8928
19,Belmont Cragin,25463,5268
21,Avondale,25695,15690
23,Humboldt Park,17647,1398
24,West Town,38517,1290
25,Austin,20498,2287
28,Near West Side,26795,25597
30,South Lawndale,48745,9848
31,Lower West Side,23621,15654
33,Near South Side,55106,26314
39,Kenwood,13106,5321
41,Hyde Park,22346,5091
42,Woodlawn,18082,11376
52,East Side,37625,21621
55,Hegewisch,13827,15253
57,Archer Heights,14557,5250
58,Brighton Park,69036,17139
59,McKinley Park,4199,3632
60,Bridgeport,15924,3263
61,New City,106507,41863
63,Gage Park,28554,1718
64,Clearing,20070,3560
65,West Lawn,9265,3032
66,Chicago Lawn,25094,2547
69,Greater Grand Crossing,2381,265
70,Ashburn,6803,8174
77,Edgewater,9368,820
