area_id,area_name,b08122001,b08122001_moe,b08122002,b08122002_moe,b08122003,b08122003_moe,b08122004,b08122004_moe,b08122005,b08122005_moe,b08122006,b08122006_moe,b08122007,b08122007_moe,b08122008,b08122008_moe,b08122009,b08122009_moe,b08122010,b08122010_moe,b08122011,b08122011_moe,b08122012,b08122012_moe,b08122013,b08122013_moe,b08122014,b08122014_moe,b08122015,b08122015_moe,b08122016,b08122016_moe,b08122017,b08122017_moe,b08122018,b08122018_moe,b08122019,b08122019_moe,b08122020,b08122020_moe,b08122021,b08122021_moe,b08122022,b08122022_moe,b08122023,b08122023_moe,b08122024,b08122024_moe,b08122025,b08122025_moe,b08122026,b08122026_moe,b08122027,b08122027_moe,b08122028,b08122028_moe
1,Rogers Park,29463,1229,4041,571,3032,508,22390,1158,11226,839,1160,293,961,263,9105,751,2619,446,264,164,247,127,2108,385,11477,892,1681,389,1445,352,8351,755,1701,392,536,189,82,76,1083,347,745,214,188,116,164,108,393,152,1695,347,212,120,133,80,1350,317
2,West Ridge,31539,1410,3269,574,3293,665,24977,1348,18516,1077,1474,357,1556,360,15486,1063,3784,670,511,288,345,170,2928,546,5390,641,691,246,823,305,3876,500,1840,400,272,143,332,177,1236,370,687,207,164,100,37,64,486,183,1322,290,157,97,200,132,965,246
3,Uptown,31684,1148,3046,502,2319,415,26319,1116,10903,783,627,201,471,176,9805,727,1769,433,221,113,72,73,1476,418,13793,888,1366,326,1154,259,11273,800,1595,316,381,163,241,124,973,237,1490,321,336,169,210,136,944,231,2134,352,115,74,171,113,1848,327
4,Lincoln Square,23019,819,1384,331,1436,308,20199,795,11121,738,734,240,716,231,9671,674,1647,335,7,40,111,72,1529,329,7462,590,436,211,446,174,6580,545,861,199,105,81,71,67,685,176,708,194,57,51,58,58,593,183,1220,230,45,43,34,47,1141,227
5,North Center,20718,729,733,219,753,232,19232,689,10592,597,329,130,306,187,9957,569,1473,299,25,42,87,66,1361,292,5540,463,198,104,130,71,5212,444,759,177,102,77,95,69,562,149,673,168,22,45,66,67,585,156,1681,296,57,75,69,65,1555,285
6,Lake View,68113,1433,4641,578,2348,406,61124,1432,21887,961,1113,269,579,202,20195,935,3792,454,169,117,111,102,3512,429,32806,1248,2442,418,1144,270,29220,1188,3504,478,619,198,332,174,2553,401,1921,347,122,97,42,75,1757,324,4203,475,176,113,140,99,3887,462
7,Lincoln Park,40082,1107,2514,396,1061,270,36507,1107,14271,764,520,183,243,109,13508,740,2081,337,17,51,18,52,2046,335,16700,893,1285,290,495,215,14920,867,2472,374,453,163,191,109,1828,315,1986,427,96,73,44,63,1846,422,2572,331,143,85,70,71,2359,319
8,Near North Side,49931,1471,2257,423,1138,345,46536,1443,13976,930,324,149,106,75,13546,915,1379,352,14,58,0,54,1365,351,12471,866,748,243,439,190,11284,825,15016,1071,655,209,403,219,13958,1041,3686,549,242,170,95,115,3349,497,3403,522,274,143,95,158,3034,481
9,Edison Park,5862,391,131,98,123,89,5608,382,4303,408,64,57,109,87,4130,406,318,156,0,25,0,25,318,156,650,176,11,26,0,25,639,175,292,130,56,77,0,25,236,106,46,46,0,25,0,25,46,46,253,121,0,25,14,31,239,119
10,Norwood Park,17562,809,263,110,457,245,16842,803,13417,716,171,99,304,155,12942,702,1497,345,42,57,49,74,1406,329,1772,347,12,39,95,111,1665,324,227,132,14,41,0,39,213,130,95,67,0,39,9,40,86,66,554,174,24,43,0,39,530,173
11,Jefferson Park,12572,676,425,161,607,224,11540,742,8877,538,160,101,488,200,8229,575,1250,305,86,82,61,87,1103,282,1727,318,85,75,41,69,1601,311,263,112,47,41,0,29,216,108,100,65,7,30,0,29,93,64,355,134,40,56,17,39,298,120
12,Forest Glen,9048,443,344,135,232,115,8472,489,6140,439,199,95,65,51,5876,441,939,258,110,74,9,31,820,240,1215,229,0,29,126,95,1089,214,317,113,18,39,32,44,267,106,77,61,0,29,0,29,77,61,360,108,17,37,0,29,343,104
13,North Park,8092,599,478,194,509,206,7105,590,5080,498,333,145,323,150,4424,481,920,249,0,27,63,58,857,239,1085,255,72,61,47,77,966,241,417,157,0,27,57,68,360,133,180,84,18,35,19,39,143,79,410,162,55,64,0,27,355,140
14,Albany Park,26543,1293,3087,544,2746,526,20710,1278,12395,849,949,272,1046,257,10400,846,2970,485,390,194,366,191,2214,416,8693,896,1330,369,894,290,6469,736,1039,260,256,140,240,130,543,192,376,148,36,53,135,98,205,103,1070,279,126,92,65,66,879,262
15,Portage Park,31046,1174,1523,337,2245,481,27278,1182,19613,999,769,234,1010,255,17834,1007,4042,586,404,165,317,190,3321,542,5171,559,194,126,707,245,4270,497,774,215,90,88,65,63,619,191,526,191,0,47,102,95,424,170,920,232,66,73,44,61,810,227
16,Irving Park,28693,1190,1721,325,2389,431,24583,1211,16223,936,731,204,1217,299,14275,941,2968,443,101,80,221,112,2646,424,6321,602,608,206,567,215,5146,530,1002,250,181,107,140,96,681,200,744,200,35,53,157,111,552,166,1435,341,65,64,87,81,1283,332
17,Dunning,21257,904,853,254,781,211,19623,904,16142,856,480,149,584,193,15078,854,2309,371,132,87,55,51,2122,357,1887,306,119,82,122,73,1646,289,436,185,83,96,8,40,345,163,285,175,30,52,0,40,255,171,198,88,9,39,12,43,177,85
